CASRN	DOM_MFG_LB	IMPORTED_LB	VOLUME_EXPORTED
68921-39-1	0	0	0
28473-19-0	133275	0	0
1002-84-2	0	0	0
9003-55-8	0	0	0
21160-95-2	2318892	0	0
2362-14-3	0	0	0
25797-81-3	0	0	0
125352-03-6	0	19459	0
1332-29-2	0	0	0
67762-39-4	0	0	0
2110-78-3	0	370172	0
12608-26-3	0	0	0
193098-40-7	0	74999	0
97-88-1	36233	655813	0
10461-98-0	0	0	0
102-83-0	771107	0	0
25155-23-1	0	0	418637
42774-15-2	0	0	0
90826-32-7	33420	0	0
153519-44-9	0	0	0
85-86-9	0	12973	8083
7727-21-1	0	72827	0
65997-17-3	29347510	33778604	168447
106-24-1	0	0	0
111174-59-5	0	0	0
68037-58-1	0	22502	0
110-57-6	36231	0	34594
5089-70-3	369183	307652	411
593-81-7	0	0	0
12122-17-7	0	0	0
109-83-1	0	45600	0
848940-34-1	0	0	0
112-88-9	0	0	2691807
7775-09-9	464202348	414162023	77686903
8001-22-7	899659799	11213780	105912650
68603-32-7	6820556	0	0
53694-15-8	58317	0	0
68603-17-8	4535219	739722	3528017
84-75-3	21772	0	0
68187-85-9	0	0	0
75-89-8	0	0	0
1335-46-2	0	569	0
4574-04-3	12355	0	0
12236-62-3	0	0	820
68909-77-3	0	0	0
69012-25-5	7369192	0	0
124-38-9	56918635575	790475	7014657887
36177-92-1	0	0	0
123968-25-2	0	0	0
16969-10-1	0	0	0
5232-99-5	0	12000	0
1109-15-5	0	0	0
67762-53-2	136078	0	5
61788-67-8	0	0	0
94233-27-9	0	0	0
68201-19-4	737696	0	0
121-82-4	2369453	466596	29433
75-97-8	0	0	0
68955-33-9	128657552	0	0
69012-56-2	3102659	0	0
93-70-9	0	0	0
54512-75-3	0	0	0
38051-10-4	0	0	0
56927-54-9	32910	0	0
14177-51-6	0	0	0
56-45-1	0	0	0
68953-27-5	0	114783	0
12003-38-2	0	0	0
84962-08-3	0	0	0
479-66-3	0	13260	0
7647-15-6	168295	19502	0
61790-45-2	2973714	0	27
1330-61-6	0	0	0
6294-34-4	0	0	0
68511-62-6	0	0	0
10101-39-0	0	360000	0
68609-93-8	0	25440	0
103-60-6	0	65045	0
68412-06-6	0	0	0
2760-98-7	0	0	0
497-39-2	0	0	0
1335-66-6	0	0	0
64742-86-5	336674401	77114654	0
69011-68-3	1034503	0	214631
7782-41-4	1810795	0	0
4501-58-0	0	0	0
82469-79-2	0	0	0
2420-87-3	0	0	0
68333-25-5	3308942025	0	0
90-05-1	0	0	0
74-84-0	17083103481	0	79633547
68170-23-0	0	0	0
72623-85-9	213188414	381644	0
4180-23-8	0	0	11239
129-00-0	0	0	0
8016-23-7	0	11970	3582
10196-68-6	18025	0	0
16291-96-6	0	118659124	0
108-78-1	64125443	24022447	28754989
68952-79-4	4036972	0	0
25498-49-1	1601521	0	0
85940-28-9	0	45577	45
108-93-0	14968553	0	184159
68476-80-2	0	0	0
1314-11-0	0	9321	0
104-23-4	0	0	0
5344-27-4	0	0	0
12004-14-7	0	0	24031
61790-32-7	25736	0	0
10102-05-3	0	0	0
68002-94-8	0	12877	0
89921-55-1	0	0	0
99-76-3	0	0	0
131459-42-2	0	0	0
129520-41-8	0	0	0
41663-84-7	0	0	0
77-53-2	0	36560	1990
68516-73-4	0	0	0
8061-52-7	76203518	22699773	45812829
17511-60-3	0	59389	0
2554-06-5	0	0	0
3209-22-1	0	0	0
134-84-9	0	0	0
100402-82-2	0	0	0
108-21-4	3987487	0	4264668
68989-57-1	83323	0	24487
90901-24-9	0	0	0
929-06-6	0	0	0
142-71-2	0	0	0
10396-10-8	0	0	0
68921-27-7	0	0	0
109-43-3	0	76000	0
68476-46-0	7914279672	0	132630409
3164-60-1	0	0	0
2040-00-8	0	0	0
68554-11-0	0	0	0
122-39-4	0	1819480	12301
1302-67-6	0	602942	158318
68512-61-8	0	0	0
68475-76-3	388571359	0	285627
42220-47-3	0	0	0
6505-28-8	0	0	11340
756-13-8	0	0	0
95-32-9	0	0	0
1333-86-4	145436322	304004077	10408465
7722-84-1	53158927	3286946	14619323
24549-06-2	0	0	0
68425-17-2	17154442	454218	62399
95-49-8	0	0	0
69834-18-0	58764	0	0
77-78-1	0	72892	0
78-88-6	0	0	0
68477-82-7	0	0	0
171263-25-5	1377555	0	963884
12411-64-2	832224	0	59239
51287-84-4	57419	0	0
106008-93-9	0	33790	0
68920-44-5	1697479	0	0
1740-19-8	0	0	0
7758-94-3	24102424	0	0
67989-22-4	0	0	0
68333-81-3	368102732	0	0
3351-05-1	0	12374	0
10081-67-1	0	0	9024
68152-90-9	0	188119	3075
5809-23-4	0	0	0
27603-25-4	0	0	0
68424-43-1	0	15204	0
68110-06-5	272189	0	0
506-59-2	0	11520	7366
84133-50-6	13237	2877049	8106
2786-76-7	16544	80961	10927
119345-02-7	10002871	0	0
92045-58-4	183299852	0	0
7439-98-7	2247597	1598353	589619
10124-37-5	82383421	446473	47140497
473-54-1	10487545	0	0
5390-61-4	156489	0	0
75-65-0	85722	34669	0
15930-66-2	0	0	0
1779-48-2	0	0	0
3825-26-1	0	0	0
5421-66-9	57697	0	0
68953-70-8	0	0	0
504-60-9	31308004	0	0
12142-41-5	5066469	0	0
64741-66-8	4150018265	51325843	0
7631-90-5	358819970	22090	142830771
1682-78-6	0	0	0
7550-45-0	869251793	0	32659
670241-72-2	0	0	0
10034-96-5	0	1754848	0
68526-91-0	0	0	0
68131-39-5	0	46190	8988
1592-23-0	25515116	928004	1928237
123-68-2	0	3115	0
3710-84-7	0	0	0
122-20-3	0	0	0
66455-15-0	0	13375	0
68990-48-7	297154	0	0
68526-52-3	0	0	0
37788-55-9	47081	0	2361
57671-19-9	0	0	0
26745-88-0	10508	0	0
120-18-3	40945	0	0
75-26-3	0	11500	0
344-04-7	0	17300	0
64741-89-5	48987976	49895	299371
24800-44-0	363997	0	0
7632-05-5	750695	0	41730
140-67-0	0	0	0
78-08-0	23558	120801	8718
100-40-3	170987	0	0
41203-81-0	0	0	0
68916-73-4	0	0	0
5434-21-9	0	0	0
2372-21-6	0	0	0
342573-75-5	0	0	0
12069-32-8	0	13040	0
9005-90-7	0	0	0
68583-52-8	0	0	0
70024-71-4	0	54431	0
16096-31-4	0	0	0
68815-17-8	0	0	0
110-65-6	0	0	0
98-59-9	0	0	0
16891-37-5	0	0	0
542-42-7	943531	0	0
95-92-1	0	0	0
68477-69-0	706223630	0	0
163702-06-5	0	0	0
69012-16-4	59642670	0	0
34041-09-3	635029	0	0
35074-77-2	0	0	0
68410-00-4	2287906466	33757705	22539912
8001-78-3	0	2452353	48896
50-32-8	0	13558	0
2212-32-0	0	0	1621
1332-77-0	0	0	0
68511-78-4	10553734	0	0
2253-43-2	97413	0	0
13492-26-7	566564	0	0
101-72-4	0	21598	13726
67-56-1	459528577	3913111906	41445216
26761-45-5	68039	254281	0
124-11-8	0	0	0
637-89-8	0	0	0
65996-71-6	12476295441	41368244	797077686
52933-07-0	27463	0	0
40618-31-3	0	0	0
125-20-2	0	0	0
138-28-3	0	0	0
10043-01-3	690538204	3838702	262630
124-10-7	0	0	0
563-63-3	0	0	0
6675-28-1	0	0	0
67711-92-6	618459589	0	0
75587-84-7	0	33022	0
627-91-8	0	0	0
73984-93-7	0	211	0
48145-04-6	0	91009	0
2836-32-0	17371	0	162
94334-64-2	41937	0	0
64742-94-5	272013477	2957974	159787
79-29-8	29029912	0	0
174254-19-4	0	0	0
68457-79-4	0	0	0
108-30-5	0	12000	0
72102-84-2	12164	0	0
92044-87-6	64122	0	0
107-22-2	0	400653	0
128-58-5	0	0	0
10319-14-9	0	162653	0
67762-25-8	0	0	0
26172-55-4	0	2252	311
68478-24-0	63502932	0	0
90-93-7	0	0	0
2494-89-5	0	0	0
1314-62-1	3283298	1265481	60858
68606-36-0	0	0	0
68514-39-6	0	0	0
33481-16-2	0	0	0
68938-81-8	0	0	0
1555-53-9	0	0	0
108-38-3	39805	0	0
68412-54-4	331940	0	0
64742-53-6	196790574	46322068	32122011
106-50-3	0	0	0
53980-88-4	0	0	0
68783-61-9	90718474	0	0
149303-87-7	0	0	0
54660-00-3	0	0	0
68188-87-4	0	0	0
120-80-9	0	0	0
28473-21-4	0	0	0
68201-44-5	124060	0	87576
101-02-0	950478	0	163444
110-31-6	175087	188290	2177
68425-94-5	0	0	0
56-81-5	283457036	13057241	14478989
108-63-4	0	0	0
14228-73-0	40868	0	0
5187-23-5	0	0	0
68919-07-3	26761950	0	0
111-88-6	0	0	0
1330-86-5	0	0	0
1321-74-0	2448945	0	1275048
13595-85-2	0	0	0
17980-32-4	0	0	0
102-85-2	0	0	0
68082-79-1	0	0	0
259094-71-8	0	66247	0
280-57-9	0	175566	33593
5124-25-4	0	0	0
68527-02-6	5029830	0	129697
1478-61-1	0	0	0
143-19-1	0	0	181
1119-34-2	0	0	0
12022-99-0	0	333850	15501
93894-13-4	222292	0	0
68155-17-9	0	0	0
780-69-8	0	0	0
1941-30-6	0	0	0
7446-09-5	29773803	35774872	0
28908-00-1	0	0	0
63800-37-3	0	27210	0
171090-93-0	0	0	0
7378-99-6	0	0	0
68132-00-3	0	0	0
78-59-1	16765	12164	0
25036-25-3	0	33639	0
7783-54-2	126806	28950	3168
27094-65-1	0	0	0
14154-42-8	0	33924	0
10361-43-0	0	0	0
64741-51-1	1447309989	0	0
28106-30-1	23133	0	18597
68413-60-5	0	0	0
108-46-3	0	185772	0
7440-45-1	0	0	0
91788-83-9	0	131040	0
128-39-2	0	7153	0
102-40-9	0	0	0
30525-89-4	20412	4679523	0
70851-07-9	0	0	127
2224-33-1	0	0	713892
68442-60-4	0	0	0
21041-93-0	236757	232111	111546
2705-87-5	0	42711	0
99-09-2	0	149685	0
110-27-0	13205	36650	0
75-59-2	0	0	0
257888-56-5	55338	0	22226
674-82-8	0	0	0
614-33-5	93939	0	9253
584-08-7	4216308	1762385	37618
375-72-4	0	0	0
123-75-1	0	0	0
80-26-2	0	2546	0
84-69-5	205799	0	18098
8006-90-4	0	49320	9431
7440-24-6	0	104780	0
21142-29-0	21144	0	9098
68411-30-3	1665384	0	275209
767-15-7	0	0	0
68603-50-9	0	0	0
139497-04-4	0	436959	0
68938-07-8	0	0	0
91-97-4	0	230992	1000
117527-94-3	0	0	0
68555-86-2	0	0	0
89-63-4	0	0	0
12168-85-3	30103029240	1054216590	624525022
126-11-4	0	0	0
67891-79-6	163293253	0	0
68610-26-4	0	0	0
7446-20-0	1633042	4927994	0
26099-09-2	0	323781	0
36483-57-5	102167	123893	33909
72162-23-3	0	0	0
77-86-1	0	0	0
60628-17-3	0	0	0
3332-27-2	0	0	4164
923-26-2	0	0	0
107-46-0	0	106594	2268
68855-17-4	0	0	0
7779-86-4	16388152	0	0
15739-80-7	139011	0	0
106-25-2	0	0	0
136-51-6	214367	0	10977
8062-15-5	39009	0	0
95-19-2	23621	0	0
95-87-4	1036825	880560	1095724
25167-70-8	0	0	0
22473-78-5	0	0	0
31138-65-5	4481503	0	24966
102-07-8	0	14515	10886
691401-28-2	0	0	0
30558-43-1	0	0	0
126-33-0	0	744792	0
36060-61-4	14461	0	0
96-34-4	0	0	0
2057-49-0	0	0	0
106-43-4	0	0	0
68514-27-2	323357	0	0
590-86-3	0	102739	0
142-84-7	0	0	0
5989-54-8	141904	0	0
603-35-0	80966	31525	0
268567-32-4	0	0	0
25265-77-4	3927777	0	1952231
34398-01-1	90034	0	0
127036-24-2	0	114292	0
68606-34-8	2075653365	0	0
32846-21-2	0	0	0
96-15-1	0	0	0
2425-54-9	922695	0	394571
64741-54-4	24362131875	1905735132	22988095
12042-91-0	34360989	0	3425672
5888-33-5	0	114860	0
6362-79-4	0	142882	0
68513-12-2	16782918	0	0
101-37-1	0	0	0
50925-66-1	172365	0	10433
4553-62-2	3143395	0	0
61789-40-0	2084834	60670	4262
2687-91-4	0	0	2495
31621-69-9	0	0	0
98-44-2	0	0	0
17980-47-1	0	0	0
95962-14-4	0	0	0
827-95-2	0	26049	0
68991-84-4	0	0	0
76-05-1	59194	0	9081
61788-66-7	0	0	0
1184-64-1	0	91157	28937
99-89-8	308558	0	0
818-08-6	13925	153087	0
14974-48-2	205509	0	10886
108-83-8	0	0	0
74-85-1	10596522862	0	233733630
68928-70-1	0	10075	0
68527-77-5	0	0	0
122-97-4	0	640	0
64741-47-5	3084428	240312491	0
68919-12-0	22679619	0	0
2390-59-2	0	0	0
7631-86-9	117464745	44664778	18033289
21089-06-5	0	0	0
1694-31-1	0	0	0
61789-45-5	0	26568	191
121-46-0	0	0	0
1002-69-3	95968	0	0
60335-71-9	0	0	0
132-54-7	0	52617	0
7376-31-0	21671	0	0
68412-07-7	20519	0	0
111-15-9	0	0	0
68908-55-4	0	0	0
139-90-2	0	169053	0
13961-86-9	0	0	0
50926-11-9	29000	13823	15814
10377-52-3	0	0	0
96-31-1	53384	0	0
1333-22-8	0	0	0
68915-97-9	2607987589	363223383	0
33703-08-1	3084428	0	0
71011-24-0	0	0	20000
68170-22-9	0	0	0
10049-21-5	95825	97522	0
83411-71-6	0	18267	0
127-09-3	344493	199612	10773
10103-46-5	0	0	0
39430-51-8	176901	0	20865
8050-31-5	3909618	0	182296
67701-10-4	0	0	0
17927-72-9	0	0	0
68440-24-4	0	0	2500677
15546-16-4	181163	0	0
2927-83-5	0	0	0
68783-05-1	331537291	0	0
33619-92-0	0	123402	0
65996-69-2	7478861323	677447620	681559
732-26-3	0	0	0
14639-97-5	889021	0	0
60-33-3	25208	0	0
22205-30-7	22295	0	0
52846-56-7	0	0	0
848940-38-5	0	0	0
10380-08-2	421705	0	0
67801-20-1	0	0	0
51277-96-4	0	0	0
142-31-4	69422	0	0
117342-25-3	0	0	0
68647-19-8	0	0	0
5593-70-4	0	133404	10000
68308-50-9	0	0	0
1892-29-1	0	0	0
23570-56-1	175600	0	0
9004-96-0	771107	0	297748
2091-29-4	0	0	0
13825-74-6	0	1585965	0
64742-48-9	26568353863	390207614	4418772
2778-96-3	0	0	0
1746-23-2	668595	0	341101
71735-74-5	0	0	0
68475-59-2	69402354	0	0
210920-40-4	0	0	0
73138-54-2	0	0	0
78-10-4	76296	4556	22373
105-95-3	0	44085	0
64-02-8	167600	120798	7941
1205-17-0	0	61743	0
4259-15-8	0	68282	0
7722-76-1	5951918528	120037011	1762080006
2273-43-0	0	0	0
683-10-3	0	0	13036
12033-89-5	0	129000	10708
26658-19-5	147348	0	0
81-13-0	0	0	0
17462-58-7	16049	0	0
89-83-8	0	0	0
7027-11-4	0	0	0
9003-11-6	0	104753	1203
26864-37-9	0	0	863
13047-13-7	0	0	0
683-18-1	0	0	278
68424-45-3	0	76352	20529
61790-49-6	755640	13449	89910
68134-01-0	45788	0	0
115-11-7	364936500	0	0
66071-92-9	215443911245	1456032	0
30304-41-7	0	0	0
4559-86-8	0	0	0
68609-97-2	0	21681	0
28407-37-6	0	0	0
118922-86-4	0	0	0
635-46-1	0	12600	0
122-82-7	0	0	0
68919-17-5	0	0	0
68910-32-7	0	0	9701
754-12-1	44307	13190	22208
64742-82-1	11082575579	47673	0
7664-93-9	29284710188	2643848455	861751842
26952-13-6	54744173	0	408269
68425-16-1	0	0	0
97-53-0	0	135925	56403
13597-65-4	0	429997	0
68441-66-7	0	0	0
26763-69-9	0	0	0
3852-09-3	0	0	0
75-64-9	0	0	0
7446-14-2	203486382	0	2363959
1459-93-4	116845	0	68513
64741-97-5	149685	0	0
12645-53-3	58967	0	0
16940-66-2	0	0	0
68602-83-5	408491296	0	0
27458-92-0	0	3608513	198874
1586-92-1	0	0	0
154946-66-4	0	0	0
39377-63-4	0	0	0
288-32-4	0	0	0
104-42-7	0	0	0
68187-41-7	3065111	0	0
13826-66-9	72603	0	0
56-93-9	0	0	128825
61788-95-2	894790	0	31685
140-03-4	0	0	0
25168-21-2	61552	0	0
71010-76-9	0	0	0
6378-65-0	0	44	0
7699-45-8	0	0	0
68650-79-3	174334	0	0
67674-67-3	18661	0	0
9007-13-0	0	0	0
22397-31-5	0	0	0
119345-03-8	9930139	0	6532
53810-32-5	0	0	0
4948-15-6	0	0	0
12239-34-8	0	27442	0
7440-59-7	3874554	0	1111682
9011-05-6	0	23587	0
67845-93-6	293524	12380	0
10025-87-3	19193681	40360	0
20344-49-4	0	1633465	0
7758-11-4	13305420	637871	227883
68424-61-3	415510	0	48660
68140-14-7	0	0	0
593-45-3	0	0	0
72624-02-3	0	0	0
111-36-4	0	0	0
100-20-9	0	0	0
227310-69-2	0	128685	1260
2043-53-0	0	0	0
137-20-2	0	0	0
143269-74-3	0	14515	0
68476-42-6	722815349	0	12366662
75-45-6	15305567	0	0
2809-21-4	4666667	2335468	1941243
12045-78-2	0	139393	30535
120983-72-4	0	0	0
173832-39-8	0	41142	0
1204768-20-6	0	0	0
125304-04-3	0	0	0
68527-11-7	300493176	0	0
7377-03-9	0	26751	0
1302-78-9	0	2286797	33466
42069-01-2	49442	0	0
42595-45-9	0	0	0
4536-30-5	0	0	0
7756-94-7	0	41730	0
100-41-4	3239777110	1478329	34685592
64741-69-1	6593757652	0	77110703
13081-97-5	0	0	0
68512-02-7	0	2056196	0
26444-49-5	0	0	0
112-50-5	0	0	0
69851-61-2	0	0	0
12054-72-7	0	0	0
10045-95-1	0	0	7484
64253-30-1	59303	0	0
6422-86-2	0	2880623	0
28015-99-8	0	0	0
85-42-7	6226833	0	12791
95-93-2	0	0	0
67711-93-7	283016963	0	0
7790-69-4	0	0	0
67762-41-8	0	36758496	0
123-66-0	0	19	0
16893-85-9	0	335680	0
75-08-1	0	0	0
68186-94-7	0	21874	46
68526-55-6	182280746	0	44092833
149-45-1	0	43998	0
16090-02-1	0	45547	0
544-64-9	0	0	0
