Primary Name	Source	N components	CASRNs*N	Names*N	mass fracs*N	mole fracs*N	Synonyms																																				
Air 	REFPROP manual	3	7727-37-9	7440-37-1	7782-44-7	Nitrogen	Argon	Oxygen	0.7557	0.0127	0.2316	0.7812	0.0092	0.2096	atmosphere																												
R404A	REFPROP manual	3	354-33-6	811-97-2	420-46-2	R125	R134a	R143a	0.44	0.04	0.52	0.35782	0.03826	0.60392	R 404A	R-404A	R404A	Refrigerant 404A	Refrigerant-404A	Refrigerant404A																							
R405A	REFPROP manual	4	75-45-6	75-37-6	75-68-3	115-25-3	R22	R152a	R142b	RC318	0.45	0.07	0.055	0.425	0.5824	0.1186	0.06125	0.23776	R 405A	R-405A	R405A	Refrigerant 405A	Refrigerant-405A	Refrigerant405A																			
R406A	REFPROP manual	3	75-45-6	75-28-5	75-68-3	R22	Isobutane	R142b	0.55	0.04	0.41	0.57156	0.06184	0.3666	R 406A	R-406A	R406A	Refrigerant 406A	Refrigerant-406A	Refrigerant406A																							
R407A	REFPROP manual	3	75-10-5	354-33-6	811-97-2	R32	R125	R134a	0.2	0.4	0.4	0.34642	0.30032	0.35326	R 407A	R-407A	R407A	Refrigerant 407A	Refrigerant-407A	Refrigerant407A																							
R407B	REFPROP manual	3	75-10-5	354-33-6	811-97-2	R32	R125	R134a	0.1	0.7	0.2	0.19787	0.60036	0.20177	R 407B	R-407B	R407B	Refrigerant 407B	Refrigerant-407B	Refrigerant407B																							
R407C	REFPROP manual	3	75-10-5	354-33-6	811-97-2	R32	R125	R134a	0.23	0.25	0.52	0.38111	0.17956	0.43933	R 407C	R-407C	R407C	Refrigerant 407C	Refrigerant-407C	Refrigerant407C																							
R407D	REFPROP manual	3	75-10-5	354-33-6	811-97-2	R32	R125	R134a	0.15	0.15	0.7	0.26227	0.11368	0.62405	R 407D	R-407D	R407D	Refrigerant 407D	Refrigerant-407D	Refrigerant407D																							
R407E	REFPROP manual	3	75-10-5	354-33-6	811-97-2	R32	R125	R134a	0.25	0.15	0.6	0.40261	0.10471	0.49268	R 407E	R-407E	R407E	Refrigerant 407E	Refrigerant-407E	Refrigerant407E																							
R407F	REFPROP manual	3	75-10-5	354-33-6	811-97-2	R32	R125	R134a	0.3	0.3	0.4	0.47319	0.20511	0.3217	R 407F	R-407F	R407F	Refrigerant 407F	Refrigerant-407F	Refrigerant407F																							
R408A	REFPROP manual	3	354-33-6	420-46-2	75-45-6	R125	R143a	R22	0.07	0.46	0.47	0.05075	0.47628	0.47297	R 408A	R-408A	R408A	Refrigerant 408A	Refrigerant-408A	Refrigerant408A																							
R409A	REFPROP manual	3	75-45-6	2837-89-0	75-68-3	R22	R124	R142b	0.6	0.25	0.15	0.67609	0.17848	0.14543	R 409A	R-409A	R409A	Refrigerant 409A	Refrigerant-409A	Refrigerant409A																							
R409B	REFPROP manual	3	75-45-6	2837-89-0	75-68-3	R22	R124	R142b	0.65	0.25	0.1	0.72671	0.17709	0.0962	R 409B	R-409B	R409B	Refrigerant 409B	Refrigerant-409B	Refrigerant409B																							
R410A	REFPROP manual	2	75-10-5	354-33-6	R32	R125	0.5	0.5	0.69761	0.30239	R 410A	R-410A	R410A	Refrigerant 410A	Refrigerant-410A	Refrigerant410A																											
R410B	REFPROP manual	2	75-10-5	354-33-6	R32	R125	0.45	0.55	0.65369	0.34631	R 410B	R-410B	R410B	Refrigerant 410B	Refrigerant-410B	Refrigerant410B																											
R411A	REFPROP manual	3	115-07-1	75-45-6	75-37-6	Propylene	R22	R152a	0.015	0.875	0.11	0.02936	0.83347	0.13717	R 411A	R-411A	R411A	Refrigerant 411A	Refrigerant-411A	Refrigerant411A																							
R411B	REFPROP manual	3	115-07-1	75-45-6	75-37-6	Propylene	R22	R152a	0.03	0.94	0.03	0.05922	0.90305	0.03773	R 411B	R-411B	R411B	Refrigerant 411B	Refrigerant-411B	Refrigerant411B																							
R412A	REFPROP manual	3	75-45-6	76-19-7	75-68-3	R22	R218	R142b	0.7	0.05	0.25	0.74619	0.02451	0.2293	R 412A	R-412A	R412A	Refrigerant 412A	Refrigerant-412A	Refrigerant412A																							
R413A	REFPROP manual	3	76-19-7	811-97-2	75-28-5	R218	R134a	Isobutane	0.09	0.88	0.03	0.04976	0.89658	0.05366	R 413A	R-413A	R413A	Refrigerant 413A	Refrigerant-413A	Refrigerant413A																							
R414A	REFPROP manual	4	75-45-6	2837-89-0	75-28-5	75-68-3	R22	R124	Isobutane	R142b	0.51	0.285	0.04	0.165	0.57172	0.20242	0.06671	0.15915	R 414A	R-414A	R414A	Refrigerant 414A	Refrigerant-414A	Refrigerant414A																			
R414B	REFPROP manual	4	75-45-6	2837-89-0	75-28-5	75-68-3	R22	R124	Isobutane	R142b	0.5	0.39	0.015	0.095	0.58744	0.29031	0.02622	0.09603	R 414B	R-414B	R414B	Refrigerant 414B	Refrigerant-414B	Refrigerant414B																			
R415A	REFPROP manual	2	75-45-6	75-37-6	R22	R152a	0.82	0.18	0.77678	0.22322	R 415A	R-415A	R415A	Refrigerant 415A	Refrigerant-415A	Refrigerant415A																											
R415B	REFPROP manual	2	75-45-6	75-37-6	R22	R152a	0.25	0.75	0.20295	0.79705	R 415B	R-415B	R415B	Refrigerant 415B	Refrigerant-415B	Refrigerant415B																											
R416A	REFPROP manual	3	811-97-2	2837-89-0	106-97-8	R134a	R124	Butane	0.59	0.395	0.015	0.64718	0.32393	0.02888	R 416A	R-416A	R416A	Refrigerant 416A	Refrigerant-416A	Refrigerant416A																							
R417A	REFPROP manual	3	354-33-6	811-97-2	106-97-8	R125	R134a	Butane	0.466	0.5	0.034	0.41446	0.5231	0.06244	R 417A	R-417A	R417A	Refrigerant 417A	Refrigerant-417A	Refrigerant417A																							
R417B	ASHRAE 34	3	354-33-6	811-97-2	106-97-8	R125	R134a	R600	0.79	0.183	0.027	0.744565303019575	0.202886725984181	0.0525479709962438	R 417B	R-417B	R417B	Refrigerant 417B	Refrigerant-417B	Refrigerant417B																							
R417C	ASHRAE 34	3	354-33-6	811-97-2	106-97-8	R125	R134a	R600	0.195	0.788	0.017	0.168532366809927	0.801127735322805	0.0303398978672684	R 417C	R-417C	R417C	Refrigerant 417C	Refrigerant-417C	Refrigerant417C																							
R418A	REFPROP manual	3	74-98-6	75-45-6	75-37-6	Propane	R22	R152a	0.015	0.96	0.025	0.02878	0.9392	0.03202	R 418A	R-418A	R418A	Refrigerant 418A	Refrigerant-418A	Refrigerant418A																							
R419A	REFPROP manual	3	354-33-6	811-97-2	115-10-6	R125	R134a	DME	0.77	0.19	0.04	0.70146	0.2036	0.09494	R 419A	R-419A	R419A	Refrigerant 419A	Refrigerant-419A	Refrigerant419A																							
R419B	ASHRAE 34	3	354-33-6	811-97-2	115-10-6	R125	R134a	RE170	0.485	0.48	0.035	0.425132688065452	0.494938045442412	0.0799292664921354	R 419B	R-419B	R419B	Refrigerant 419B	Refrigerant-419B	Refrigerant419B																							
R420A	REFPROP manual	2	811-97-2	75-68-3	R134a	R142b	0.88	0.12	0.87839	0.12161	R 420A	R-420A	R420A	Refrigerant 420A	Refrigerant-420A	Refrigerant420A																											
R421A	REFPROP manual	2	354-33-6	811-97-2	R125	R134a	0.58	0.42	0.54001	0.45999	R 421A	R-421A	R421A	Refrigerant 421A	Refrigerant-421A	Refrigerant421A																											
R421B	REFPROP manual	2	354-33-6	811-97-2	R125	R134a	0.85	0.15	0.8281	0.1719	R 421B	R-421B	R421B	Refrigerant 421B	Refrigerant-421B	Refrigerant421B																											
R422A	REFPROP manual	3	354-33-6	811-97-2	75-28-5	R125	R134a	Isobutane	0.851	0.115	0.034	0.8055	0.12804	0.06646	R 422A	R-422A	R422A	Refrigerant 422A	Refrigerant-422A	Refrigerant422A																							
R422B	REFPROP manual	3	354-33-6	811-97-2	75-28-5	R125	R134a	Isobutane	0.55	0.42	0.03	0.49729	0.4467	0.05601	R 422B	R-422B	R422B	Refrigerant 422B	Refrigerant-422B	Refrigerant422B																							
R422C	REFPROP manual	3	354-33-6	811-97-2	75-28-5	R125	R134a	Isobutane	0.82	0.15	0.03	0.77476	0.16671	0.05853	R 422C	R-422C	R422C	Refrigerant 422C	Refrigerant-422C	Refrigerant422C																							
R422D	REFPROP manual	3	354-33-6	811-97-2	75-28-5	R125	R134a	Isobutane	0.651	0.315	0.034	0.59629	0.3394	0.06431	R 422D	R-422D	R422D	Refrigerant 422D	Refrigerant-422D	Refrigerant422D																							
R422E	ASHRAE 34	3	354-33-6	811-97-2	106-97-8	R125	R134a	R600	0.58	0.393	0.027	0.528209218418438	0.421014811255262	0.0507759703263003	R 422E	R-422E	R422E	Refrigerant 422E	Refrigerant-422E	Refrigerant422E																							
R423A	REFPROP manual	2	811-97-2	431-89-0	R134a	R227ea	0.525	0.475	0.64812	0.35188	R 423A	R-423A	R423A	Refrigerant 423A	Refrigerant-423A	Refrigerant423A																											
R424A	REFPROP manual	5	354-33-6	811-97-2	75-28-5	106-97-8	78-78-4	R125	R134a	Isobutane	Butane	Isopentane	0.505	0.47	.009	0.01	0.006	0.45615	0.49939	0.01679	0.01865	0.00902	R 424A	R-424A	R424A	Refrigerant 424A	Refrigerant-424A	Refrigerant424A																
R425A	REFPROP manual	3	75-10-5	811-97-2	431-89-0	R32	R134a	R227ea	0.185	0.695	0.12	0.32113	0.61513	0.06373	R 425A	R-425A	R425A	Refrigerant 425A	Refrigerant-425A	Refrigerant425A																							
R426A	REFPROP manual	4	354-33-6	811-97-2	106-97-8	78-78-4	R125	R134a	Butane	Isopentane	0.051	0.93	0.013	0.006	0.04315	0.92568	0.02272	0.00845	R 426A	R-426A	R426A	Refrigerant 426A	Refrigerant-426A	Refrigerant426A																			
R427A	REFPROP manual	4	75-10-5	354-33-6	420-46-2	811-97-2	R32	R125	R143a	R134a	0.15	0.25	0.1	0.5	0.26078	0.18839	0.10762	0.44321	R 427A	R-427A	R427A	Refrigerant 427A	Refrigerant-427A	Refrigerant427A																			
R428A	REFPROP manual	4	354-33-6	420-46-2	74-98-6	75-28-5	R125	R143a	Propane	Isobutane	0.775	0.2	0.006	0.019	0.69433	0.25589	0.01463	0.03515	R 428A	R-428A	R428A	Refrigerant 428A	Refrigerant-428A	Refrigerant428A																			
R429A	REFPROP manual	3	115-10-6	75-37-6	75-28-5	Dimethyl ether	R152a	Isobutane	0.6	0.1	0.3	0.66113	0.07685	0.26201	R 429A	R-429A	R429A	Refrigerant 429A	Refrigerant-429A	Refrigerant429A																							
R430A	REFPROP manual	2	75-37-6	75-28-5	R152a	Isobutane	0.76	0.24	0.73591	0.26409	R 430A	R-430A	R430A	Refrigerant 430A	Refrigerant-430A	Refrigerant430A																											
R431A	REFPROP manual	2	74-98-6	75-37-6	Propane	R152a	0.71	0.29	0.78574	0.21426	R 431A	R-431A	R431A	Refrigerant 431A	Refrigerant-431A	Refrigerant431A																											
R432A	REFPROP manual	2	115-07-1	115-10-6	Propylene	Dimethyl ether	0.8	0.2	0.8141	0.1859	R 432A	R-432A	R432A	Refrigerant 432A	Refrigerant-432A	Refrigerant432A																											
R433A	REFPROP manual	2	115-07-1	74-98-6	Propylene	Propane	0.3	0.7	0.30992	0.69008	R 433A	R-433A	R433A	Refrigerant 433A	Refrigerant-433A	Refrigerant433A																											
R433B	ASHRAE 34	2	115-07-1	74-98-6	R1270	R290	0.05	0.95	0.0522701063955236	0.947729893604476	R 433B	R-433B	R433B	Refrigerant 433B	Refrigerant-433B	Refrigerant433B																											
R433C	ASHRAE 34	2	115-07-1	74-98-6	R1270	R290	0.25	0.75	0.25887610544032	0.74112389455968	R 433C	R-433C	R433C	Refrigerant 433C	Refrigerant-433C	Refrigerant433C																											
R434A	REFPROP manual	4	354-33-6	420-46-2	811-97-2	75-28-5	R125	R143a	R134a	Isobutane	0.632	0.18	0.16	0.028	0.55678	0.22647	0.16581	0.05094	R 434A	R-434A	R434A	Refrigerant 434A	Refrigerant-434A	Refrigerant434A																			
R435A	REFPROP manual	2	115-10-6	75-37-6	Dimethyl ether	R152a	0.8	0.2	0.85152	0.14848	R 435A	R-435A	R435A	Refrigerant 435A	Refrigerant-435A	Refrigerant435A																											
R436A	REFPROP manual	2	74-98-6	75-28-5	Propane	Isobutane	0.56	0.44	0.62653	0.37347	R 436A	R-436A	R436A	Refrigerant 436A	Refrigerant-436A	Refrigerant436A																											
R436B	REFPROP manual	2	74-98-6	75-28-5	Propane	Isobutane	0.52	0.48	0.58813	0.41187	R 436B	R-436B	R436B	Refrigerant 436B	Refrigerant-436B	Refrigerant436B																											
R437A	REFPROP manual	4	354-33-6	811-97-2	106-97-8	109-66-0	R125	R134a	Butane	Pentane	0.195	0.785	0.014	0.006	0.1685	0.7979	0.02498	0.00862	R 437A	R-437A	R437A	Refrigerant 437A	Refrigerant-437A	Refrigerant437A																			
R438A	REFPROP manual	5	75-10-5	354-33-6	811-97-2	106-97-8	78-78-4	R32	R125	R134a	Butane	Isopentane	0.085	0.45	0.442	0.017	0.006	0.16191	0.37156	0.4293	0.02899	0.00824	R 438A	R-438A	R438A	Refrigerant 438A	Refrigerant-438A	Refrigerant438A															
R439A	ASHRAE 34	3	75-10-5	354-33-6	106-97-8	R32	R125	R600	0.5	0.47	0.03	0.684393292934955	0.278851949205742	0.0367547578593029	R 439A	R-439A	R439A	Refrigerant 439A	Refrigerant-439A	Refrigerant439A																							
R440A	ASHRAE 34	3	74-98-6	811-97-2	75-37-6	R290	R134a	R152a	0.006	0.016	0.978	0.00901120798414143	0.0103852154663174	0.980603576549541	R 440A	R-440A	R440A	Refrigerant 440A	Refrigerant-440A	Refrigerant440A																							
R441A	REFPROP manual	4	74-84-0	74-98-6	75-28-5	106-97-8	Ethane	Propane	Isobutane	Butane	0.031	0.548	0.06	0.361	0.0498	0.60031	0.049865	0.30002	R 441A	R-441A	R441A	Refrigerant 441A	Refrigerant-441A	Refrigerant441A																			
R442A	REFPROP manual	5	75-10-5	354-33-6	811-97-2	75-37-6	431-89-0	R32	R125	R134a	R152a	R227ea	0.31	0.31	0.3	0.03	0.05	0.48722	0.21119	0.24041	0.037137	0.024044	R 442A	R-442A	R442A	Refrigerant 442A	Refrigerant-442A	Refrigerant442A															
R443A	REFPROP manual	3	115-07-1	74-98-6	75-28-5	Propylene	Propane	Isobutane	0.55	0.4	0.05	0.56823	0.39437	0.037399	R 443A	R-443A	R443A	Refrigerant 443A	Refrigerant-443A	Refrigerant443A																							
R444A	REFPROP manual	3	75-10-5	75-37-6	102687-65-0	R32	R152a	R1234ze(E)	0.12	0.05	0.83	0.22304	0.073198	0.70376	R 444A	R-444A	R444A	Refrigerant 444A	Refrigerant-444A	Refrigerant444A																							
R445A	ASHRAE 34	3	124-38-9	811-97-2	102687-65-0	R744	R134a	R1234ze(E)	0.06	0.09	0.85	0.155649752759841	0.100705790070134	0.743644457170025	R 445A	R-445A	R445A	Refrigerant 445A	Refrigerant-445A	Refrigerant445A																							
R500	REFPROP manual	2	75-71-8	75-37-6	R12	R152a	0.738	0.262	0.6061	0.3939	R 500	R-500	R500	Refrigerant 500	Refrigerant-500	Refrigerant500																											
R501	REFPROP manual	2	75-45-6	75-71-8	R22	R12	0.75	0.25	0.80751	0.19249	R 501	R-501	R501	Refrigerant 501	Refrigerant-501	Refrigerant501																											
R502	REFPROP manual	2	75-45-6	76-15-3	R22	R115	0.488	0.512	0.62999	0.37001	R 502	R-502	R502	Refrigerant 502	Refrigerant-502	Refrigerant502																											
R503	REFPROP manual	2	75-46-7	75-72-9	R23	R13	0.401	0.599	0.4997	0.5003	R 503	R-503	R503	Refrigerant 503	Refrigerant-503	Refrigerant503																											
R504	REFPROP manual	2	75-10-5	76-15-3	R32	R115	0.482	0.518	0.73424	0.26576	R 504	R-504	R504	Refrigerant 504	Refrigerant-504	Refrigerant504																											
R505	ASHRAE 34	2	75-71-8	593-70-4	R12	R31	0.78	0.22	0.667545198891162	0.332454801108838	R 505	R-505	R505	Refrigerant 505	Refrigerant-505	Refrigerant505																											
R506	ASHRAE 34	2	593-70-4	76-14-2	R31	R114	0.551	0.449	0.753877624849535	0.246122375150464	R 506	R-506	R506	Refrigerant 506	Refrigerant-506	Refrigerant506																											
R507A	REFPROP manual	2	354-33-6	420-46-2	R125	R143a	0.5	0.5	0.41184	0.58816	R 507A	R-507A	R507A	Refrigerant 507A	Refrigerant-507A	Refrigerant507A																											
R508A	REFPROP manual	2	75-46-7	76-16-4	R23	R116	0.39	0.61	0.55758	0.44242	R 508A	R-508A	R508A	Refrigerant 508A	Refrigerant-508A	Refrigerant508A																											
R508B	REFPROP manual	2	75-46-7	76-16-4	R23	R116	0.46	0.54	0.62675	0.37325	R 508B	R-508B	R508B	Refrigerant 508B	Refrigerant-508B	Refrigerant508B																											
R509A	REFPROP manual	2	75-45-6	76-19-7	R22	R218	0.44	0.56	0.63079	0.36921	R 509A	R-509A	R509A	Refrigerant 509A	Refrigerant-509A	Refrigerant509A																											
R510A	REFPROP manual	2	115-10-6	75-28-5	Dimethyl ether	Isobutane	0.88	0.12	0.90246	0.09754	R 510A	R-510A	R510A	Refrigerant 510A	Refrigerant-510A	Refrigerant510A																											
R511A	ASHRAE 34	2	74-98-6	115-10-6	R290	RE170	0.95	0.05	0.952038489443906	0.0479615105560936	R 511A	R-511A	R511A	Refrigerant 511A	Refrigerant-511A	Refrigerant511A																											
R512A	REFPROP manual	2	811-97-2	75-37-6	R134a	R152a	0.05	0.95	0.032949	0.96705	R 512A	R-512A	R512A	Refrigerant 512A	Refrigerant-512A	Refrigerant512A																											
