CASRN	Agent [CAS No.]	Time-Weighted Average Limit (TWA)	Short-Term Exposure Limit (STEL)	Ceiling Limit (C)	Notations	MW
98-07-7	Benzotrichloride [98-07-7] 	 		0.1 ppm	Skin	195.4736
98-88-4	Benzoyl chloride [98-88-4] 	 		0.5 ppm		140.567
94-36-0	Benzoyl peroxide [94-36-0] 	5 mg/m3	 			242.2268
140-11-4	Benzyl acetate [140-11-4]	10 ppm	 			150.1745
100-44-7	Benzyl chloride [100-44-7] 	1 ppm	 			126.58348
7440-41-7	Beryllium and its compounds, as Be [7440-41-7] 	0.002 mg/m3	0.01 mg/m3			9.012182
92-52-4	Biphenyl [92-52-4] 	0.2 ppm	 			154.2078
3033-62-3	Bis(2-dimethylaminoethyl) ether (DMAEE) [3033-62-3] 	0.05 ppm	0.15 ppm		Skin	160.2572
542-88-1	bis(Chloromethyl) ether [542-88-1] 	0.001 ppm	 			114.95856
1304-82-1	Bismuth telluride Undoped [1304-82-1] Se-doped, as Bi2Te3	5 mg/m3	 			1601.5216
1330-43-4; 1303-96-4; 10043-35-3; 12179-04-3	Borate compounds, Inorganic [1330-43-4; 1303-96-4; 10043-35-3; 12179-04-3]	2 mg/m3 	6 mg/m3			;;61.83302;555.210893
1303-86-2	Boron oxide [1303-86-2] 	10 mg/m3	 			
10294-33-4	Boron tribromide [10294-33-4] 	 		1 ppm		250.523
7637-07-2	Boron trifluoride [7637-07-2] 	 		1 ppm		67.80621
314-40-9	Bromacil [314-40-9] 	10 mg/m3	 			261.11572
7726-95-6	Bromine [7726-95-6] 	0.1 ppm	0.2 ppm			
7789-30-2	Bromine pentafluoride [7789-30-2] 	0.1 ppm	 			174.896016
75-25-2	Bromoform [75-25-2] 	0.5 ppm	 			252.73064
106-97-8; 75-28-5	Butane, All isomers [106-97-8; 75-28-5]	800 ppm				58.1222;58.1222
106-98-9; 107-01-7; 590-18-1; 624-64-6; 25167-67-3; 115-11-7	Butenes, All isomers [106-98-9; 107-01-7; 590-18-1; 624-64-6; 25167-67-3] Isobutene [115-11-7]	250 ppm	 			56.10632;56.10632;56.10632;56.10632;56.10632;56.10632
128-37-0	Butylated hydroxytoluene (BHT) [128-37-0]	2 mg/m3 	 			220.35046
7440-43-9	Cadmium [7440-43-9] and compounds, as Cd	0.002 mg/m3	 			112.411
10043-52-4	Calcium chloride [10043-52-4]	5 mg/m3	 			
13765-19-0	Calcium chromate [13765-19-0], as Cr 	0.001 mg/m3	 			156.0717
156-62-7	Calcium cyanamide [156-62-7] 	0.5 mg/m3	 			82.11798
1305-62-0	Calcium hydroxide [1305-62-0] 	5 mg/m3	 			74.09268
1305-78-8	Calcium oxide [1305-78-8] 	2 mg/m3	 			56.0774
1344-95-2	Calcium silicate - synthetic nonfibrous [1344-95-2]	10 mg/m3 	 			172.2391
7778-18-9; 10034-76-1; 10101-41-4; 13397-24-5)	Calcium sulfate [7778-18-9; 10034-76-1; 10101-41-4; 13397-24-5)] 	10 mg/m3 	 			136.1406;290.29648;172.17116;
76-22-2	Camphor, synthetic [76-22-2] 	2 ppm	3 ppm			152.23344
105-60-2	Caprolactam [105-60-2] 	5 mg/m3 	 			113.15764
2425-06-1	Captafol [2425-06-1] 	0.1 mg/m3	 		Skin	349.06096
133-06-2	Captan [133-06-2] 	5 mg/m3 	 			300.58932
63-25-2	Carbaryl [63-25-2] 	0.5 mg/m3 	 		Skin 	201.22124
1563-66-2	Carbofuran [1563-66-2] 	0.1 mg/m3 	 			221.2524
1333-86-4	Carbon black [1333-86-4] 	3 mg/m3 	 			16.04246
124-38-9	Carbon dioxide [124-38-9] 	5000 ppm	30000 ppm			44.0095
75-15-0	Carbon disulfide [75-15-0] 	1 ppm	 		Skin	76.1407
630-08-0	Carbon monoxide [630-08-0] 	25 ppm	 			28.0101
558-13-4	Carbon tetrabromide [558-13-4] 	0.1 ppm	0.3 ppm			331.6267
56-23-5	Carbon tetrachloride [56-23-5]	2 ppm	3 ppm		Skin	153.8227
353-50-4	Carbonyl fluoride [353-50-4] 	2 ppm	5 ppm			66.006906
120-80-9	Catechol [120-80-9] 	5 ppm	 		Skin	110.11064
9004-34-6	Cellulose [9004-34-6] 	10 mg/m3	 			
21351-79-1	Cesium hydroxide [21351-79-1] 	2 mg/m3	 			149.912792
16291-96-6	Charcoal, except activated [16291-96-6]	10 mg/m3	 			16.04246
57-74-9	Chlordane [57-74-9] 	0.5 mg/m3	 		Skin	409.77864
8001-35-2	Chlorinated camphene [8001-35-2] 	0.5 mg/m3	1 mg/m3		Skin	
55720-99-5	Chlorinated diphenyl oxides [55720-99-5]	0.5 mg/m3	2 mg/m3			
7782-50-5	Chlorine [7782-50-5] 	0.5 ppm	1 ppm			70.906
10049-04-4	Chlorine dioxide [10049-04-4] 	0.1 ppm	0.3 ppm			67.4518
7790-91-2	Chlorine trifluoride [7790-91-2] 	 		0.1 ppm		92.44821
107-20-0	Chloroacetaldehyde [107-20-0] 	 		1 ppm		78.49762
78-95-5	Chloroacetone [78-95-5] 	 		1 ppm	Skin	92.5242
79-04-9	Chloroacetyl chloride [79-04-9] 	0.05 ppm	0.15 ppm		Skin	112.94268
108-90-7	Chlorobenzene [108-90-7] 	10 ppm	 			112.5569
74-97-5	Chlorobromomethane [74-97-5] 	200 ppm	 			129.38358
75-45-6	Chlorodifluoromethane [75-45-6] 	1000 ppm	 			86.468446
53469-21-9; 11097-69-1	Chlorodiphenyl (42% chlorine) [53469-21-9] Chlorodiphenyl (54% chlorine) [11097-69-1]	0.05 mg/m3				;
67-66-3	Chloroform [67-66-3] 	10 ppm	 			119.37764
107-30-2	Chloromethyl methyl ether [107-30-2] 		 			80.5135
76-15-3	Chloropentafluoroethane [76-15-3] 	1000 ppm	 			154.466416
76-06-2	Chloropicrin [76-06-2]	0.1 ppm	 			164.3752
2921-88-2	Chlorpyrifos [2921-88-2] 	0.1 mg/m3 	 		Skin	350.586302
	Chromite ore processing (Chromate), as Cr 	0.05 mg/m3	 			
7440-47-3	Chromium [7440-47-3] and inorganic compounds, as Cr Metal and Cr III compounds  Water- soluble Cr VI compounds Insoluble Cr VI compounds	0.01 mg/m3 	 			51.9961
14977-61-8	Chromyl chloride [14977-61-8] 	0.025 ppm	 			
218-01-9	Chrysene [218-01-9] 		 			228.28788
5392-40-5	Citral [5392-40-5] 	5 ppm 	 		Skin	152.23344
2971-90-6	Clopidol [2971-90-6] 	10 mg/m3	 			192.04258
	Coal dust Anthracite Bituminous 	0.4 mg/m3 	 			
65996-93-2	Coal tar pitch volatiles [65996-93-2],  as benzene soluble aerosol	0.2 mg/m3	 			
7440-48-4	Cobalt [7440-48-4] and inorganic compounds, as Co 	0.02 mg/m3	 			58.933195
10210-68-1	Cobalt carbonyl [10210-68-1], as Co 	0.1 mg/m3	 			
16842-03-8	Cobalt hydrocarbonyl [16842-03-8], as Co 	0.1 mg/m3	 			
	Coke Oven Emissions1	0.15 mg/m3	 			
7440-50-8	Copper [7440-50-8] Fume  Dusts and mists, as Cu	0.2 mg/m3 	 			63.546
	Cotton dust, raw, untreated	0.1 mg/m3 	 			
56-72-4	Coumaphos [56-72-4] 	0.05 mg/m3 	 		Skin	362.765602
63393-89-5	Coumarone-Indene Resins (total dust) [63393-89-5]	5 mg/m3 	 			
1319-77-3; 95-48-7; 108-39-4; 106-44-5	Cresol, All isomers [1319-77-3; 95-48-7; 108-39-4; 106-44-5] 	20 mg/m3 	 		Skin	;108.13782;108.13782;108.13782
4170-30-3	Crotonaldehyde [4170-30-3] 	 		0.3 ppm	Skin	70.08984
299-86-5	Crufomate [299-86-5] 	5 mg/m3	 			291.710922
98-82-8	Cumene [98-82-8] 	50 ppm	 			120.19158
420-04-2	Cyanamide [420-04-2] 	2 mg/m3	 			42.03998
460-19-5	Cyanogen [460-19-5] 	10 ppm	 			52.0348
506-77-4	Cyanogen chloride [506-77-4] 	 		0.3 ppm		61.4704
110-82-7	Cyclohexane [110-82-7] 	100 ppm	 			84.15948
108-93-0	Cyclohexanol [108-93-0] 	50 ppm	 		Skin	100.15888
108-94-1	Cyclohexanone [108-94-1] 	20 ppm	50 ppm		Skin	98.143
110-83-8	Cyclohexene [110-83-8] 	300 ppm	 			82.1436
108-91-8	Cyclohexylamine [108-91-8] 	10 ppm	 			99.17412
121-82-4	Cyclonite [121-82-4] 	0.5 mg/m3	 		Skin	222.11634
542-92-7	Cyclopentadiene [542-92-7] 	75 ppm	 			66.10114
287-92-3	Cyclopentane [287-92-3] 	600 ppm	 			70.1329
13121-70-5	Cyhexatin [13121-70-5] 	5 mg/m3	 			386.1799
25155-15-1	Cymene (sum of o-,m-and p-isomers) [25155-15-1]	50 ppm	 		Skin	134.21816
50-29-3	DDT [50-29-3]	1 mg/m3	 			354.48626
17702-41-9	Decaborane [17702-41-9] 	0.05 ppm	0.15 ppm		Skin	108.11
8065-48-3	Demeton [8065-48-3] 	0.05 mg/m3 	 		Skin	516.676844
919-86-8	Demeton-S-methyl [919-86-8] 	0.05 mg/m3 	 		Skin	230.285262
117-81-7	Di(2-ethylhexyl)phthalate (DEHP) [117-81-7] 	3 mg/m3	5 mg/m3			390.55612
123-42-2	Diacetone alcohol [123-42-2] 	50 ppm	 			116.15828
61790-53-2	Diatomaceous earth (uncalcined) [61790-53-2]	3 mg/m3 	 			60.0843
333-41-5	Diazinon [333-41-5] 	0.01 mg/m3 	 		Skin	304.345502
334-88-3	Diazomethane [334-88-3] 	0.2 ppm	 			42.03998
19287-45-7	Diborane [19287-45-7] 	0.1 ppm	 			21.622
2528-36-1	Dibutyl phenyl phosphate [2528-36-1] 	0.3 ppm	 		Skin	286.303782
107-66-4	Dibutyl phosphate [107-66-4] 	5 mg/m3 	 		Skin	210.207822
84-74-2	Dibutyl phthalate [84-74-2] 	5 mg/m3	 			278.34348
79-43-6	Dichloroacetic acid [79-43-6] 	0.5 ppm	 		Skin	128.94208
7572-29-4	Dichloroacetylene [7572-29-4] 	 		0.1 ppm		94.9274
75-71-8	Dichlorodifluoromethane [75-71-8] 	1000 ppm	 			120.913506
111-44-4	Dichloroethyl ether [111-44-4] 	5 ppm	10 ppm		Skin	143.01172
75-43-4	Dichlorofluoromethane [75-43-4] 	10 ppm	 			102.923043
75-09-2	Dichloromethane [75-09-2] 	50 ppm	 			84.93258
76-14-2	Dichlorotetrafluoroethane [76-14-2] 	1000 ppm	 			170.921013
62-73-7	Dichlorvos (DDVP) [62-73-7] 	0.1 mg/m3 	 		Skin	220.975742
141-66-2	Dicrotophos [141-66-2] 	0.05 mg/m3 	 		Skin	237.190102
77-73-6	Dicyclopentadiene [77-73-6] 	5 ppm	 			132.20228
102-54-5	Dicyclopentadienyl iron, as Fe [102-54-5] 	10 mg/m3	 			186.0314
60-57-1	Dieldrin [60-57-1] 	0.1 mg/m3 	 		Skin	380.90932
68334-30-5; 68476-30-2; 68476-31-3; 68476-34-6; 77650-28-3	Diesel fuel [68334-30-5; 68476-30-2; 68476-31-3; 68476-34-6; 77650-28-3], as total hydrocarbons	100 mg/m3 	 		Skin	;;;;
111-42-2	Diethanolamine [111-42-2] 	1 mg/m3 	 		Skin	105.13564
96-22-0	Diethyl ketone [96-22-0] 	200 ppm	300 ppm			86.1323
84-66-2	Diethyl phthalate [84-66-2] 	5 mg/m3	 			222.23716
109-89-7	Diethylamine [109-89-7] 	5 ppm	15 ppm		Skin	73.13684
111-90-0	Diethylene glycol monoethyl ether [111-90-0]	30 ppm	 			134.17356
111-40-0	Diethylene triamine [111-40-0] 	1 ppm	 		Skin	103.16612
75-61-6	Difluorodibromomethane [75-61-6] 	100 ppm	 			209.815506
2238-07-5	Diglycidyl ether (DGE) [2238-07-5] 	0.01 ppm	 			130.1418
108-83-8	Diisobutyl ketone [108-83-8] 	25 ppm	 			142.23862
26761-40-0	Diisodecyl phthalate [26761-40-0]	5 mg/m3	 			446.66244
108-18-9	Diisopropylamine [108-18-9] 	5 ppm	 		Skin	101.19
1861-32-1	Dimethyl 2,3,5,6-tetracholoroterephthalate [1861-32-1]	5 mg/m3	 			331.96424
79-44-7	Dimethyl carbamoyl chloride [79-44-7] 	0.005 ppm	 		Skin 	107.53884
624-92-0	Dimethyl disulfide [624-92-0]	0.5 ppm	 		Skin 	94.19904
131-11-3	Dimethyl phthalate [131-11-3] 	5 mg/m3	 			194.184
77-78-1	Dimethyl sulfate [77-78-1] 	0.1 ppm	 		Skin	126.13164
75-18-3	Dimethyl sulfide [75-18-3] 	10 ppm	 			62.13404
120-61-6	Dimethyl terephthalate [120-61-6]	5 mg/m3	 			194.184
124-40-3	Dimethylamine [124-40-3] 	5 ppm	15 ppm			45.08368
121-69-7	Dimethylaniline [121-69-7] 	5 ppm	10 ppm		Skin	121.17964
14857-34-2	Dimethylethoxysilane [14857-34-2] 	0.5 ppm	1.5 ppm			103.21504
68-12-2	Dimethylformamide [68-12-2] 	10 ppm	 		Skin	73.09378
534-52-1	Dinitro-o-cresol [534-52-1] 	0.2 mg/m3	 		Skin	198.13294
528-29-0; 99-65-0; 100-25-4; 25154-54-5	Dinitrobenzene, All isomers [528-29-0; 99-65-0; 100-25-4; 25154-54-5] 	0.15 ppm	 		Skin	168.10696;168.10696;168.10696;168.10696
25321-14-6	Dinitrotoluene [25321-14-6] 	0.2 mg/m3	 		Skin	
78-34-2	Dioxathion [78-34-2] 	0.1 mg/m3 	 		Skin	456.538764
122-39-4	Diphenylamine [122-39-4] 	10 mg/m3	 			169.22244
123-19-3	Dipropyl ketone [123-19-3] 	50 ppm	 			114.18546
88917-22-0	Dipropylene glycol monomethyl ether acetate [88917-22-0] 	100 ppm	150 ppm			
2764-72-9; 85-00-7; 6385-62-2	Diquat [2764-72-9; 85-00-7; 6385-62-2] 	0.1 mg/m3 	 		Skin	184.23708;344.04508;
97-77-8	Disulfiram [97-77-8] 	2 mg/m3	 			296.5392
298-04-4	Disulfoton [298-04-4] 	0.05 mg/m3 	 		Skin	274.404022
330-54-1	Diuron [330-54-1] 	10 mg/m3	 			233.0945
1321-74-0	Divinyl benzene [1321-74-0] 	10 ppm	 			130.1864
112-55-0	Dodecyl mercaptan [112-55-0] 	0.1 ppm	 			202.39984
115-29-7	Endosulfan [115-29-7] 	0.1 mg/m3 	 		Skin	406.92514
72-20-8	Endrin [72-20-8] 	0.1 mg/m3	 		Skin	380.90932
13838-16-9	Enflurane [13838-16-9]	2 ppm	 			184.492396
106-89-8	Epichlorohydrin [106-89-8] 	0.5 ppm	 		Skin	92.5242
2104-64-5	EPN [2104-64-5] 	0.1 mg/m3 	 		Skin	323.304022
74-84-0	Ethane [74-84-0] 	1000 ppm				30.06904
64-17-5	Ethanol [64-17-5] 	 	1000 ppm			46.06844
141-43-5	Ethanolamine [141-43-5]	3 ppm	6 ppm			61.08308
563-12-2	Ethion [563-12-2] 	0.05 mg/m3 	 		Skin	384.476104
141-78-6	Ethyl acetate [141-78-6] 	400 ppm	 			88.10512
140-88-5	Ethyl acrylate [140-88-5] 	5 ppm	15 ppm			100.11582
541-85-5	Ethyl amyl ketone [541-85-5] 	10 ppm	 			128.21204
100-41-4	Ethyl benzene [100-41-4] 	20 ppm	 			106.165
74-96-4	Ethyl bromide [74-96-4] 	5 ppm	 		Skin	108.9651
106-35-4	Ethyl butyl ketone [106-35-4] 	50 ppm	75 ppm			114.18546
75-00-3	Ethyl chloride [75-00-3] 	100 ppm	 		Skin	64.5141
7085-85-0	Ethyl cyanoacrylate [7085-85-0] 	0.2 ppm	 			125.12528
60-29-7	Ethyl ether [60-29-7] 	400 ppm	500 ppm			74.1216
109-94-4	Ethyl formate [109-94-4] 	100 ppm	 			74.07854
75-08-1	Ethyl mercaptan [75-08-1] 	0.5 ppm	 			62.13404
97-63-2	Ethyl methacrylate [97-63-2]	100 ppm	 			114.1424
78-10-4	Ethyl silicate [78-10-4] 	10 ppm	 			208.3275
637-92-3	Ethyl tert-butyl ether (ETBE) [637-92-3] 	5 ppm	 			102.17476
763-69-9	Ethyl-3-ethoxy propionate [763-69-9]	50 ppm	 			146.18426
75-04-7	Ethylamine [75-04-7] 	5 ppm	15 ppm		Skin	45.08368
74-85-1	Ethylene [74-85-1] 	200 ppm	 			28.05316
107-07-3	Ethylene chlorohydrin [107-07-3] 	 		1 ppm	Skin	80.5135
106-93-4	Ethylene dibromide [106-93-4] 		 		Skin	187.86116
107-06-2	Ethylene dichloride [107-06-2] 	10 ppm	 			98.95916
107-21-1	Ethylene glycol [107-21-1] 	 		100 mg/m3		62.06784
110-71-4	Ethylene glycol dimethyl ether [110-71-4] 	5 ppm	 		Skin	90.121
628-96-6	Ethylene glycol dinitrate (EGDN) [628-96-6] 	0.05 ppm	 		Skin	152.06296
2807-30-9	Ethylene glycol mono-n-propyl ether [2807-30-9]	25 ppm	 		Skin	104.14758
16051-48-2	Ethylene glycol mononitrate [16051-48-2]	0.05 ppm	 		Skin	107.0654
75-21-8	Ethylene oxide [75-21-8] 	1 ppm	18 mg/m3			44.05256
107-15-3	Ethylenediamine [107-15-3] 	10 ppm	 		Skin	60.09832
151-56-4	Ethyleneimine [151-56-4] 	0.05 ppm	0.1 ppm		Skin	43.0678
16219-75-3	Ethylidene norbornene [16219-75-3] 	 		5 ppm		120.19158
