CASRN	Chemical	Hsub	error
120-36-5	2-(2,4-dichlorophenoxy)propanoic acid 	123000	
120-46-7	dibenzoylmethane 	114500	
120-47-8	ethyl 4-hydroxybenzoate 	100900	700
120-61-6	dimethyl terephthalate 	104600	300
120-72-9	indole   	75750	
120-80-9	1,2-dihydroxybenzene 	87050	
120-89-8	imidazolidine-2,4,5-trione (parabanic acid) 	119400	600
120-93-4	2-imadazolidinone 	90150	
1202-25-1	methyl p-N,N-dimethylaminobenzoate 	99550	
121-14-2	2,4-dinitrotoluene 	99600	2500
121-73-3	1-chloro-3-nitrobenzene 	81300	300
121-82-4	hexahydro-1,3,5-trinitro-1,3,5-triazine 	131150	
121-87-9	2-chloro-4-nitroaniline 	102200	
121-89-1	3’-nitroacetophenone   	99100	400
121-91-5	isophthalic acid   	142000	700
121-92-6	3-nitrobenzoic acid  	110000	400
1210-35-1	dibenzosuberone 	109300	1500
1215-43-6	monthiodibenzoylmethane 	125500	4900
121678-88-4	4-isopropylbenzylidene tert-butylamine N-oxide 	101800	4100
122-96-3	1,4-bis-(2-hydroxyethyl)piperazine 	130500	1000
123-01-3	1-phenyldodecane 	135100	
123-08-0	4-hydroxybenzaldehyde 	100130	
123-30-8	4-aminophenol   	106350	
123-31-9	1,4-dihydroxybenzene 	94100	500
123-56-8	succinimide 	83600	1500
123-99-9	nonanedioic acid (azelaic acid) 	159900	1000
124-04-9	adipic acid 	133600	1300
124765-79-3	4-tert-octylphenol 	97900	900
126-81-8	5,5-dimethyl-1,3-cyclohexanedione 	99800	1100
128-37-0	2,6-di-tert-butyl-4-methylphenol 	89950	
128-39-2	2,6-di-tert-butylphenol 	83050	
128-83-2	2,4-dichlorophenol 	74050	
129-00-0	pyrene 	101500	
129-29-9	3-(4-methoxyphenyl)propionic acid 	124500	1700
129-64-6	endo-5-norbornene-2,3-dicarboxylic anhydride  	97000	4200
130-15-4	1,4-naphthoquinone   	91000	800
130-16-5	5-chloro-8-hydroxyquinoline   	98700	900
130-26-7	5-chloro-7-iodo-8-hydroxyquinoline 	114800	400
13020-57-0	(3-hydroxyphenyl)phenylmethanone 	131700	800
13029-08-8	2,2'-dichlorobiphenyl 	96200	4200
13161-30-3	2-hydroxypyridine N-oxide 	89400	900
132-64-9	dibenzofuran 	80970	
132-86-5	1,3-dihydroxynaphthalene 	116000	1100
13297-17-1	2-methyl-3-acetylquinoxaline-1,4-dioxide 	117000	2400
13297-18-2	3-methyl-2-quinoxalinecarboxylic acid-1,4-dioxide, ethyl ester 	133400	2100
13315-23-6	4-methyl-2-pyrazoline-5-one 	111800	1100
13351-29-6	cis-8-methyl-2-hydrindanone 	60900	200
134-32-7	1-naphthylamine 	88100	400
134-81-6	benzil 	106300	2800
134-85-0	4-chlorobenzophenone 	108200	300
13494-38-7	2-phenyl-3-benzoylquinoxaline-1,4-dioxide 	167400	4000
135-48-8	pentacene   	184000	10000
135-67-1	10H-phenoxazine 	96100	300
13506-76-8	2-methyl-6-nitrobenzoic acid 	120000	2200
13523-86-9	(±) 1-(1H-indol-4-yloxy)-3-(isopropylamino)-2-propanol 	146000	1200
13602-12-5	pyridine-4-carboxylic acid N-oxide 	136100	1200
13710-19-5	2-[(3-chloro-2-methylphenyl)amino]benzoic acid (tolfenamic acid) 	128400	800
137932-36-6	3-diphenylmethyl-3-methyl-2,4-pentandione 	114400	600
138-89-6	4-N,N-dimethylaminonitrosobenzene 	82000	1700
139408-38-1	1,4-dithiane sulfone 	99900	1200
13980-04-6	1,3,5-trinitroso-1,3,5-triazacyclohexane 	134300	700
140-10-3	trans cinnamic acid 	107100	800
14003-34-0	2-methyl-3-hydroxyquinoxaline 	121350	
14085-34-8	4,5-tetramethylene-1,2-dithiole-3-thione 	105300	
14091-93-1	(E)-3-(methylamino)-1-phenyl-but-2-en-1-one 	99200	4200
14098-44-3	benzo-15-crown-5 	128100	10800
141-82-2	malonic acid 	111400	700
141-90-2	2-thiouracil   	138500	1100
14156-10-6	peroxydecanoic acid 	117100	800
14187-32-7	dibenzo-18-crown-6 	178800	6900
142-08-5	2-hydroxypyridine 	86600	1300
1436-43-7	2-cyanoquinoline 	91850	
144-62-7	oxalic acid (anhydrous)   	93700	1300
1445-69-8	phthalhydrazide 	139800	700
1452-15-9	4-cyanothiazole   	73900	400
1452-77-3	2-pyridinecarboxamide   	93100	3300
1453-82-3	4-pyridinecarboxamide 	116100	1500
1456-33-0	bicyclo[4.2.1]non-3-ene 	49700	800
1459-93-4	dimethyl isophthalate 	100800	
1460-02-2	1,3,5-tri-tert-butylbenzene   	81200	300
1462-03-9	1-methylcyclopentanol 	67000	200
14620-98-5	trans-heptacyclene 	149000	3100
1466-76-8	2,6-dimethoxybenzoic acid 	120050	
147-82-0	2,4,6-tribromoaniline   	96700	1700
14737-91-8	cis-2-methoxycinnamic acid 	121700	600
148-24-3	8-hydroxyquinoline   	89250	
1484-12-4	9-methylcarbazole 	95500	
149-30-4	3H-1,3-benzothiazole-2-thione 	111000	2400
14906-59-3	4-cyanopyridine N-oxide 	104400	4300
14906-64-0	3-cyanopyridine N-oxide 	101900	2000
1493-27-2	2-fluoronitrobenzene 	78400	800
1498-96-0	4-n-butoxybenzoic acid 	128350	
150-13-0	4-aminobenzoic acid   	116000	3700
150-76-5	4-methoxyphenol 	90870	
150-78-7	1,4-dimethoxybenzene 	82200	
1502-00-7	N,N-dimethyl-1-adamantylcarboxamide 	97500	300
15029-30-8	1-(cyanoacetyl)piperidine 	103500	1900
15065-28-8	cis-heptacyclene 	127900	
150993-53-6	2-cyanophenyl benzyl sulfide 	117800	2100
1520-42-9	1,1,2-triphenylethane 	92200	500
1521-38-6	2,3-dimethoxybenzoic acid 	115850	
1523-11-1	?-naphthyl acetate 	95700	
15271-39-6	1,1,1-triphenylethane 	108600	900
1530-12-7	9,9’-bifluorenyl 	132600	1100
15300-82-0	9,9’-dimethyl-9,9’-bifluorenyl 	119700	1300
15307-86-5	2-[(2,6-dichlorophenyl)amino]benzoic acid (diclofenac acid) 	115600	1300
1540-80-3	1,8-cyclotetradecadiyne 	94300	
15506-53-3	cyclobutane-1,3-dione 	73600	3700
156-81-0	2,4-diaminopyrimidine 	106300	800
1562-94-3	p-azoxyanisole 	134800	3700
1563-87-7	N-phenyldiacetamide   	90000	800
1568-70-3	4-methoxy-2-nitrophenol 	90800	1700
15788-02-0	1,1,1-trifluoro-4-(2-thienyl)-4-hydroxy-3-buten-2-one 	86200	600
15804-19-0	2,3-dihydroxyquinoxaline 	156300	5500
15872-41-0	4-pentoxybenzoic acid 	134500	800
15872-42-1	4-heptyloxybenzoic acid 	157200	1200
1592-38-7	2-naphthalenemethanol 	106000	2100
15962-47-7	N-acetyl-L-alanine amide 	118100	1600
15965-30-7	4,5-dichloroimidazole 	94500	800
16063-70-0	2,3,5-trichloropyridine 	74400	1500
160731-84-0	3-(diphenylmethyl)-3-propyl-2,4-pentanedione 	124700	
16087-30-2	N,N'-ethylenebis(3-amino-1-phenylbut-2-en-1-one) 	198800	5300
16110-09-1	2,5-dichloropyridine 	67100	2000
16212-85-4	3,6-diphenyl-1,2-dithiin 	183100	2500
1625-91-8	4,4’-di-tert-butylbiphenyl 	107700	
1625-92-9	4-tert-butylbiphenyl 	98050	
1632-83-3	1-methylbenzimidazole 	87100	500
163733-96-8	3,4,5-trifluoroaniline 	74600	1300
16487-10-8	1,3-dithiane sulfoxide 	97700	800
16498-20-7	2,3-dihydro-6-nitro-1,4-benzodioxin 	100600	1200
16528-92-0	1,3,5,7,9-pentoxecane   	87900	500
165454-33-1	cis-5a,6,11a,12-tetrahdro[1,4]benzothiazino[3,2-b]-[1,4]-benzothiazine 	123300	1200
1660-04-4	1-adamantyl methyl ketone   	84200	600
16624-68-3	N-acetyl (d)-leucine amide 	120400	400
16713-66-9	3,3-tetramethyleneglutaric acid 	126900	2400
1679-64-7	monomethyl terephthalate   	124100	1000
16803-92-2	4-amino-N-(4-chlorophenyl)benzene sulfonamide 	134100	1200
16867-04-2	2,3-dihydroxypyridine 	109100	4300
1687-36-1	1,3,5,7-tetramethyladamantane 	82400	
1689-64-1	9-hydroxyfluorene 	108650	
16909-09-4	trans-2,4-dimethoxycinnamic acid 	149200	1300
16909-11-8	trans-3,5-dimethoxycinnamic acid  	141400	500
1696-17-9	N,N-diethylbenzamide 	91400	3200
170464-52-5	9-fluorenyl-tris(methoxycarbonyl)methane 	132600	
170464-53-6	tris(ethoxycarbonyl)-9-fluorenylmethane 	143200	
17082-12-1	trans azobenzene 	93850	
1712-69-2	4-methoxy-?-methylstyrene 	81200	400
1722-12-9	2-chloropyrimidine 	70100	1300
1730-37-6	1-methylfluorene 	91200	400
17374-18-4	tetrahydro-2H-1,3-oxazine-2-thione 	108900	5100
1748-15-8	1,3-dithian-2-thione   	91400	2500
17564-64-6	N-chloromethylphthalimide 	103550	
17570-26-2	trans-3-methoxycinnamic acid  	124000	900
17767-20-3	phosphorus-tris(N,N-diethyldithiocarbamate)  	143000	2000
1780-40-1	2,4,5,6-tetrachloropyrmidine 	83000	1000
17872-39-8	Heptacyclo[6.6.0.02,6.03,13.04,11.05,9.010,14]tetradecane 	81950	
180-43-8	bicyclo[3.3.3]undecane   	63600	800
1806-29-7	2,2’-dihydroxybiphenyl 	114400	1200
180988-52-7	6,6-dimethyl-1-phenyl-4,8-dioxaspiro[2.5]octane 	97500	300
1820-81-1	5-chlorouracil 	148300	2400
1821-12-1	4-phenylbutyric acid 	113000	1000
1829-81-8	N-(4-nitrophenyl)benzenesulfonamide 	132500	1600
183212-67-1	1,1,1-tris(ethoxycarbonyl)-2,2-diphenylethane 	140100	
1852-04-6	undecanedioic acid 	162500	1900
1852-17-1	tetrahydro-2-pyrimidone 	101350	
18594-93-9	3-anilino-1-phenylbut-2-enone 	126800	3000
18617-86-6	2-methyl-4-hydroxypyridine 	113000	1300
187-78-0	paracylene 	83200	
18708-70-8	2,4,6-trichloro-1-nitrobenzene 	85500	
1877-71-0	monomethyl isophthalate 	125600	1000
1877-72-1	3-cyanobenzoic acid 	116600	900
18771-85-2	4-nitrobenzofurazan-1-oxide 	97300	1600
191-07-1	coronene 	131000	1700
19164-41-1	5-methylbenzofurazan-1-oxide 	92200	1200
1918-77-0	2-thiopheneacetic acid 	97500	1400
1918-79-2	5-methyl-2-thiophenecarboxylic acid 	101900	300
19219-99-9	5-chloro-2-methylbenzoxazole 	82400	2200
192998-96-2	cis-5a,6,11a,12-tetrahdro[1,4]benzothiazino[3,2-b][1,4]-benzoxazine 	129000	1300
19335-11-6	5-aminoindazole 	118400	700
193472-69-4	1-fluoro-3,3,3-triphenylpropane 	129300	600
193472-70-7	2-fluoro-2-methyl-1,3-diphenylpropane 	102200	1100
193472-71-8	2-benzyl-2-fluoro-1,3-diphenylpropane 	127500	800
193472-72-9	2-fluoro-1,2,3-triphenylpropane 	132500	3000
193472-73-0	1,1-difluoro-3,3,3-triphenylpropane 	113200	1700
1948-33-0	2-tert-butyl-1,4-dihydroxybenzene 	104400	1300
19485-35-9	4,5-dicyano-1-methylimidazole 	96400	500
19740-34-2	2,2-dimethyladamantane 	73600	1300
1975-50-4	2-methyl-3-nitrobenzoic acid 	119100	
19803-53-3	(3-methyl-2-quinoxalinyl)phenylmethanone N,N'-dioxide 	153800	1800
19837-74-2	4-amino-N-(4-methoxyphenyl)benzenesulfonamide 	124000	1000
1984-59-4	2,3-dichloroanisole 	83600	1500
1986-81-8	3-pyridinecarboxamide N-oxide 	119200	2300
200570-98-5	3-hexyloxybenzoic acid 	139400	900
20357-59-9	N-(2-hydroxyphenylmethylene) benzenamine N-oxide 	116500	1400
2037-95-8	2H-1,3-benzoxazine-2,4(3H)-dione 	114200	2700
2050-68-2	4,4’-dichlorobiphenyl 	103800	4200
2058-74-4	1-methyl-1H-indole-2,3-dione (N-methylisatin) 	105600	3300
206-44-0	fluoranthene 	99000	
20651-71-2	4-butylbenzoic acid 	110500	700
20666-86-8	benzoyl (3-cyclohexyloxy)carbonyl peroxide 	96200	4200
20734-58-1	1,8-N,N,N’,N’-tetramethyldiaminonaphthalene 	94700	800
20771-72-6	4-[(4-nitrophenyl)amino]pent-3-ene-2-one 	121900	3900
208-96-8	acenaphthylene   	71500	
20919-96-4	1,1,1,4-tetranitrobutane 	99600	
20919-97-5	2,2,3,3-tetranitrobutane 	78200	800
20919-99-7	1,1,1,3,5,5,5-heptanitropentane 	111700	
2107-70-2	3-(3,4-dimethoxyphenyl)propionic acid 	143600	2200
21222-05-9	3,3'-dinitrobenzophenone 	147400	3900
2138-48-9	3-isopropyl-1,2-dihydroxybenzene 	97800	1700
21406-29-1	N-benzoylthiocarbamic O-butyl ester 	120700	1800
2142-68-9	2'-chloroacetophenone   	60100	1300
21472-93-5	1,3-diethylthymine   	89800	400
215-58-7	dibenz[a,c]anthracene 	159000	6000
2158-03-4	1-piperidinecarboxamide 	100200	1200
2164-87-6	4,5-tetramethylene-1,3-dithiolan-2-thione 	103900	2900
216489-95-1	1,1’-(1,2-ethanediyl)bis(1-nitrosohydrazine) 	172400	1300
216489-98-4	1-[2-(ethenyloxy)ethyl]-1-nitrosohydrazine 	112100	1900
21650-65-7	trans-diphenyldiazene N-oxide 	98600	900
217-59-4	triphenylene 	126500	4000
21789-36-6	2,6-dimethylbenzonitrile 	83900	2800
218-01-9	chrysene 	131000	4000
2213-63-0	2,3-dichloroquinoxaline 	92450	
22204-53-1	naproxen 	132100	
2227-79-4	thiobenzamide 	100300	
2231-57-4	thiocarbohydrazide   	152100	3000
2235-01-0	dimethoxydiphenylmethane 	103900	1700
2243-32-5	pentamethylbenzoic acid   	113400	1800
2243-62-1	1,5-diaminonaphthalene 	121350	
2243-80-3	3-nitrobenzophenone 	122450	
2270-20-4	5-phenylvaleric acid 	119400	1100
2273-41-8	2-methyl-2-piperidinopropionitrile 	80300	500
2294-94-2	1,1,1,2-tetraphenylethane 	132600	2100
230-27-3	7,8-benzoquinoline 	90200	2000
23074-42-2	1-adamantyl-1-carbonitrile 	67200	800
2314-40-1	1,3-dithiol-2-one  	73600	800
2316-26-9	trans-3,4-dimethoxycinnamic acid  	149900	800
23190-84-3	3-amino-2-quinoxalinecarbonitrile 1,4-dioxide 	139700	3700
23433-66-1	3-methylquinoxaline-2-carboxamide-1,4-dioxide 	166600	3700
2345-27-9	2-tetradecanone 	130900	500
2345-28-0	2-pentadecanone 	139300	1600
2345-34-8	4-acetoxybenzoic acid 	116100	300
2361-27-5	2-thiophenecarboxylic acid hydrazide 	113300	500
2379-55-7	2,3-dimethylquinoxaline 	86800	
2382-08-3	N-methyl-1,8-naphthalimide 	109700	800
2382-96-9	2-mercaptobenzoxazole (its tautomeric name is 3H-1,3-benzoxazole-2-thione) 	107500	1800
23825-32-3	N-benzoyl-N-methylbenzamide 	120100	400
2388-12-7	peroxydodecanoic acid 	131400	1700
2398-81-4	pyridine-3-carboxylic acid N-oxide 	152300	1900
2402-77-9	2,3-dichloropyridine 	73500	3100
2402-78-0	2,6-dichloropyridine 	72000	1600
2408-38-0	2,3,4,6-tetramethylbenzoic acid 	109700	500
2409-55-4	2-tert-butyl-4-methylphenol 	82900	500
2416-94-6	2,3,6-trimethylphenol 	86700	600
2423-84-9	pyrazine 1,4-dioxide 	116900	800
2424-92-2	eicosanedioic acid 	170000	3300
242800-94-8	1,1,1,4,4-pentanitro-2,2-dimethylpentane 	103800	
2432-11-3	2,6-diphenylphenol  	119100	1100
2433-66-7	quinoxaline-1,4-dioxide 	112000	1900
24331-09-7	tetracyanomethane   	61100	8800
2434-53-9	6-amino-1-methyluracil 	158200	
2437-66-3	2,3,5-trimethylbenzoic acid 	106700	300
2438-04-2	2-isopropylbenzoic acid 	101000	400
2438-05-3	4-propylbenzoic acid 	109100	800
2439-04-5	5-hydroxyisoquinoline 	109600	2100
24448-94-0	5,5-dimethylbarbituric acid 	115800	500
2457-47-8	3,5-dichloropyridine 	67300	1900
2458-12-0	3-amino-4-methylbenzoic acid 	119400	2500
2486-69-3	4-amino-3-methoxybenzoic acid 	132000	1200
2486-70-6	4-amino-3-methylbenzoic acid 	122000	2600
2493-84-7	4-octyloxybenzoic acid 	162200	
24973-59-9	2,4,6-tri-tert-butylnitrosobenzene 	91000	3200
2523-37-7	9-methylfluorene 	83250	
2529-36-4	2,3,6-trimethylbenzoic acid 	104400	200
2529-39-7	2,3,4,5-tetramethylbenzoic acid 	115900	600
253-52-1	phthalazine   	81700	
253-82-7	quinazoline  	77100	
2557-70-2	2-trifluoroactylpyrrole 	72800	1100
25612-07-1	4-amino-N-(4-cyanophenyl)benzenesulfonamide 	168300	2300
2571-39-3	3,4-dimethylbenzophenone 	107900	800
2571-52-0	2,4,6-trimethylbenzonitrile   	82900	1600
2571-54-2	2,4,6-trimethoxybenzonitrile   	112600	2000
25983-14-6	2,3,6,7-tetrachloroquinoxaline 	107050	
260-27-3	3,4-benzoquinoline 	98600	
260-65-9	bicyclo[3.3.1]nonane   	50600	2000
260-94-6	acridine 	92620	
2604-45-7	2,3,5,6-tetramethylbenzoic acid 	106100	800
261-31-4	thioxanthene  	101300	
2615-25-0	trans-cyclohexyl-1,4-diamine 	105000	800
262-12-4	dibenzo[b,e][1,4]dioxin   	90550	
262-20-4	phenoxathiin 	95600	500
2620-44-2	5-nitro-1,3-benzodioxole 	97400	2200
2620-63-5	N-acetylglycine amide  	140200	2300
26311-45-5	4-pentylbenzoic acid 	118200	1000
2634-33-5	1,2-benzisothiazol-3(2H)-one 	112400	2500
2642-63-9	3',4'-dichloroacetophenone 	91500	
26536-60-7	1,3-propylthiourea 	132500	3000
2672-58-4	1,3,5-benzenetricarboxylic acid, trimethyl ester 	118200	
26905-24-8	4-methoxyphenyl benzyl sulfide 	112500	2700
26934-61-2	2,2a,2b,3,5a,5b-hexahydro-1,2,3-metheno-1H-cycloprop[cd]indene 	58700	400
271-44-3	indazole 	91100	200
2713-31-7	2,5-difluorophenol 	68000	1400
2713-33-9	3,4-difluorophenol 	72900	1500
2713-34-0	3,5-difluorophenol 	72800	1500
2717-39-7	1,4,5,8-tetramethylnaphthalene  	99800	1400
2721-31-5	3,3,5,5-tetramethyl-1-pyrazoline 	61600	200
2721-32-6	2,3-diazabicyclo[2.2.1]hept-2-ene 	55300	600
273-09-6	benzofurazan 	64650	
273-13-2	2,1,3-benzothiadiazole 	73370	
273-53-0	benzoxazole 	69350	
275-02-5	piperazine 	72100	
27761-61-1	1,4-dimethyl-2,6,7-trioxabicyclo[2.2.2]octane 	74900	
2782-91-4	tetramethylthiourea 	83630	
27828-71-3	5-hydroxynicotinic acid 	149800	7100
2785-98-0	2,5-dimethoxybenzoic acid 	116100	700
279-23-2	bicyclo[2.2.1]heptane 	40130	
280-33-1	bicyclo[2.2.2]octane   	47700	800
281-23-2	adamantane 	59670	
281-32-3	2,4,10-trioxaadamantane 	74400	400
28177-48-2	2,6-difluorophenol 	77800	2000
283-24-9	3-azabicyclo[3.2.2]nonane 	57800	1300
283-50-1	bicyclo[3.3.2]decane   	58200	2000
28315-93-7	5-hydroxy-?-tetralone 	118500	1500
2840-26-8	3-amino-4-methoxybenzoic acid 	130700	800
28529-34-2	N-acetyl (l)-leucine amide 	119800	1500
2861-28-1	1,3-benzodioxole-5-acetic acid 	122900	1400
2879-20-1	6-acetylbenzodioxan 	102500	1100
288-13-1	pyrazole 	71600	
288-32-4	imidazole   	81700	
288-88-0	1,2,4-triazole  	82350	
2892-51-5	3,4-dihydroxy-3-cyclobutene-1,2-dione  	119000	
28930-29-2	1,3-diamino-2,4,6-trinitrobenzene   	143500	
290-87-9	1,3,5-triazine   	54200	200
2904-59-8	2,4,6-trimethoxybenzonitrile N-oxide  	91900	1900
291-21-4	1,3,5-trithiane  	93550	
29122-68-7	Benzeneacetamide, 4-[2-hydroxy-3-[(1-methylethyl)amino]propoxy]- 	140000	3700
2919-20-2	1,1-bis-(4-methylphenyl)ethene 	101000	1400
