CAS	Formula	Name	MW	Hf(aq)	Gf(aq)	S(aq)	Cp(aq)
24203-36-9	K+	Potassium ion	39.098	-252400	-283300	102.5	21.8
16096-89-2	La+3	Lanthanum ion	138.905	-707100	-683700	-217.6	-13
17341-24-1	Li+	Lithium ion	6.941	-278500	-293300	13.4	68.6
22541-24-8	Lu+3	Lutetium ion	174.967	-665000	-628000	-264	25
18946-64-0	LuF+2	Lutetium fluoride ion	193.965		-931400		
22537-22-0	Mg+2	Magnesium ion	24.305	-466900	-454800	-138.1	
60172-61-4	MgOH+	Magnesium hydroxide ion	41.312		-626700		
16397-91-4	Mn+2	Manganese ion	54.938	-220800	-228100	-73.6	50
95118-37-9	MnOH+	Manganese hydroxide ion	71.945	-450600	-405000	-17	
14798-03-9	NH4+	Ammonium ion	18.039	-132500	-79300	113.4	79.9
18500-32-8	N2H5+	Hydrazinium ion	33.053	-7500	82500	151	70.3
17341-25-2	Na+	Sodium ion	22.99	-240100	-261900	59	46.4
14913-52-1	Nd+3	Neodymium ion	144.242	-696200	-671600	-206.7	-21
14701-22-5	Ni+2	Nickel ion	58.693	-54000	-45600	-128.9	
12125-54-1	NiOH+	Nickel hydroxide ion	75.7	-287900	-227600	-71	
16749-13-6	PH4+	Phosphonium ion	35.006		92100		
22537-59-3	Pa+4	Protactinium ion	231.036	-619000			
14280-50-3	Pb+2	Lead ion	207.2	-1700	-24400	10.5	
12168-64-8	PbOH+	Lead(II) hydroxide ion	224.2		-226300		
16065-88-6	Pd+2	Palladium ion	106.42	149000	176500	-184	
22537-58-2	Po+2	Polonium ion	209		71000		
22541-34-0	Po+4	Polonium ion	209		293000		
22541-14-6	Pr+3	Praseodymium ion	140.908	-704600	-679100	-209	-29
22542-10-5	Pt+2	Platinum ion	195.084		254800		
22541-36-2	Ra+2	Radium ion	226	-527600	-561500	54	
22537-38-8	Rb+	Rubidium ion	85.468	-251200	-284000	121.5	
20561-58-4	Re+	Rhenium ion	186.207		-33000		
22537-29-7	Sc+3	Scandium ion	44.956	-614200	-586600	-255	
12135-07-8	ScOH+2	Scandium hydroxide ion	61.963	-861500	-801200	-134	
16396-66-0	Sm+2	Samarium ion	150.36		-497500		
22541-17-9	Sm+3	Samarium ion	150.36	-691600	-666600	-211.7	-21
22541-90-8	Sn+2	Tin ion	118.71	-8800	-27200	-17	
27216-79-1	SnOH+	Tin(II) hydroxide ion	135.717	-286200	-254800	50	
22537-39-9	Sr+2	Strontium ion	87.62	-545800	-559500	-32.6	
36812-32-5	SrOH+	Strontium hydroxide ion	104.63		-721300		
22541-20-4	Tb+3	Terbium ion	158.925	-682800	-651900	-226	17
129466-35-9	Te(OH)3+	Tellurium(IV) trihydroxide ion	178.62	-608400	-496100	111.7	
16065-92-2	Th+4	Thorium ion	232.038	-769000	-705100	-422.6	
12179-03-2	Th(OH)+3	Thorium(IV) hydroxide ion	249.045	-1030100	-920500	-343	
12179-05-4	Th(OH)2+2	Thorium(IV) dihydroxide ion	266.053	-1282400	-1140900	-218	
22537-56-0	Tl+	Thallium ion	204.383	5400	-32400	125.5	
14627-67-9	Tl+3	Thallium ion	204.383	196600	214600	-192	
15823-78-6	TlOH+2	Thallium hydroxide ion	221.39		-15900		
15391-91-0	Tl(OH)2+	Thallium dihydroxide ion	238.398		-244700		
22541-23-7	Tm+3	Thulium ion	168.934	-697900	-662000	-243	25
22578-81-0	U+3	Uranium ion	238.029	-489100	-476200	-188	
16089-60-4	U+4	Uranium ion	238.029	-591200	-531900	-410	
22537-40-2	Y+3	Yttrium ion	88.906	-723400	-693800	-251	
127622-32-6	Y(OH)+2	Yttrium hydroxide ion	105.913		-879100		
2099995000-00-0	Y2(OH)2+4	Yttrium dihydroxide ion	211.827		-1780300		
22541-96-4	Yb+2	Ytterbium ion	173.04		-527000		
18923-27-8	Yb+3	Ytterbium ion	173.04	-674500	-644000	-238	25
23713-49-7	Zn+2	Zinc ion	65.409	-153900	-147100	-112.1	46
22569-48-8	ZnOH+	Zinc hydroxide ion	82.416		-330100		
20653-98-9	AlO2-	Aluminate ion	58.981	-930900	-830900	-36.8	
14485-39-3	Al(OH)4-	Aluminum hydroxide ion	95.012	-1502500	-1305300	102.9	
17306-35-3	AsO2-	Metaarsenite ion	106.921	-429000	-350000	40.6	
15584-04-0	AsO4-3	Arsenate ion	138.92	-888100	-648400	-162.8	
14874-70-5	BF4-	Tetrafluoroborate ion	86.805	-1574900	-1486900	180	
16971-29-2	BH4-	Tetrahydroborate ion	14.843	48200	114400	110.5	
14100-65-3	BO2-	Metaborate ion	42.81	-772400	-678900	-37.2	
12258-53-6	B4O7-2	Tetraborate ion	155.24		-2604800		
117412-24-5	BeO2-2	Beryllium dioxide ion	41.011	-790800	-640100	-159	
24959-67-9	Br-	Bromide ion	79.904	-121600	-104000	82.4	-141.8
14380-62-2	BrO-	Hypobromite ion	95.903	-94100	-33400	42	
15541-45-4	BrO3-	Bromate ion	127.902	-67100	18600	161.7	
16474-32-1	BrO4-	Perbromate ion	143.902	13000	118100	199.6	
71-47-6	CHOO-	Formate ion	45.018	-425600	-351000	92	-87.9
71-50-1	CH3COO-	Acetate ion	59.044	-486000	-369300	86.6	-6.3
57-12-5	CN-	Cyanide ion	26.018	150600	172400	94.1	
3812-32-6	CO3-2	Carbonate ion	60.009	-677100	-527800	-56.9	
338-70-5	C2O4-2	Oxalate ion	88.019	-825100	-673900	45.6	
920-52-5	C2O4H-	Bioxalate ion	89.027	-818400	-698300	149.4	
16887-00-6	Cl-	Chloride ion	35.453	-167200	-131200	56.5	-136.4
14380-61-1	ClO-	Hypochlorite ion	51.452	-107100	-36800	42	
14998-27-7	ClO2-	Chlorite ion	67.452	-66500	17200	101.3	
14866-68-3	ClO3-	Chlorate ion	83.451	-104000	-8000	162.3	
14797-73-0	ClO4-	Perchlorate ion	99.451	-129300	-8500	182	
13907-45-4	CrO4-2	Chromate ion	115.994	-881200	-727800	50.2	
13907-47-6	Cr2O7-2	Dichromate ion	215.988	-1490300	-1301100	261.9	
16984-48-8	F-	Fluoride ion	18.998	-332600	-278800	-13.8	-106.7
13408-62-3	Fe(CN)6-3	Ferricyanide ion	211.949	561900	729400	270.3	
13408-63-4	Fe(CN)6-4	Ferrocyanide ion	211.949	455600	695100	95	
12447-33-5	HB4O7-	Hydrogen tetraborate ion	156.248		-2685100		
71-52-3	HCO3-	Bicarbonate ion	61.017	-692000	-586800	91.2	
18130-74-0	HF2-	Bifluoride ion	39.005	-649900	-578100	92.5	
44030-61-7	HPO3F-	Phosphorus trioxyfluoride ion	98.978		-1198200		
14066-19-4	HPO4-2	Hydrogen phosphate ion	95.979	-1292100	-1089200	-33.5	
42499-21-8	HP2O7-3	Hydrogen diphosphate ion	174.951	-2274800	-1972200	46	
15181-46-1	HSO3-	Bisulfite ion	81.071	-626200	-527700	139.7	
14996-02-2	HSO4-	Bisulfate ion	97.071	-887300	-755900	131.8	-84
34175-11-6	HS2O4-	Hydrogen dithionite ion	129.136		-614500		
16661-43-1	HSe-	Hydroselenide ion	79.97	15900	44000	79	
20638-10-2	HSeO3-	Biselenite ion	127.97	-514600	-411500	135.1	
14998-57-3	HSeO4-	Biselenate ion	143.97	-581600	-452200	149.4	
14102-45-5	H2AsO3-	Hydrogen arsenite ion	124.936	-714800	-587100	110.5	
16518-47-1	H2AsO4-	Hydrogen arsenate ion	140.936	-909600	-753200	117	
14066-20-7	H2PO4-	Dihydrogen phosphate ion	96.987	-1296300	-1130200	90.4	
15251-42-0	H2P2O7-2	Dihydrogen pyrophosphate ion	175.959	-2278600	-2010200	163	
20461-54-5	I-	Iodide ion	126.904	-55200	-51600	111.3	-142.3
15065-65-3	IO-	Hypoiodite ion	142.903	-107500	-38500	-5.4	
15454-31-6	IO3-	Iodate ion	174.902	-221300	-128000	118.4	
15056-35-6	IO4-	Periodate ion	190.902	-151500	-58500	222	
14333-13-2	MnO4-	Permanganate ion	118.936	-541400	-447200	191.2	-82
14333-14-3	MnO4-2	Manganate ion	118.936	-653000	-500700	59	
14259-85-9	MoO4-2	Molybdate ion	159.94	-997900	-836300	27.2	
14797-65-0	NO2-	Nitrite ion	46.006	-104600	-32200	123	-97.5
14797-55-8	NO3-	Nitrate ion	62.005	-207400	-111300	146.4	-86.6
14343-69-2	N3-	Azide ion	42.02	275100	348200	107.9	
661-20-1	OCN-	Cyanate ion	42.017	-146000	-97400	106.7	
14280-30-9	OH-	Hydroxyl ion	17.007	-230000	-157200	-10.8	-148.5
14265-44-2	PO4-3	Phosphate ion	94.971	-1277400	-1018700	-220.5	
14000-31-8	P2O7-4	Pyrophosphate ion	173.943	-2271100	-1919000	-117	
24203-21-2	Re-	Rhenium anion	186.207	46000	10100	230	
18496-25-8	S-2	Sulfide ion	32.065	33100	85800	-14.6	
302-04-5	SCN-	Thiocyanate ion	58.083	76400	92700	144.3	-40.2
15035-72-0	SH-	Hydrosulfide ion	33.073	-17600	12100	62.8	
14265-45-3	SO3-2	Sulfite ion	80.063	-635500	-486500	-29	
14808-79-8	SO4-2	Sulfate ion	96.063	-909300	-744500	20.1	-293
16734-12-6	S2-2	Disulfide ion	64.13	30100	79500	28.5	
14383-50-7	S2O3-2	Thiosulfate ion	112.128	-652300	-522500	67	
14844-07-6	S2O4-2	Dithionite ion	128.128	-753500	-600300	92	
15092-81-6	S2O8-2	Persulfate ion	192.125	-1344700	-1114900	244.3	
22541-48-6	Se-2	Selenide ion	78.96		129300		
14124-67-5	SeO3-2	Selenite ion	126.96	-509200	-369800	13	
14124-68-6	SeO4-2	Selenate ion	142.96	-599100	-441300	54	
13981-20-9	VO3-	Metavanadate ion	98.94	-888300	-783600	50	
14333-18-7	VO4-3	Vanadate ion	114.94		-899000		
14311-52-5	WO4-2	Tungstate ion	247.84	-1075700			
