Electrolyte name	Electrolyte CAS	Electrolyte Formula	Anion formula	Anion CAS	Anion charge	Anion count	Cation formula	Cation CAS	Cation charge	Cation count
Barium Nitrate	10022-31-8	Ba(NO3)2	NO3-	14797-55-8	-1	2	Ba+2	22541-12-4	2	1
Barium Chloride	10361-37-2	BaCl2	Cl-	16887-00-6	-1	2	Ba+2	22541-12-4	2	1
Barium bromide	10553-31-8	BaBr2	Br-	24959-67-9	-1	2	Ba+2	22541-12-4	2	1
Barium carbonate	513-77-9	BaCO3	CO3-2	3812-32-6	-2	1	Ba+2	22541-12-4	2	1
Barium iodide	13718-50-8	BaI2	I-	20461-54-5	-1	2	Ba+2	22541-12-4	2	1
Barium sulfate	7727-43-7	BaSO4	SO4-2	14808-79-8	-2	1	Ba+2	22541-12-4	2	1
Beryllium bromide	7787-46-4	BeBr2	Br-	24959-67-9	-1	2	Be+2	22537-20-8	2	1
Beryllium chloride	7787-47-5	BeCl2	Cl-	16887-00-6	-1	2	Be+2	22537-20-8	2	1
Beryllium iodide	7787-53-3	BeI2	I-	20461-54-5	-1	2	Be+2	22537-20-8	2	1
Beryllium sulphate	13510-49-1	BeSO4	SO4-2	14808-79-8	-2	1	Be+2	22537-20-8	2	1
Calcium Acetate	62-54-4	Ca(CH3CO2)2	CH3CO2-	71-50-1	-1	2	Ca+2	14127-61-8	2	1
Calcium Nitrate	10124-37-5	Ca(NO3)2	NO3-	14797-55-8	-1	2	Ca+2	14127-61-8	2	1
Calcium Chloride	10043-52-4	CaCl2	Cl-	16887-00-6	-1	2	Ca+2	14127-61-8	2	1
Calcium Sulfate	7778-18-9	CaSO4	SO4-2	14808-79-8	-2	1	Ca+2	14127-61-8	2	1
Calcium Bromide	7789-41-5	CaBr2	Br-	24959-67-9	-1	2	Ca+2	14127-61-8	2	1
Calcium perchlorate	13477-36-6	Ca(ClO4)2	ClO4-	14797-73-0	-1	2	Ca+2	14127-61-8	2	1
Calcium carbonate	471-34-1	CaCO3	CO3-2	3812-32-6	-2	1	Ca+2	14127-61-8	2	1
Calcium hydrogen phosphate	7757-93-9	CaHPO4	HPO4-2	14066-19-4	-2	1	Ca+2	14127-61-8	2	1
Calcium iodide	10102-68-8	CaI2	I-	20461-54-5	-1	2	Ca+2	14127-61-8	2	1
Calcium sulfite	10257-55-3	CaSO3	SO3-2	14265-45-3	-2	1	Ca+2	14127-61-8	2	1
Cadmium Nitrate	10325-94-7	Cd(NO3)2	NO3-	14797-55-8	-1	2	Cd+2	22537-48-0	2	1
Cadmium Chloride	10108-64-2	CdCl2	Cl-	16887-00-6	-1	2	Cd+2	22537-48-0	2	1
Cadmium Sulfate	10124-36-4	CdSO4	SO4-2	14808-79-8	-2	1	Cd+2	22537-48-0	2	1
Cadmium bromide	7789-42-6	CdBr2	Br-	24959-67-9	-1	2	Cd+2	22537-48-0	2	1
Cadmium iodide	7790-80-9	CdI2	I-	20461-54-5	-1	2	Cd+2	22537-48-0	2	1
Cadmium selenite	13814-59-0	CdSeO3	SeO3-2	14124-67-5	-2	1	Cd+2	22537-48-0	2	1
Cerium(III) bromide	14457-87-5	CeBr3	Br-	24959-67-9	-1	3	Ce+3	18923-26-7	3	1
Cerium(III) chloride	7790-86-5	CeCl3	Cl-	16887-00-6	-1	3	Ce+3	18923-26-7	3	1
Cerium(III) iodide	7790-87-6	CeI3	I-	20461-54-5	-1	3	Ce+3	18923-26-7	3	1
Cobalt(II) Chloride	7646-79-9	CoCl2	Cl-	16887-00-6	-1	2	Co+2	22541-53-3	2	1
Cobalt(II) Sulfate	10124-43-3	CoSO4	SO4-2	14808-79-8	-2	1	Co+2	22541-53-3	2	1
Cobalt(II) bromide	7789-43-7	CoBr2	Br-	24959-67-9	-1	2	Co+2	22541-53-3	2	1
Cobalt(II) iodide	15238-00-3	CoI2	I-	20461-54-5	-1	2	Co+2	22541-53-3	2	1
Cobalt(II) selenite	10026-23-0	CoSeO3	SeO3-2	14124-67-5	-2	1	Co+2	22541-53-3	2	1
Chromium(III) Sulfate	10101-53-8	Cr2(SO4)3	SO4-2	14808-79-8	-2	3	Cr+3	16065-83-1	3	2
Chromium(III) Chloride	10025-73-7	CrCl3	Cl-	16887-00-6	-1	3	Cr+3	16065-83-1	3	1
Chromium(III) bromide	10031-25-1	CrBr3	Br-	24959-67-9	-1	3	Cr+3	16065-83-1	3	1
Chromium(III) iodide	13569-75-0	CrI3	I-	20461-54-5	-1	3	Cr+3	16065-83-1	3	1
Cesium carbonate	534-17-8	Cs2CO3	CO3-2	3812-32-6	-2	1	Cs+	18459-37-5	1	2
Cesium sulfate	10294-54-9	Cs2SO4	SO4-2	14808-79-8	-2	1	Cs+	18459-37-5	1	2
Cesium bromide	7787-69-1	CsBr	Br-	24959-67-9	-1	1	Cs+	18459-37-5	1	1
Cesium bromate	13454-75-6	CsBrO3	BrO3-	15541-45-4	-1	1	Cs+	18459-37-5	1	1
Cesium chloride	7647-17-8	CsCl	Cl-	16887-00-6	-1	1	Cs+	18459-37-5	1	1
Cesium fluoride	13400-13-0	CsF	F-	16984-48-8	-1	1	Cs+	18459-37-5	1	1
Cesium iodide	7789-17-5	CsI	I-	20461-54-5	-1	1	Cs+	18459-37-5	1	1
Cesium nitrate	7789-18-6	CsNO3	NO3-	14797-55-8	-1	1	Cs+	18459-37-5	1	1
Cesium hydroxide	21351-79-1	CsOH	OH-	14280-30-9	-1	1	Cs+	18459-37-5	1	1
Copper(II) Nitrate	3251-23-8	Cu(NO3)2	NO3-	14797-55-8	-1	2	Cu+2	15158-11-9	2	1
Copper(II) Chloride	7447-39-4	CuCl2	Cl-	16887-00-6	-1	2	Cu+2	15158-11-9	2	1
Copper(II) Sulfate	7758-98-7	CuSO4	SO4-2	14808-79-8	-2	1	Cu+2	15158-11-9	2	1
Copper(I) sulfide	22205-45-4	Cu2S	S-2	18496-25-8	-2	1	Cu+	17493-86-6	1	2
Copper(I) sulfate	17599-81-4	Cu2SO4	SO4-2	14808-79-8	-2	1	Cu+	17493-86-6	1	2
Copper(II) bromide	7789-45-9	CuBr2	Br-	24959-67-9	-1	2	Cu+2	15158-11-9	2	1
Copper(I) bromide	7787-70-4	CuBr	Br-	24959-67-9	-1	1	Cu+	17493-86-6	1	1
Copper(I) chloride	7758-89-6	CuCl	Cl-	16887-00-6	-1	1	Cu+	17493-86-6	1	1
Copper(I) cyanide	544-92-3	CuCN	CN-	57-12-5	-1	1	Cu+	17493-86-6	1	1
Copper(I) iodide	7681-65-4	CuI	I-	20461-54-5	-1	1	Cu+	17493-86-6	1	1
Copper(II) sulfide	1317-40-4	CuS	S-2	18496-25-8	-2	1	Cu+2	15158-11-9	2	1
Copper(II) selenite	10214-40-1	CuSeO3	SeO3-2	14124-67-5	-2	1	Cu+2	15158-11-9	2	1
Dysprosium(III) chloride	10025-74-8	DyCl3	Cl-	16887-00-6	-1	3	Dy+3	22541-21-5	3	1
Erbium(III) bromide	13536-73-7	ErBr3	Br-	24959-67-9	-1	3	Er+3	18472-30-5	3	1
Erbium(III) chloride	10138-41-7	ErCl3	Cl-	16887-00-6	-1	3	Er+3	18472-30-5	3	1
Europium(II) bromide	13780-48-8	EuBr2	Br-	24959-67-9	-1	2	Eu+2	16910-54-6	2	1
Europium(III) bromide	13759-88-1	EuBr3	Br-	24959-67-9	-1	3	Eu+3	22541-18-0	3	1
Europium(III) chloride	10025-76-0	EuCl3	Cl-	16887-00-6	-1	3	Eu+3	22541-18-0	3	1
Iron(III) Sulfate	10028-22-5	Fe2(SO4)3	SO4-2	14808-79-8	-2	3	Fe+3	20074-52-6	3	2
Iron(II) Chloride	7758-94-3	FeCl2	Cl-	16887-00-6	-1	2	Fe+2	15438-31-0	2	1
Iron(III) Chloride	7705-08-0	FeCl3	Cl-	16887-00-6	-1	3	Fe+3	20074-52-6	3	1
Iron(II) Sulfate	7720-78-7	FeSO4	SO4-2	14808-79-8	-2	1	Fe+2	15438-31-0	2	1
Iron(II) bromide	7789-46-0	FeBr2	Br-	24959-67-9	-1	2	Fe+2	15438-31-0	2	1
Iron(III) bromide	10031-26-2	FeBr3	Br-	24959-67-9	-1	3	Fe+3	20074-52-6	3	1
Iron(II) iodide	7783-86-0	FeI2	I-	20461-54-5	-1	2	Fe+2	15438-31-0	2	1
Gallium(III) bromide	13450-88-9	GaBr3	Br-	24959-67-9	-1	3	Ga+3	22537-33-3	3	1
Gallium(III) chloride	13450-90-3	GaCl3	Cl-	16887-00-6	-1	3	Ga+3	22537-33-3	3	1
Gallium(III) fluoride	7783-51-9	GaF3	F-	16984-48-8	-1	3	Ga+3	22537-33-3	3	1
Gallium(III) iodide	13450-91-4	GaI3	I-	20461-54-5	-1	3	Ga+3	22537-33-3	3	1
Gadolinium(III) bromide	13818-75-2	GdBr3	Br-	24959-67-9	-1	3	Gd+3	22541-19-1	3	1
Gadolinium(III) chloride	10138-52-0	GdCl3	Cl-	16887-00-6	-1	3	Gd+3	22541-19-1	3	1
Gadolinium(III) iodide	13572-98-0	GdI3	I-	20461-54-5	-1	3	Gd+3	22541-19-1	3	1
Holmium bromide	13825-76-8	HoBr3	Br-	24959-67-9	-1	3	Ho+3	22541-22-6	3	1
Holmium chloride	10138-62-2	HoCl3	Cl-	16887-00-6	-1	3	Ho+3	22541-22-6	3	1
Indium(III) bromide	13465-09-3	InBr3	Br-	24959-67-9	-1	3	In+3	22537-49-1	3	1
Indium(III) chloride	10025-82-8	InCl3	Cl-	16887-00-6	-1	3	In+3	22537-49-1	3	1
Indium(III) iodide	13510-35-5	InI3	I-	20461-54-5	-1	3	In+3	22537-49-1	3	1
Potassium Carbonate	584-08-7	K2CO3	CO3-2	3812-32-6	-2	1	K+	24203-36-9	1	2
Potassium Dichromate	7778-50-9	K2Cr2O7	Cr2O7-2	13907-47-6	-2	1	K+	24203-36-9	1	2
Dipotassium Hydrogen Phosphate	7758-11-4	K2HPO4	HPO4-2	14066-19-4	-2	1	K+	24203-36-9	1	2
Potassium Sulfate	7778-80-5	K2SO4	SO4-2	14808-79-8	-2	1	K+	24203-36-9	1	2
Potassium Phosphate	7778-53-2	K3PO4	PO4-3	14265-44-2	-3	1	K+	24203-36-9	1	3
Potassium Bromide	7758-02-3	KBr	Br-	24959-67-9	-1	1	K+	24203-36-9	1	1
Potassium Formate	590-29-4	KCHO2	HCO2-	71-47-6	-1	1	K+	24203-36-9	1	1
Potassium Acetate	127-08-2	KCH3CO2	CH3CO2-	71-50-1	-1	1	K+	24203-36-9	1	1
Potassium Chloride	7447-40-7	KCl	Cl-	16887-00-6	-1	1	K+	24203-36-9	1	1
Potassium Fluoride	7789-23-3	KF	F-	16984-48-8	-1	1	K+	24203-36-9	1	1
Potassium Dihydrogen Phosphate	7778-77-0	KH2PO4	H2PO4-	14066-20-7	-1	1	K+	24203-36-9	1	1
Potassium Bicarbonate	298-14-6	KHCO3	HCO3-	71-52-3	-1	1	K+	24203-36-9	1	1
Potassium Bisulfite	7773-03-7	KHSO3	HSO3-	15181-46-1	-1	1	K+	24203-36-9	1	1
Potassium Iodide	7681-11-0	KI	I-	20461-54-5	-1	1	K+	24203-36-9	1	1
Potassium Nitrite	7758-09-0	KNO2	NO2-	14797-65-0	-1	1	K+	24203-36-9	1	1
Potassium Nitrate	7757-79-1	KNO3	NO3-	14797-55-8	-1	1	K+	24203-36-9	1	1
Potassium Hydroxide	1310-58-3	KOH	OH-	14280-30-9	-1	1	K+	24203-36-9	1	1
Dipotassium chromium tetraoxide	7789-00-6	K2CrO4	CrO4-2	13907-45-4	-2	1	K+	24203-36-9	1	2
Potassium sulfite	10117-38-1	K2SO3	SO3-2	14265-45-3	-2	1	K+	24203-36-9	1	2
Potassium bromate	7758-01-2	KBrO3	BrO3-	15541-45-4	-1	1	K+	24203-36-9	1	1
Potassium chlorate	3811-04-9	KClO3	ClO3-	14866-68-3	-1	1	K+	24203-36-9	1	1
Potassium perchlorate	7778-74-7	KClO4	ClO4-	14797-73-0	-1	1	K+	24203-36-9	1	1
Potassium cyanide	151-50-8	KCN	CN-	57-12-5	-1	1	K+	24203-36-9	1	1
Potassium thiocyanate	333-20-0	KCNS	SCN-	302-04-5	-1	1	K+	24203-36-9	1	1
Potassium hydrogen sulfate	7646-93-7	KHSO4	HSO4-	14996-02-2	-1	1	K+	24203-36-9	1	1
Lanthanum bromide	13536-79-3	LaBr3	Br-	24959-67-9	-1	3	La+3	16096-89-2	3	1
Lanthanum chloride	10099-58-8	LaCl3	Cl-	16887-00-6	-1	3	La+3	16096-89-2	3	1
Lanthanum iodide	13813-22-4	LaI3	I-	20461-54-5	-1	3	La+3	16096-89-2	3	1
Lanthanium(III) nitrate	10099-59-9	La(NO3)3	NO3-	14797-55-8	-1	3	La+3	16096-89-2	3	1
Lithium Sulfate	10377-48-7	Li2SO4	SO4-2	14808-79-8	-2	1	Li+	17341-24-1	1	2
Lithium Acetate	546-89-4	LiCH3CO2	CH3CO2-	71-50-1	-1	1	Li+	17341-24-1	1	1
Lithium Chloride	7447-41-8	LiCl	Cl-	16887-00-6	-1	1	Li+	17341-24-1	1	1
Lithium Nitrate	7790-69-4	LiNO3	NO3-	14797-55-8	-1	1	Li+	17341-24-1	1	1
Lithium Hydroxide	1310-65-2	LiOH	OH-	14280-30-9	-1	1	Li+	17341-24-1	1	1
Dilithium carbonate	554-13-2	Li2CO3	CO3-2	3812-32-6	-2	1	Li+	17341-24-1	1	2
Lithium sulfide	12136-58-2	Li2S	S-2	18496-25-8	-2	1	Li+	17341-24-1	1	2
Lithium aluminate	12003-67-7	LiAlO2	AlO2-	20653-98-9	-1	1	Li+	17341-24-1	1	1
Lithium metaborate	13453-69-5	LiBO2	BO2-	14100-65-3	-1	1	Li+	17341-24-1	1	1
Lithium bromide	7550-35-8	LiBr	Br-	24959-67-9	-1	1	Li+	17341-24-1	1	1
Lithium perchlorate	7791-03-9	LiClO4	ClO4-	14797-73-0	-1	1	Li+	17341-24-1	1	1
Lithium fluoride	7789-24-4	LiF	F-	16984-48-8	-1	1	Li+	17341-24-1	1	1
Lithium iodide	10377-51-2	LiI	I-	20461-54-5	-1	1	Li+	17341-24-1	1	1
Lithium nitrite	13568-33-7	LiNO2	NO2-	14797-65-0	-1	1	Li+	17341-24-1	1	1
Magnesium Acetate	142-72-3	Mg(CH3CO2)2	CH3CO2-	71-50-1	-1	2	Mg+2	22537-22-0	2	1
Magnesium Nitrate	10377-60-3	Mg(NO3)2	NO3-	14797-55-8	-1	2	Mg+2	22537-22-0	2	1
Magnesium Chloride	7786-30-3	MgCl2	Cl-	16887-00-6	-1	2	Mg+2	22537-22-0	2	1
Magnesium Sulfate	7487-88-9	MgSO4	SO4-2	14808-79-8	-2	1	Mg+2	22537-22-0	2	1
Magnesium bromide	7789-48-2	MgBr2	Br-	24959-67-9	-1	2	Mg+2	22537-22-0	2	1
Magnesium carbonate	546-93-0	MgCO3	CO3-2	3812-32-6	-2	1	Mg+2	22537-22-0	2	1
Magnesium iodide	10377-58-9	MgI2	I-	20461-54-5	-1	2	Mg+2	22537-22-0	2	1
Magnesium sulfite	7757-88-2	MgSO3	SO3-2	14265-45-3	-2	1	Mg+2	22537-22-0	2	1
Manganese(II) Nitrate	10377-66-9	Mn(NO3)2	NO3-	14797-55-8	-1	2	Mn+2	16397-91-4	2	1
Manganese(II) Chloride	7773-01-5	MnCl2	Cl-	16887-00-6	-1	2	Mn+2	16397-91-4	2	1
Manganese(II) Sulfate	449146-65-0	MnSO4	SO4-2	14808-79-8	-2	1	Mn+2	16397-91-4	2	1
Manganese(II) bromide	13446-03-2	MnBr2	Br-	24959-67-9	-1	2	Mn+2	16397-91-4	2	1
Manganese(II) iodide	7790-33-2	MnI2	I-	20461-54-5	-1	2	Mn+2	16397-91-4	2	1
Sodium Oxalate	62-76-0	Na2C2O4	C2O4-2	338-70-5	-2	1	Na+	17341-25-2	1	2
Sodium Carbonate	497-19-8	Na2CO3	CO3-2	3812-32-6	-2	1	Na+	17341-25-2	1	2
Sodium Chromate	7775-11-3	Na2CrO4	CrO4-2	13907-45-4	-2	1	Na+	17341-25-2	1	2
Disodium Hydrogen Phosphate	7558-79-4	Na2HPO4	HPO4-2	14066-19-4	-2	1	Na+	17341-25-2	1	2
Sodium Molybdate	7631-95-0	Na2MoO4	MoO4-2	14259-85-9	-2	1	Na+	17341-25-2	1	2
Sodium Sulfide	1313-82-2	Na2S	S-2	18496-25-8	-2	1	Na+	17341-25-2	1	2
Sodium Thiosulfate	7772-98-7	Na2S2O3	S2O3-2	14383-50-7	-2	1	Na+	17341-25-2	1	2
Sodium Sulfite	7757-83-7	Na2SO3	SO3-2	14265-45-3	-2	1	Na+	17341-25-2	1	2
Sodium Sulfate	7757-82-6	Na2SO4	SO4-2	14808-79-8	-2	1	Na+	17341-25-2	1	2
Sodium Tungstate	13472-45-2	Na2WO4	WO4-2	14311-52-5	-2	1	Na+	17341-25-2	1	2
Sodium Phosphate	7601-54-9	Na3PO4	PO4-3	14265-44-2	-3	1	Na+	17341-25-2	1	3
Sodium Aluminate	2099990000-00-0	NaAl(OH)4	Al(OH)4-	14485-39-3	-1	1	Na+	17341-25-2	1	1
Sodium Bromide	7647-15-6	NaBr	Br-	24959-67-9	-1	1	Na+	17341-25-2	1	1
Sodium Acetate	127-09-3	NaCH3CO2	CH3CO2-	71-50-1	-1	1	Na+	17341-25-2	1	1
Sodium Formate	141-53-7	NaCHO2	HCO2-	71-47-6	-1	1	Na+	17341-25-2	1	1
Sodium Chloride	7647-14-5	NaCl	Cl-	16887-00-6	-1	1	Na+	17341-25-2	1	1
Sodium Chlorate	7775-09-9	NaClO3	ClO3-	14866-68-3	-1	1	Na+	17341-25-2	1	1
Sodium Fluoride	7681-49-4	NaF	F-	16984-48-8	-1	1	Na+	17341-25-2	1	1
Sodium Dihydrogen Phosphate	7558-80-7	NaH2PO4	H2PO4-	14066-20-7	-1	1	Na+	17341-25-2	1	1
Sodium Bicarbonate	144-55-8	NaHCO3	HCO3-	71-52-3	-1	1	Na+	17341-25-2	1	1
Sodium Hydrogen Sulfide	16721-80-5	NaHS	SH-	15035-72-0	-1	1	Na+	17341-25-2	1	1
Sodium Hydrogen Sulfite	7631-90-5	NaHSO3	HSO3-	15181-46-1	-1	1	Na+	17341-25-2	1	1
Sodium Hydrogen Sulfate	7681-38-1	NaHSO4	HSO4-	14996-02-2	-1	1	Na+	17341-25-2	1	1
Sodium Iodide	7681-82-5	NaI	I-	20461-54-5	-1	1	Na+	17341-25-2	1	1
Sodium Permanganate	10101-50-5	NaMnO4	MnO4-	14333-13-2	-1	1	Na+	17341-25-2	1	1
Sodium Nitrite	7632-00-0	NaNO2	NO2-	14797-65-0	-1	1	Na+	17341-25-2	1	1
Sodium Nitrate	7631-99-4	NaNO3	NO3-	14797-55-8	-1	1	Na+	17341-25-2	1	1
Sodium Hydroxide	1310-73-2	NaOH	OH-	14280-30-9	-1	1	Na+	17341-25-2	1	1
Sodium cyanide	143-33-9	NaCN	CN-	57-12-5	-1	1	Na+	17341-25-2	1	1
Sodium chlorite	7681-52-9	NaClO	ClO-	14380-61-1	-1	1	Na+	17341-25-2	1	1
Sodium perchlorate	7601-89-0	NaClO4	ClO4-	14797-73-0	-1	1	Na+	17341-25-2	1	1
Sodium bromate	7789-38-0	NaBrO3	BrO3-	15541-45-4	-1	1	Na+	17341-25-2	1	1
Sodium metaborate	7775-19-1	NaBO2	BO2-	14100-65-3	-1	1	Na+	17341-25-2	1	1
Sodium aluminate	1302-42-7	NaAlO2	AlO2-	20653-98-9	-1	1	Na+	17341-25-2	1	1
Neodymium iodide	13813-24-6	NdI3	I-	20461-54-5	-1	3	Nd+3	14913-52-1	3	1
Neodymium bromide	13536-80-6	NdBr3	Br-	24959-67-9	-1	3	Nd+3	14913-52-1	3	1
Neodymium chloride	10024-93-8	NdCl3	Cl-	16887-00-6	-1	3	Nd+3	14913-52-1	3	1
Ammonium Chloride	12125-02-9	NH4Cl	Cl-	16887-00-6	-1	1	NH4+	14798-03-9	1	1
Ammonium Hydrogen Carbonate	1066-33-7	NH4HCO3	HCO3-	71-52-3	-1	1	NH4+	14798-03-9	1	1
Ammonium Nitrate	6484-52-2	NH4NO3	NO3-	14797-55-8	-1	1	NH4+	14798-03-9	1	1
Ammonium bromide	12124-97-9	NH4Br	Br-	24959-67-9	-1	1	NH4+	14798-03-9	1	1
Ammonium perchlorate	7790-98-9	NH4ClO4	ClO4-	14797-73-0	-1	1	NH4+	14798-03-9	1	1
Ammonium cyanide	12211-52-8	NH4CN	CN-	57-12-5	-1	1	NH4+	14798-03-9	1	1
Ammonium fluoride	12125-01-8	NH4F	F-	16984-48-8	-1	1	NH4+	14798-03-9	1	1
Ammonium dihydrogen arsenate	13462-93-6	NH4H2AsO4	H2AsO4-	16518-47-1	-1	1	NH4+	14798-03-9	1	1
Ammonium hydrogen sulfide	12124-99-1	NH4HS	SH-	15035-72-0	-1	1	NH4+	14798-03-9	1	1
Ammonium bisulfite	10192-30-0	NH4HSO3	HSO3-	15181-46-1	-1	1	NH4+	14798-03-9	1	1
Ammonium hydrogen sulfate	7803-63-6	NH4HSO4	HSO4-	14996-02-2	-1	1	NH4+	14798-03-9	1	1
Ammonium iodide	12027-06-4	NH4I	I-	20461-54-5	-1	1	NH4+	14798-03-9	1	1
Ammonium iodate	13446-09-8	NH4IO3	IO3-	15454-31-6	-1	1	NH4+	14798-03-9	1	1
Ammonium thiocyanate	1762-95-4	NH4SCN	SCN-	302-04-5	-1	1	NH4+	14798-03-9	1	1
Ammonium dihydrogen phosphate	7722-76-1	NH6PO4	H2PO4-	14066-20-7	-1	1	NH4+	14798-03-9	1	1
Nickel(II) Nitrate	13138-45-9	Ni(NO3)2	NO3-	14797-55-8	-1	2	Ni+2	14701-22-5	2	1
Nickel(II) Chloride	7718-54-9	NiCl2	Cl-	16887-00-6	-1	2	Ni+2	14701-22-5	2	1
Nickel iodide	13462-90-3	NiI2	I-	20461-54-5	-1	2	Ni+2	14701-22-5	2	1
Nickel bromide	13462-88-9	NiBr2	Br-	24959-67-9	-1	2	Ni+2	14701-22-5	2	1
Nickel(II) Sulfate	7786-81-4	NiSO4	SO4-2	14808-79-8	-2	1	Ni+2	14701-22-5	2	1
Lead(II) Nitrate	10099-74-8	Pb(NO3)2	NO3-	14797-55-8	-1	2	Pb+2	14280-50-3	2	1
Lead(II) bromide	10031-22-8	PbBr2	Br-	24959-67-9	-1	2	Pb+2	14280-50-3	2	1
Lead(II) chloride	7758-95-4	PbCl2	Cl-	16887-00-6	-1	2	Pb+2	14280-50-3	2	1
Lead(II) iodide	10101-63-0	PbI2	I-	20461-54-5	-1	2	Pb+2	14280-50-3	2	1
Palladium(II) chloride	7647-10-1	PdCl2	Cl-	16887-00-6	-1	2	Pd+2	16065-88-6	2	1
Palladium(II) iodide	7790-38-7	PdI2	I-	20461-54-5	-1	2	Pd+2	16065-88-6	2	1
Praseodymium(III) bromide	13536-53-3	PrBr3	Br-	24959-67-9	-1	3	Pr+3	22541-14-6	3	1
Praseodymium chloride	10361-79-2	PrCl3	Cl-	16887-00-6	-1	3	Pr+3	22541-14-6	3	1
Praseodymium iodide	13813-23-5	PrI3	I-	20461-54-5	-1	3	Pr+3	22541-14-6	3	1
Platinum(II) bromide	13455-12-4	PtBr2	Br-	24959-67-9	-1	2	Pt+2	22542-10-5	2	1
Platinum(II) chloride	10025-65-7	PtCl2	Cl-	16887-00-6	-1	2	Pt+2	22542-10-5	2	1
Rubidium carbonate	584-09-8	Rb2CO3	CO3-2	3812-32-6	-2	1	Rb+	22537-38-8	1	2
Rubidium sulfate	7488-54-2	Rb2SO4	SO4-2	14808-79-8	-2	1	Rb+	22537-38-8	1	2
Rubidium bromide	7789-39-1	RbBr	Br-	24959-67-9	-1	1	Rb+	22537-38-8	1	1
Rubidium chloride	7791-11-9	RbCl	Cl-	16887-00-6	-1	1	Rb+	22537-38-8	1	1
Rubidium chlorate	13446-71-4	RbClO3	ClO3-	14866-68-3	-1	1	Rb+	22537-38-8	1	1
Rubidium perchlorate	13510-42-4	RbClO4	ClO4-	14797-73-0	-1	1	Rb+	22537-38-8	1	1
Rubidium fluoride	13446-74-7	RbF	F-	16984-48-8	-1	1	Rb+	22537-38-8	1	1
Rubidium iodide	7790-29-6	RbI	I-	20461-54-5	-1	1	Rb+	22537-38-8	1	1
Rubidium nitrite	13825-25-7	RbNO2	NO2-	14797-65-0	-1	1	Rb+	22537-38-8	1	1
Rubidium nitrate	13126-12-0	RbNO3	NO3-	14797-55-8	-1	1	Rb+	22537-38-8	1	1
Samarium(III) chloride	10361-82-7	SmCl3	Cl-	16887-00-6	-1	3	Sm+3	22541-17-9	3	1
Samarium(II) chloride	13874-75-4	SmCl2	Cl-	16887-00-6	-1	2	Sm+2	16396-66-0	2	1
Strontium bromide	10476-81-0	SrBr2	Br-	24959-67-9	-1	2	Sr+2	22537-39-9	2	1
Strontium iodide	10476-86-5	SrI2	I-	20461-54-5	-1	2	Sr+2	22537-39-9	2	1
Strontium sulphate	7759-02-6	SrSO4	SO4-2	14808-79-8	-2	1	Sr+2	22537-39-9	2	1
Strontium Nitrate	10042-76-9	Sr(NO3)2	NO3-	14797-55-8	-1	2	Sr+2	22537-39-9	2	1
Strontium Chloride	10476-85-4	SrCl2	Cl-	16887-00-6	-1	2	Sr+2	22537-39-9	2	1
Terbium chloride	10042-88-3	TbCl3	Cl-	16887-00-6	-1	3	Tb+3	22541-20-4	3	1
Thallium(I) carbonate	6533-73-9	Tl2CO3	CO3-2	3812-32-6	-2	1	Tl+	22537-56-0	1	2
Thallium(I) sulfate	7446-18-6	Tl2SO4	SO4-2	14808-79-8	-2	1	Tl+	22537-56-0	1	2
