CASRN	Chemical	Hvap298
107-15-3	ethylenediamine 	46400
107-18-6	allyl alcohol 	44800
107-21-1	ethylene glycol 	65200
107-31-3	methyl formate 	28100
107-39-1	2,4,4-trimethyl-1-pentene 	35700
107-40-4	2,4,4-trimethyl-2-pentene 	39300
107-41-5	(dl) 2-methyl-2,4-pentanediol 	68800
107-49-3	pyrophosphoric acid, tetraethyl ester 	82200
107-75-5	hydroxycitronellal 	75300
107-80-2	1,3-dibromobutane 	49400
107-81-3	2-bromopentane 	38500
107-83-5	2-methylpentane 	29900
107-84-6	1-chloro-3-methylbutane 	37200
107-87-9	2-pentanone 	38400
107-88-0	(±) 1,3-butanediol 	73300
107-92-6	butanoic acid 	58900
107-98-2	1-methoxy-2-propanol 	46300
1070-83-3	3,3-dimethylbutanoic acid 	64000
1070-87-7	2,2,4,4-tetramethylpentane 	38400
1071-26-7	2,2-dimethylheptane 	42300
1071-81-4	2,2,5,5-tetramethylhexane 	43500
1072-05-5	2,6-dimethylheptane 	43300
1072-16-8	2,7-dimethyloctane 	47700
1072-33-9	tridecyl acetate 	87200
1072-82-8	3-acetylpyrrole 	94700
1072-83-9	2-acetylpyrrole 	81200
1074-17-5	2-propyltoluene 	52700
1074-43-7	3-propyltoluene 	52100
1074-55-1	4-propyltoluene 	51900
1075-38-3	1-tert-butyl-3-methylbenzene 	51300
1077-16-3	hexylbenzene 	60100
1078-04-2	1,1,4,7-tetramethylindane 	61400
1078-71-3	heptylbenzene 	64600
108-01-0	2-(dimethylamino)ethanol 	47300
108-03-2	1-nitropropane 	43700
108-08-7	2,4-dimethylpentane 	32800
108-10-1	4-methyl-2-pentanone 	42000
108-11-2	(dl) 4-methyl-2-pentanol 	57300
108-18-9	diisopropylamine 	34400
108-20-3	diisopropyl ether 	32400
108-21-4	isopropyl acetate 	37100
108-29-2	(dl) gamma-valerolactone 	54400
108-32-7	propylene carbonate 	66300
108-38-3	1,3-dimethylbenzene 	42600
108-39-4	3-hydroxytoluene 	62700
108-42-9	3-chloroaniline 	60700
108-43-0	3-chlorophenol 	63500
108-44-1	m-toluidine 	60200
108-46-3	1,3-dihydroxybenzene 	78400
108-47-4	2,4-dimethylpyridine 	47500
108-48-5	2,6-dimethylpyridine 	45900
108-59-8	dimethyl malonate 	57500
108-67-8	1,3,5-trimethylbenzene 	47500
108-70-3	1,3,5-trichlorobenzene 	59000
108-74-7	1,3,5-trimethylhexahydro-s-triazine 	51200
108-75-8	2,4,6-trimethylpyridine 	50600
108-82-7	2,6-dimethyl-4-heptanol 	65200
108-83-8	2,6-dimethyl-4-heptanone 	51000
108-86-1	bromobenzene 	44700
108-87-2	methylcyclohexane 	35300
108-88-3	toluene 	38000
108-89-4	4-methylpyridine 	45000
108-90-7	chlorobenzene 	41600
108-91-8	cyclohexylamine 	43300
108-93-0	cyclohexanol 	62100
108-94-1	cyclohexanone 	44200
108-95-2	phenol 	58800
108-98-5	benzenethiol 	47500
108-99-6	3-methylpyridine 	44600
1081-77-2	nonylbenzene 	74500
109-02-4	N-methylmorpholine 	39300
109-04-6	2-bromopyridine 	52700
109-06-8	2-methylpyridine 	43100
109-08-0	2-methylpyrazine 	43700
109-09-1	2-chloropyridine 	48600
109-29-5	1,16-hexadecanolide 	83800
109-43-3	dibutyl decanedioate 	91800
109-52-4	valeric acid 	63800
109-55-7	N,N-dimethyl-1,3-propanediamine 	44700
109-59-1	2-isopropoxyethanol 	50100
109-60-4	propyl acetate 	39100
109-61-5	propyl chloroformate 	40700
109-64-8	1,3-dibromopropane 	46500
109-65-9	1-bromobutane 	36500
109-66-0	pentane 	26500
109-67-1	1-pentene 	25500
109-69-3	1-chlorobutane 	33500
109-73-9	butylamine 	35700
109-74-0	butyronitrile 	38900
109-75-1	3-butenenitrile 	40000
109-76-2	1,3-diaminopropane 	50200
109-78-4	2-cyanoethanol 	61600
109-79-5	1-butanethiol 	36500
109-80-8	1,3-propanedithiol 	49700
109-83-1	2-(methylamino)ethanol 	57600
109-85-3	2-methoxyethyl amine 	38300
109-86-4	2-methoxyethanol 	45800
109-87-5	dimethoxymethane 	29300
109-89-7	diethylamine 	31700
109-94-4	ethyl formate 	31900
109-97-7	pyrrole 	45200
109-99-9	tetrahydrofuran 	32500
109417-60-9	1-bromo-2-(2-methoxyethoxy)benzene 	64500
110-00-9	furan 	28200
110-01-0	tetrahydrothiophene 	39000
110-02-1	thiophene 	34600
110-03-2	2,5-dimethyl-2,5-hexanediol 	85200
110-05-4	di-tert-butyl peroxide 	38600
110-06-5	2,2,5,5-tetramethyl-3,4-dithiahexane 	52900
110-15-6	succinic acid 	94400
110-18-9	1,2-bis(dimethylamino)ethane 	42200
110-38-3	ethyl decanoate 	69000
110-42-9	methyl decanoate 	67500
110-43-0	2-heptanone 	47200
110-49-6	ethylene glycol methyl ethyl acetate 	50300
110-52-1	1,4-dibromobutane 	52600
110-53-2	1-bromopentane 	41100
110-54-3	hexane 	31500
110-56-2	1,4-dichlorobutane 	46500
110-58-7	pentylamine 	40500
110-59-8	valeronitrile 	44200
110-60-1	butane-1,4-diamine 	55200
110-62-3	pentanal 	38300
110-63-4	1,4-butanediol 	77900
110-66-7	1-pentanethiol 	41100
110-68-9	N-methylbutylamine 	38100
110-71-4	1,2-dimethoxyethane 	36800
110-73-6	2-(ethylamino)ethanol 	61000
110-74-7	propyl formate 	35900
110-80-5	2-ethoxyethanol 	48700
110-81-6	diethyl disulfide 	45200
110-82-7	cyclohexane 	33100
110-83-8	cyclohexene 	33300
110-86-1	pyridine 	40600
110-89-4	piperidine 	39400
110-91-8	morpholine 	45200
110-93-3	N,N-diisobutylamine 	41200
110-94-1	glutaric acid 	101600
110-95-2	N,N,N',N'-tetramethyl-1,3-propanediamine 	45300
111-11-5	methyl octanoate 	56600
111-12-6	methyl 2-octynoate 	64500
111-13-7	2-octanone 	52100
111-14-8	heptanoic acid 	73500
111-15-9	2-ethoxyethanol acetate 	52700
111-16-0	heptanedioic acid 	112000
111-20-6	sebacic acid 	124800
111-25-1	1-bromohexane 	45700
111-26-2	hexylamine 	45100
111-27-3	1-hexanol 	60900
111-29-5	1,5-pentanediol 	84600
111-31-9	1-hexanethiol 	44800
111-34-2	butyl vinyl ether 	36600
111-40-0	2,2’-diaminodiethylamine 	63400
111-41-1	N-(2-hydroxyethyl)ethylenediamine 	69700
111-43-3	dipropyl ether 	35700
111-47-7	dipropyl sulfide 	43200
111-49-9	hexahydro-1H-azepine 	44200
111-55-7	ethylene glycol diacetate 	59800
111-61-5	ethyl stearate 	109600
111-65-9	octane 	41400
111-66-0	1-octene 	39600
111-68-2	heptylamine 	50000
111-70-6	1-heptanol 	66700
111-71-7	heptanal 	48000
111-82-0	methyl laurate 	76800
111-83-1	1-bromooctane 	55500
111-84-2	nonane 	46500
111-85-3	1-chlorooctane 	51900
111-86-4	octylamine 	54700
111-87-5	1-octanol 	70500
111-92-2	N,N-dibutylamine 	47700
111-96-6	diethylene glycol, dimethyl ether 	48000
1112-03-4	difluoro(trichloromethyl) phosphine 	32500
1115-15-7	divinyl sulfoxide 	51200
1116-76-3	trioctylamine 	110400
1117-19-7	dipropyl malonate 	66200
1118-69-0	N-isopropylacetamide 	66400
1118-71-4	2,2,6,6-tetramethyl-3,5-heptanedione 	59500
1119-40-0	glutaric acid, dimethyl ester 	65900
1119-49-9	N-butylacetamide 	75600
112-05-0	nonanoic acid 	82400
112-06-1	heptyl acetate 	57000
112-07-2	ethylene glycol monobutyl ether acetate 	59500
112-12-9	2-undecanone 	68400
112-14-1	octyl acetate 	61200
112-17-4	decyl acetate 	70900
112-18-5	N,N-dimethyldodecylamine 	69500
112-23-2	heptyl formate 	53800
112-24-3	triethylenetetramine 	77100
112-27-6	triethylene glycol 	60500
112-30-1	1-decanol 	81000
112-31-2	decanal 	60100
112-32-3	octyl formate 	58200
112-36-7	diethylene glycol diethyl ether 	56400
112-39-0	methyl hexadecanoate 	95500
112-40-3	dodecane 	61100
112-41-4	1-dodecene 	60600
112-42-5	1-undecanol 	85300
112-44-7	undecanal 	67000
112-47-0	1,10-decanediol 	120200
112-48-1	ethylene glycol dibutyl ether 	58800
112-49-2	1,2-bis(2-methoxyethoxy)ethane 	63700
112-51-6	dipentyl disulfide 	71100
112-52-7	1-chlorododecane 	72500
112-53-8	1-dodecanol (lauryl alcohol) 	91300
112-54-9	dodecanal 	69300
112-58-3	dihexyl ether 	63700
112-59-4	diethylene glycol monohexyl ether 	86500
112-61-8	methyl stearate 	107100
112-62-9	methyl linoleate 	105000
112-66-3	dodecyl acetate 	80700
112-70-9	1-tridecanol 	95300
112-72-1	1-tetradecanol 	99900
112-73-2	diethylene glycol dibutyl ether 	73800
112-79-8	trans 9-octadecenoic acid 	133000
112-82-3	1-bromohexadecane 	94400
112-85-6	docosanoic acid 	154700
112-86-7	cis 13-docosenoic acid 	154500
112-88-9	1-octadecene 	90000
112-92-5	1-octadecanol 	116800
112-95-8	eicosane 	102100
1120-21-4	undecane 	56400
1120-25-8	methyl Z 9-hexadecenoate 	96400
1120-28-1	methyl eicosanoate 	117800
1120-34-9	methyl erucate 	124700
1120-36-1	1-tetradecene 	70200
1120-48-5	dioctylamine 	87100
1120-56-5	methylenecyclobutane 	28400
1120-59-8	2,3-dihydrothiophene 	37700
1120-62-3	3-methylcyclopentene 	31000
1120-64-5	2-methyl-2-oxazoline 	39100
1121-37-5	dicyclopropyl ketone 	53700
1121-61-5	4-ethyl-1,3-dioxane 	39300
1122-54-9	4-acetylpyridine 	66500
1122-58-3	4-N,N-dimethylaminopyridine 	61300
1122-60-7	nitrocyclohexane 	54700
1122-62-9	2-acetylpyridine 	60500
112283-13-3	6-heptadecanol 	108600
1125-88-8	benzaldehyde dimethyl acetal 	60900
1126-00-7	1-phenylpyrazole 	69400
1126-46-1	methyl 4-chlorobenzoate 	62400
1129-47-1	cyclohexyl isobutyrate 	57700
115-10-6	dimethyl ether 	18500
115-11-7	2-methylpropene 	20600
115-76-4	2,2-diethyl-1,3-propanediol 	80200
115-95-7	3,7-dimethyl-1,6-octadien-3-ol acetate 	57800
115018-39-8	(E) 4-tetradecenal 	79900
115018-49-0	(Z) 4-tetradecenal 	79200
116-54-1	methyl dichloroacetate 	47700
116316-76-8	1-cyclopropyl-1,3-pentadiene 	51900
116667-53-9	perfluoro(1-methyl-4-isopropyl)cyclohexane 	46700
118-58-1	benzyl salicylate 	96800
118-74-1	hexachlorobenzene 	75600
118-93-4	2’-hydroxyacetophenone 	58300
118-96-7	2,4,6-trinitrotoluene 	87000
1185-11-1	difluorodinitromethane 	41400
1186-53-4	2,2,3,4-tetramethylpentane 	40800
1187-58-2	N-methylpropionamide 	66800
1187-93-5	trifluoromethyl trifluorovinyl ether 	20300
1189-99-7	2,5,5-trimethylheptane 	46000
119-84-6	3,4-dihydrocoumarin 	69900
1190-22-3	1,3-dichlorobutane 	42200
1190-39-2	dibutyl malonate 	73100
1190-76-7	(Z) 2-butenenitrile 	38900
1190-83-6	2,2,6-trimethylheptane 	46400
1191-08-8	1,4-butanedithiol 	55100
1191-95-3	cyclobutanone 	38300
1191-99-7	2,3-dihydrofuran 	30800
1192-18-3	cis 1,2-dimethylcyclopentane 	35800
1192-37-6	methylenecyclohexane 	36100
1192-53-6	4,5-dichloro-1-methylimidazole 	66300
1192-58-1	1-methyl-2-pyrrolecarboxaldehyde 	55800
1192-62-7	2-acetylfuran 	53000
1193-79-9	5-methyl-2-acetylfuran 	61700
1194-02-1	4-fluorobenzonitrile 	51800
1195-98-8	alpha,alpha-dimethylbenzylcyanide 	60600
1196-01-6	(1S,5S)-4,6,6-trimethylbicyclo[3.1.1]hept-3-en-2-one 	58800
120-12-7	anthracene 	79300
120-47-8	ethyl 4-hydroxybenzoate 	84000
120-72-9	indole 	65300
120-80-9	1,2-dihydroxybenzene 	71900
120-82-1	1,2,4-trichlorobenzene 	56600
120-93-2	cyclopentanone 	42500
120-94-5	1-methylpyrrolidine 	35400
1202-25-1	methyl p-N,N-dimethylaminobenzoate 	74000
121-33-5	4-hydroxy-3-methoxybenzaldehyde 	66900
121-44-8	triethylamine 	35100
121-46-0	bicyclo[2.2.1]hepta-2,5-diene 	34100
121-69-7	N,N-dimethylaniline 	52800
121-72-2	N,N-dimethyl-3-toluidine 	58200
121-73-3	1-chloro-3-nitrobenzene 	60200
121-75-5	(dl) malathion 	71100
121107-43-5	(2,2’,4,4’-tetrachloro-3-methyldiphenyl)methane 	101800
121107-44-6	(2,2’,4,4’-tetrachloro-5-methyldiphenyl)methane 	101300
121107-46-8	(2,2’,4,5’-tetrachloro-5-methyldiphenyl)methane 	101000
121107-47-9	(2,2’,4,6’-tetrachloro-3-methyldiphenyl)methane 	100100
121107-48-0	(2,2’,4,6’-tetrachloro-5-methyldiphenyl)methane 	98600
121107-54-8	(2,2’,5,5’-tetrachloro-4-methyldiphenyl)methane 	101200
121107-65-1	(2,3’,4,4’-tetrachloro-5-methyldiphenyl)methane 	103800
121107-77-5	(2’3,4,4’-tetrachloro-6-methyldiphenyl)methane 	103000
121107-83-5	(2’,3,4,6’-tetrachloro-6-methyldiphenyl)methane 	101100
122-00-9	4'-methylacetophenone 	60700
122-39-4	diphenylamine 	79900
122-51-0	triethoxymethane (triethyl orthoformate) 	46900
122-52-1	triethylphosphite 	53000
122-78-1	phenylacetaldehyde 	57200
122-79-2	phenyl acetate 	53300
122-97-4	3-phenyl-1-propanol 	62800
123-01-3	dodecylbenzene 	89600
123-02-4	tridecylbenzene 	94600
123-11-5	4-methoxybenzaldehyde 	60400
123-19-3	4-heptanone 	46900
123-25-1	diethyl succinate 	64500
123-31-9	1,4-dihydroxybenzene 	84400
123-32-0	2,5-dimethylpyrazine 	47400
123-35-3	7-methyl-3-methylene-1,6-octadiene 	50600
123-38-6	propanal 	29800
123-39-7	N-methylformamide 	55300
123-51-3	3-methyl-1-butanol 	54800
123-66-0	ethyl hexanoate 	51400
123-72-8	butyraldehyde 	33500
123-75-1	pyrrolidine 	37600
123-76-2	levulinic acid 	70300
123-80-8	ethylene dipropionate 	67600
123-86-4	butyl acetate 	42900
123-91-1	1,4-dioxane 	38300
123-92-2	isopentyl acetate 	46400
123-96-6	(dl) 2-octanol 	67900
123-99-9	nonanedioic acid 	119700
124-04-9	adipic acid 	105200
124-07-2	octanoic acid 	81700
124-09-4	1,6-hexanediamine 	60700
124-10-7	methyl tetradecanoate 	87200
124-11-8	1-nonene 	45100
124-12-9	octanenitrile 	55800
124-13-0	octanal 	52000
124-18-5	decane 	51600
124-19-6	nonanal 	56400
124-25-4	tetradecanal 	78800
124-73-2	1,2-dibromotetrafluoroethane 	28300
124499-92-9	(E) 12-tetradecenal 	80800
126-33-0	tetrahydrothiophene-1,1-dioxide 	68500
126-39-6	2-ethyl-2-methyl-1,3-dioxolane 	44800
126-71-6	triisobutyl phosphate 	74700
126-73-8	tributyl phosphate 	80600
126-75-0	O,O-diethyl-S-[2-(ethylthio)ethyl] thiophosphate 	76400
126-84-1	2,2-diethoxypropane 	43600
126-90-9	(d) linalool 	65400
126401-68-1	1-pentylbenzimidazole 	77000
126724-71-8	5,5-bis(3,3’-dimethylbutyl)-2,2,8,8-tetramethylnonane 	91900
12674-61-7	(Z) 6-dodecenal 	69200
127-18-4	tetrachloroethylene 	39700
127-19-5	N,N-dimethylacetamide 	47600
127-91-3	beta-pinene 	45800
128-39-2	2,6-di-tert-butylphenol 	66000
128-83-2	2,4-dichlorophenol 	58600
128984-60-1	(E) 3-hexadecenyl acetate 	99100
128999-42-8	(E) 3-hexadecen-1-ol 	110800
129-00-0	pyrene 	89800
13027-75-3	anti-tricyclo[4.2.0.02,5]octane 	41800
13040-03-4	(+)-cis-verbenol 	54900
13151-04-7	5-methyl-1-heptene 	38900
13151-05-8	4-methyl-1-heptene 	38900
13151-17-2	cis 5-methyl-2-hexene 	34700
13171-18-1	1,1,1,3,3,3-hexafluoro-2-methoxypropane 	32600
13195-64-7	diisopropyl malonate 	63900
132-65-0	dibenzothiophene 	78300
132203-71-5	(+)-trans-myrtanol 	73000
13269-52-8	trans 3-hexene 	31600
13343-98-1	1-butoxy-2-methoxyethane 	47800
13360-61-7	1-pentadecene 	75100
13360-63-9	N-butylethylamine 	40800
13389-42-9	trans 2-octene 	40200
13398-35-1	trans 1,2-cis-4-trimethylcyclopentane 	36800
134-20-3	methyl 2-aminobenzoate 	67100
134-32-7	1-naphthylamine 	73300
13435-22-8	1-butyl-2-methylimidazole 	67800
13444-24-1	1-ethyl-3-piperidinol 	75700
13475-78-0	2-methyl-5-ethylheptane 	48100
13475-79-1	2,4-dimethyl-3-isopropylpentane 	45600
13475-81-5	2,2,3,3-tetramethylhexane 	45200
134852-10-1	5-hydroxymethylene-5H-6,7-dihydrodibenzo[a,c]-cyclohepten-6-one 	116100
135-01-3	1,2-diethylbenzene 	52800
135-19-3	2-naphthol 	76200
135-70-6	p-quaterphenyl 	136100
135-98-8	(dl) sec-butylbenzene 	48800
13679-72-6	2-acetyl-3-methylthiophene 	57100
13679-73-7	2-acetyl-4-methylthiophene 	63000
13679-74-8	2-acetyl-5-methylthiophene 	62000
137-32-6	2-methyl-1-butanol 	54100
13714-85-7	4-methyl-trans-3-heptene 	39700
13781-53-8	3-thiopheneacetonitrile 	61100
1379-70-4	5-methyl-2-thiophenecarboxyaldehyde 	57700
13838-16-9	1-chloro-1,2,2-trifluoro-2-(difluoromethoxy)ethane 	32600
138495-42-8	1,1,1,2,2,3,4,5,5,5-decafluoropentane 	33400
13857-03-9	(Z) 7-decenyl acetate 	70700
13857-04-0	(E) 7-decenyl acetate 	71100
139-45-7	tripropionin 	91100
13925-00-3	ethylpyrazine 	48800
13952-84-6	sec-butylamine 	33000
139909-65-2	(Z) 8-dodecenal 	70000
140-11-4	benzyl acetate 	55500
140-29-4	benzylcyanide 	60500
140-31-8	1-(2-aminoethyl)piperazine 	68700
140-66-9	4-(1,1,3,3-tetramethylbutyl)phenol 	70700
14098-44-3	benzo-15-crown-5 	98900
141-03-7	dibutyl succinate 	79100
141-27-5	geranial 	61800
141-28-6	diethyl adipate 	73500
141-32-2	butyl acrylate 	47300
141-43-5	2-aminoethanol 	58100
141-78-6	ethyl acetate 	35200
141-79-7	4-methyl-3-penten-2-one 	43600
141-93-5	1,3-diethylbenzene 	52500
141-97-9	ethyl 3-oxobutanoate 	54200
141271-51-4	(4R,5R)-2,2,3,4-tetramethyl-5-phenyl-1,3-oxazolidine 	61600
14167-59-0	tetratriacontane 	172700
141694-86-2	(Z) 3-hexadecenyl acetate 	98500
141694-91-9	(Z) 3-hexadecen-1-ol 	110700
14174-08-4	benzo-12-crown-4 	82700
14187-32-7	dibenzo-18-crown-6 	137000
142-28-9	1,3-dichloropropane 	40900
142-29-0	cyclopentene 	26600
142-30-2	2,5-dimethyl-3-hexyne-2,5-diol 	82800
142-60-9	octyl propanoate 	66400
142-62-1	hexanoic acid 	71200
142-68-7	tetrahydropyran 	38200
142-84-7	dipropylamine 	40600
142-85-5	heptane 	36700
142-92-7	hexyl acetate 	52000
142-96-1	dibutyl ether 	44700
142347-07-7	1,1,1,2,2,3,4,5,5,5-decafluoropentane 	40800
142347-08-8	1,1,1,2,2,3,4,5,5,5-decafluoropentane 	37900
14255-23-3	2,4-dimethyl-2-hexene 	38500
14255-24-4	4-methyl-cis-3-heptene 	39700
142628-55-5	(Z) 2-tetradecenal 	82500
14290-92-7	tert-butyl ethyl sulfide 	39300
14295-64-8	glycerol tri(2-methypropanoate) 	95300
143-08-8	1-nonanol 	75600
143-10-2	1-decanethiol 	65500
143-13-5	nonyl acetate 	66700
143-15-7	1-bromododecane 	74800
143-24-8	tetraethylene glycol dimethyl ether 	76900
143-28-2	(Z) 9-octadecen-1-ol 	119300
1436-59-5	cis 1,2-cyclohexanediamine 	62200
144298-64-6	(E) 8-dodecenal 	69800
1445-73-4	1-methyl-4-piperidone 	54200
1445-75-6	diisopropyl methylphosphonate 	57600
144525-16-6	(Z) 10-tetradecenal 	79600
14508-49-7	2-chloropyrazine 	45100
145235-63-8	(Z) 4-hexadecen-1-ol 	110600
1453-58-3	3-methylpyrazole 	65900
1454-85-9	1-heptadecanol 	112500
145853-37-8	2,2-difluorononane 	46700
1459-10-5	tetradecylbenzene 	99600
1459-93-4	dimethyl isophthalate 	77200
14609-79-1	di-tert-butylmethanol 	62700
14610-37-8	tert-butylmethylamine 	32300
146377-62-0	1,1-difluoro-3-phenylpropane 	53300
14667-55-1	2,3,5-trimethylpyrazine 	53900
14676-29-0	2-methyl-3-ethylheptane 	48100
1468-83-3	3-acetylthiophene 	55200
14686-13-6	trans 2-heptene 	36000
14686-14-7	trans 3-heptene 	35600
146900-30-3	dodecahydro-N-ethylcarbazole 	68400
146985-21-9	N,N-dihexyl hexanamide 	80400
147159-48-6	(Z) 6-decenal 	59300
147159-48-6 	(E) 6-decenal 	59500
14720-74-2	2,2,4-trimethylheptane 	45600
1481-55-6	N-(trifluoromethyl)bis(pentafluoroethyl)amine 	29400
148238-39-5	(E) 10-tetradecenal 	79800
1484-12-4	9-methylcarbazole 	79500
1484-80-6	2-ethylpiperdine 	42200
1484-84-0	2-piperidineethanol 	75200
14850-22-7	cis 3-octene 	38500
14850-23-8	trans 4-octene 	41300
1486-18-6	bis(trifluoromethyl) methylthiophosphine 	36900
149-57-5	(dl) 2-ethylhexanoic acid 	76000
149-73-5	orthoformic acid trimethyl ester 	38100
14919-01-8	trans 3-octene 	40200
1493-27-2	2-fluoronitrobenzene 	59500
14959-86-5	(Z) 7-dodecenyl acetate 	79800
150-19-6	3-methoxyphenol 	74500
150-76-5	4-methoxyphenol 	72100
150-78-7	1,4-dimethoxybenzene 	61600
