CAS	Chemical	C1	C2	C3	C4	C5	Tmin	Tmax
74-96-4	Bromoethane  	62.217	-5113.3	-5.9761	4.7174E-17	6	154.55	503.8
74-83-9	Bromomethane  	72.586	-4698.6	-7.9966	1.1553E-05	2	179.47	467
590-19-2	1,2-Butadiene  	39.714	-3769.9	-2.6407	6.9379E-18	6	136.95	452
106-99-0	1,3-Butadiene  	75.572	-4621.9	-8.5323	1.2269E-05	2	164.25	425
106-97-8	Butane  	66.343	-4363.2	-7.046	9.4509E-06	2	134.86	425.12
584-03-2	1,2-Butanediol  	103.28	-11548	-10.925	4.256E-18	6	220	680
107-88-0	1,3-Butanediol  	123.22	-12620	-13.986	3.926E-06	2	196.15	676
71-36-3	1-Butanol  	106.295	-9866.4	-11.655	1.0832E-17	6	183.85	563.1
106-98-9	1-Butene  	51.836	-4019.2	-4.5229	4.8833E-17	6	87.8	419.5
590-18-1	cis-2-Butene  	72.541	-4691.2	-7.9776	1.0368E-05	2	134.26	435.5
624-64-6	trans-2-Butene  	71.704	-4563.1	-7.9053	1.1319E-05	2	167.62	428.6
123-86-4	Butyl acetate  	122.82	-9253.2	-14.99	1.047E-05	2	199.65	575.4
104-51-8	Butylbenzene  	101.22	-9255.4	-11.538	5.9208E-06	2	185.3	660.5
109-79-5	Butyl mercaptan  	65.382	-6262.4	-6.2585	1.4943E-17	6	157.46	570.1
513-53-1	sec-Butyl mercaptan  	60.649	-5785.9	-5.6113	1.5877E-17	6	133.02	554
107-00-6	1-Butyne  	77.004	-5054.5	-8.5665	1.0161E-05	2	147.43	440
123-72-8	Butyraldehyde  	99.33	-7083.6	-11.733	1.0027E-05	2	176.75	537.2
107-92-6	Butyric acid  	93.815	-9942.2	-9.8019	9.3124E-18	6	267.95	615.7
109-74-0	Butyronitrile  	66.32	-6714.9	-6.3087	1.3516E-17	6	161.25	582.25
124-38-9	Carbon dioxide  	140.54	-4735	-21.268	0.040909	1	216.58	304.21
75-15-0	Carbon disulfide  	67.114	-4820.4	-7.5303	0.0091695	1	161.11	552
630-08-0	Carbon monoxide  	45.698	-1076.6	-4.8814	7.5673E-05	2	68.15	132.92
56-23-5	Carbon tetrachloride 	78.441	-6128.1	-8.5766	6.8465E-06	2	250.33	556.35
75-73-0	Carbon tetrafluoride  	61.89	-2296.3	-7.086	3.4687E-05	2	89.56	227.51
7782-50-5	Chlorine  	71.334	-3855	-8.5171	0.012378	1	172.12	417.15
108-90-7	Chlorobenzene  	54.144	-6244.4	-4.5343	4.703E-18	6	227.95	632.35
75-00-3	Chloroethane  	65.988	-4661.3	-6.8586	7.9404E-06	2	134.8	460.35
67-66-3	Chloroform  	146.43	-7792.3	-20.614	0.024578	1	207.15	536.4
74-87-3	Chloromethane  	64.697	-4048.1	-6.8066	1.0371E-05	2	175.43	416.25
540-54-5	1-Chloropropane  	79.24	-5718.8	-8.789	8.4486E-06	2	150.35	503.15
75-29-6	2-Chloropropane  	46.854	-4445.5	-3.6533	1.326E-17	6	155.97	489
108-39-4	m-Cresol  	95.403	-10581	-10.004	4.3032E-18	6	285.39	705.85
95-48-7	o-Cresol  	210.88	-13928	-29.483	0.025182	1	304.19	697.55
106-44-5	p-Cresol  	118.53	-11957	-13.293	8.6988E-18	6	307.93	704.65
98-82-8	Cumene  	102.81	-8674.6	-11.922	7.0048E-06	2	177.14	631
460-19-5	Cyanogen  	81.565	-4808.9	-9.3748	1.3901E-05	2	245.25	400.15
287-23-0	Cyclobutane  	85.899	-4884.4	-10.883	0.014934	1	182.48	459.93
110-82-7	Cyclohexane  	51.087	-5226.4	-4.2278	9.7554E-18	6	279.69	553.8
108-93-0	Cyclohexanol  	189.19	-14337	-24.148	1.074E-05	2	296.6	650.1
108-94-1	Cyclohexanone  	85.424	-7944.4	-9.2862	4.9957E-06	2	242	653
110-83-8	Cyclohexene  	88.184	-6624.9	-10.059	8.2566E-06	2	169.67	560.4
287-92-3	Cyclopentane  	66.341	-5198.5	-6.8103	6.193E-06	2	179.28	511.7
142-29-0	Cyclopentene  	67.952	-5187.5	-7.0785	6.8165E-06	2	138.13	507
75-19-4	Cyclopropane  	40.608	-3179.6	-2.8937	5.6131E-17	6	145.59	398
1569-69-3	Cyclohexyl mercaptan  	85.146	-7843.7	-9.2982	5.1788E-06	2	189.64	664
112-31-2	Decanal  	201.64	-15133	-26.264	1.4625E-05	2	267.15	674.2
124-18-5	Decane  	112.73	-9749.6	-13.245	7.1266E-06	2	243.51	617.7
334-48-5	Decanoic acid  	123.36	-14680	-13.474	1.9491E-18	6	304.55	722.1
112-30-1	1-Decanol  	156.239	-15212	-18.424	8.5006E-18	6	280.05	688
872-05-9	1-Decene  	68.401	-7776.9	-6.4637	6.375E-18	6	206.89	616.6
143-10-2	Decyl mercaptan  	91.91	-10565	-9.5957	5.7028E-18	6	247.56	696
764-93-2	1-Decyne  	142.94	-11119	-17.818	1.102E-05	2	229.15	619.85
7782-39-0	Deuterium  	18.947	-154.47	-0.5723	0.038899	1	18.73	38.35
557-91-5	1,1-Dibromoethane  	62.711	-6503.5	-5.7669	1.0427E-06	2	210.15	628
106-93-4	1,2-Dibromoethane  	43.751	-5587.7	-3.0891	8.2664E-07	2	282.85	650.15
74-95-3	Dibromomethane  	86.295	-7010.3	-9.5972	6.7794E-06	2	220.6	611
142-96-1	Dibutyl ether  	72.227	-7537.6	-7.0596	9.1442E-18	6	175.3	584.1
541-73-1	m-Dichlorobenzene  	53.187	-6827.5	-4.3233	2.3112E-18	6	248.39	683.95
95-50-1	o-Dichlorobenzene  	77.105	-8111.1	-7.8886	2.7267E-06	2	256.15	705
106-46-7	p-Dichlorobenzene  	88.31	-8463.4	-9.6308	4.5833E-06	2	326.14	684.75
75-34-3	1,1-Dichloroethane  	66.611	-5493.1	-6.7301	5.3579E-06	2	176.19	523
107-06-2	1,2-Dichloroethane  	92.355	-6920.4	-10.651	9.1426E-06	2	237.49	561.6
75-09-2	Dichloromethane  	101.6	-6541.6	-12.247	1.2311E-05	2	178.01	510
78-99-9	1,1-Dichloropropane  	83.495	-6661.4	-9.2386	6.7652E-06	2	200	560
78-87-5	1,2-Dichloropropane  	65.955	-6015.6	-6.5509	4.3172E-06	2	172.71	572
111-42-2	Diethanol amine  	106.38	-13714	-11.06	3.2645E-18	6	301.15	736.6
109-89-7	Diethyl amine  	49.314	-4949	-3.9256	9.1978E-18	6	223.35	496.6
60-29-7	Diethyl ether  	136.9	-6954.3	-19.254	0.024508	1	156.85	466.7
352-93-2	Diethyl sulfide  	46.705	-5177.4	-3.5985	1.7147E-06	2	169.2	557.15
75-37-6	1,1-Difluoroethane  	73.491	-4385.9	-8.1851	1.2978E-05	2	154.56	386.44
624-72-6	1,2-Difluoroethane  	84.625	-5217.4	-9.871	1.305E-05	2	215	445
75-10-5	Difluoromethane  	69.132	-3847.7	-7.5868	1.5065E-05	2	136.95	351.255
108-18-9	Di-isopropyl amine  	462.84	-18227	-73.734	0.092794	1	176.85	523.1
108-20-3	Di-isopropyl ether  	41.631	-4668.7	-2.8551	0.00063693	1	187.65	500.05
565-80-0	Di-isopropyl ketone  	50.868	-6036.5	-4.066	1.1326E-06	2	204.81	576
534-15-6	1,1-Dimethoxyethane  	53.637	-5251.2	-4.5649	1.6754E-17	6	159.95	507.8
7778-85-0	1,2-Dimethoxypropane  	62.097	-6174.9	-5.715	1.2323E-17	6	226.1	543
503-17-3	Dimethyl acetylene  	66.592	-4999.8	-6.8387	6.6793E-06	2	240.91	473.2
124-40-3	Dimethyl amine  	71.738	-5302	-7.3324	6.42E-17	6	180.96	437.2
79-29-8	2,3-Dimethylbutane  	77.161	-5691.1	-8.501	8.0325E-06	2	145.19	500
590-66-9	1,1-Dimethylcyclohexane  	81.184	-6927	-8.8498	5.458E-06	2	239.66	591.15
2207-01-4	cis-1,2-Dimethylcyclohexane  	78.952	-7075.4	-8.4344	4.5035E-06	2	223.16	606.15
6876-23-9	trans-1,2-Dimethylcyclohexane 	78.429	-6882.1	-8.4129	4.9831E-06	2	184.99	596.15
624-92-0	Dimethyl disulfide  	81.045	-6941.3	-8.777	5.5501E-06	2	188.44	615
115-10-6	Dimethyl ether  	44.704	-3525.6	-3.4444	5.4574E-17	6	131.65	400.1
68-12-2	N,N-Dimethyl formamide  	82.762	-7955.5	-8.8038	4.2431E-06	2	212.72	649.6
565-59-3	2,3-Dimethylpentane  	78.335	-6348.7	-8.5105	6.4311E-06	2	160	537.3
131-11-3	Dimethyl phthalate  	72.517	-10415	-6.755	1.3269E-06	2	274.18	766
1111-74-6	Dimethylsilane  	63.08	-4062.3	-6.425	1.5115E-16	6	122.93	402
75-18-3	Dimethyl sulfide  	84.39	-5740.6	-9.6454	1.0073E-05	2	174.88	503.04
67-68-5	Dimethyl sulfoxide  	56.273	-7620.6	-4.6279	4.3819E-07	2	291.67	729
120-61-6	Dimethyl terephthalate  	43.541	-8204.8	-2.7519	1.0466E-18	6	413.8	772
123-91-1	1,4-Dioxane  	44.494	-5406.7	-3.1287	2.8913E-18	6	284.95	587
101-84-8	Diphenyl ether 	59.969	-8585.5	-5.1538	1.9983E-18	6	300.03	766.8
142-84-7	Dipropyl amine 	54	-6018.5	-4.4981	9.9684E-18	6	210.15	550
112-40-3	Dodecane 	137.47	-11976	-16.698	8.0906E-06	2	263.57	658
112-95-8	Eicosane 	203.66	-19441	-25.525	8.8382E-06	2	309.58	768
74-84-0	Ethane 	51.857	-2598.7	-5.1283	1.4913E-05	2	90.35	305.32
64-17-5	Ethanol 	73.304	-7122.3	-7.1424	2.8853E-06	2	159.05	514
141-78-6	Ethyl acetate 	66.824	-6227.6	-6.41	1.7914E-17	6	189.6	523.3
75-04-7	Ethyl amine 	81.56	-5596.9	-9.0779	8.792E-06	2	192.15	456.15
100-41-4	Ethylbenzene 	89.063	-7733.7	-9.917	5.986E-06	2	178.2	617.15
93-89-0	Ethyl benzoate 	52.923	-7531.7	-4.2347	1.1835E-06	2	238.45	698
88-09-5	2-Ethyl butanoic acid 	90.464	-10243	-9.2836	5.2573E-18	6	258.15	655
105-54-4	Ethyl butyrate 	57.661	-6346.5	-5.032	8.2534E-18	6	175.15	571
1678-91-7	Ethylcyclohexane 	80.208	-7203.2	-8.6023	4.5901E-06	2	161.84	609.15
1640-89-7	Ethylcyclopentane 	88.671	-7012.7	-10.045	7.4578E-06	2	134.71	569.5
74-85-1	Ethylene 	53.963	-2443	-5.5643	1.9079E-05	2	104	282.34
107-15-3	Ethylenediamine 	73.51	-7572.7	-7.1435	1.2124E-17	6	284.29	593
107-21-1	Ethylene glycol 	84.09	-10411	-8.1976	1.6536E-18	6	260.15	720
151-56-4	Ethyleneimine 	66.51	-6019.2	-6.3332	1.0394E-17	6	195.2	537
75-21-8	Ethylene oxide 	91.944	-5293.4	-11.682	0.014902	1	160.65	469.15
109-94-4	Ethyl formate 	73.833	-5817	-7.809	6.32E-06	2	193.55	508.4
149-57-5	2-Ethyl hexanoic acid 	117.52	-12991	-12.895	6.1306E-18	6	235	674.6
5756-43-4	Ethylhexyl ether 	77.523	-7978.8	-7.7757	1.0076E-17	6	180	583
625-54-7	Ethylisopropyl ether 	57.723	-5236.9	-5.2136	2.2998E-17	6	140	489
565-69-5	Ethylisopropyl ketone 	57.459	-6356.8	-4.9545	5.2015E-18	6	204.15	567
75-08-1	Ethyl mercaptan 	65.551	-5027.4	-6.6853	6.3208E-06	2	125.26	499.15
105-37-3	Ethyl propionate 	105.64	-8007	-12.477	9E-06	2	199.25	546
628-32-0	Ethylpropyl ether 	86.898	-6646.4	-9.5758	5.9615E-17	6	145.65	500.23
115-21-9	Ethyltrichlorosilane 	62.614	-6148.2	-5.84	1.09E-17	6	167.55	559.95
7782-41-4	Fluorine 	42.393	-1103.3	-4.1203	5.7815E-05	2	53.48	144.12
462-06-6	Fluorobenzene 	51.915	-5439	-4.2896	8.7527E-18	6	230.94	560.09
353-36-6	Fluoroethane 	56.639	-3576.5	-5.5801	9.8969E-06	2	129.95	375.31
593-53-3	Fluoromethane 	59.123	-3043.7	-6.1845	1.6637E-05	2	131.35	317.42
50-00-0	Formaldehyde 	101.51	-4917.2	-13.765	0.022031	1	181.15	408
75-12-7	Formamide 	100.3	-10763	-10.946	3.8503E-06	2	275.6	771
64-18-6	Formic acid 	50.323	-5378.2	-4.203	3.4697E-06	2	281.45	588
110-00-9	Furan 	74.738	-5417	-8.0636	7.47E-06	2	187.55	490.15
7440-59-7	Helium-4 	11.533	-8.99	0.6724	0.2743	1	1.76	5.2
629-78-7	Heptadecane 	156.95	-15557	-18.966	6.4559E-06	2	295.13	736
111-71-7	Heptanal 	92.252	-8349	-10.274	5.9252E-06	2	229.8	616.8
142-82-5	Heptane 	87.829	-6996.4	-9.8802	7.2099E-06	2	182.57	540.2
111-14-8	Heptanoic acid 	120.47	-13106	-13.31	5.8384E-18	6	265.83	677.3
111-70-6	1-Heptanol 	147.41	-13466	-17.353	1.1284E-17	6	239.15	632.3
543-49-7	2-Heptanol 	124.23	-11637	-14.148	6.9486E-17	5.7	230	608.3
106-35-4	3-Heptanone 	78.463	-8077.2	-7.9062	8.0521E-18	6	234.15	606.6
110-43-0	2-Heptanone 	75.494	-7896.5	-7.5047	8.913E-18	6	238.15	611.4
592-76-7	1-Heptene 	65.922	-6189	-6.3629	2.0091E-17	6	154.12	537.4
1639-09-4	Heptyl mercaptan 	79.858	-8501.8	-8.1043	8.1501E-18	6	229.92	645
628-71-7	1-Heptyne 	59.083	-6031.8	-5.3072	1.4357E-17	6	192.22	547
544-76-3	Hexadecane 	156.06	-15015	-18.941	6.8172E-06	2	291.31	723
66-25-1	Hexanal 	81.507	-7776.8	-8.4516	1.5143E-17	6	217.15	591
110-54-3	Hexane 	104.65	-6995.5	-12.702	1.2381E-05	2	177.83	507.6
142-62-1	Hexanoic acid 	114.05	-12332	-12.45	5.6253E-18	6	269.25	660.2
111-27-3	1-Hexanol 	135.421	-12288	-15.732	1.2701E-17	6	228.55	611.3
591-78-6	2-Hexanone 	107.44	-8528.6	-12.679	8.4606E-06	2	217.35	587.61
589-38-8	3-Hexanone 	73.155	-7242.9	-7.2569	1.2741E-17	6	217.5	582.82
592-41-6	1-Hexene 	51.024	-4986.4	-4.2463	1.6768E-17	6	133.39	504
928-49-4	3-Hexyne 	47.091	-5104	-3.6371	0.00051621	1	170.05	544
111-31-9	Hexyl mercaptan 	68.467	-7390.5	-6.5456	7.7611E-18	6	192.62	623
693-02-7	1-Hexyne 	133.2	-7492.9	-18.405	0.022062	1	141.25	516.2
764-35-2	2-Hexyne 	123.71	-7639	-16.451	0.016495	1	183.65	549
302-01-2	Hydrazine 	76.858	-7245.2	-8.22	0.0061557	1	274.69	653.15
1333-74-0	Hydrogen 	12.69	-94.896	1.1125	0.00032915	2	13.95	33.19
10035-10-6	Hydrogen bromide  	29.315	-2424.5	-1.1354	2.3806E-18	6	185.15	363.15
7647-01-0	Hydrogen chloride  	104.27	-3731.2	-15.047	0.03134	1	158.97	324.65
74-90-8	Hydrogen cyanide  	36.75	-3927.1	-2.1245	3.8948E-17	6	259.83	456.65
7664-39-3	Hydrogen fluoride  	59.544	-4143.8	-6.1764	1.4161E-05	2	189.79	461.15
7783-06-4	Hydrogen sulfide  	85.584	-3839.9	-11.199	0.018848	1	187.68	373.53
79-31-2	Isobutyric acid  	110.38	-10540	-12.262	1.431E-17	6	227.15	605
75-31-0	Isopropyl amine  	136.66	-7201.5	-18.934	0.022255	1	177.95	471.85
141-82-2	Malonic acid  	122.92	-16258	-13.113	2.0609E-18	6	407.95	805
79-41-4	Methacrylic acid  	109.53	-10410	-12.289	3.199E-06	2	288.15	662
74-82-8	Methane  	39.205	-1324.4	-3.4366	3.1019E-05	2	90.69	190.56
67-56-1	Methanol  	82.718	-6904.5	-8.8622	7.4664E-06	2	175.47	512.5
79-16-3	N-Methyl acetamide  	79.128	-9523.9	-7.7355	3.1616E-18	6	301.15	718
79-20-9	Methyl acetate  	61.267	-5618.6	-5.6473	2.108E-17	6	175.15	506.55
74-99-7	Methyl acetylene  	50.242	-3811.9	-4.2526	6.5326E-17	6	170.45	402.4
96-33-3	Methyl acrylate  	107.69	-7027.2	-13.916	0.015185	1	196.32	536
74-89-5	Methyl amine  	75.206	-5082.8	-8.0919	8.113E-06	2	179.69	430.05
93-58-3	Methyl benzoate  	84.828	-9334.7	-8.7063	6.1723E-18	6	260.75	693
598-25-4	3-Methyl-1,2-butadiene  	66.575	-5213.4	-6.7693	4.8106E-06	2	159.53	490
78-78-4	2-Methylbutane  	71.308	-4976	-7.7169	8.7271E-06	2	113.25	460.4
116-53-0	2-Methylbutanoic acid  	85.383	-9575.4	-8.6164	5.6124E-18	6	193	643
123-51-3	3-Methyl-1-butanol  	121.85	-10976	-13.869	1.4283E-17	6	155.95	577.2
563-46-2	2-Methyl-1-butene  	93.131	-5525.4	-11.852	0.014205	1	135.58	465
513-35-9	2-Methyl-2-butene  	83.927	-5640.5	-9.6453	1.1121E-05	2	139.39	470
78-80-8	2-Methyl-1-butene-3-yne  	95.453	-5448.8	-12.384	0.015643	1	160.15	492
628-28-4	Methylbutyl ether  	60.164	-5621.7	-5.53	1.8629E-17	6	157.48	512.74
628-29-5	Methylbutyl sulfide  	96.344	-7856.3	-11.058	7.308E-06	2	175.3	593
598-23-2	3-Methyl-1-butyne  	69.459	-5250	-7.1125	7.9289E-17	6	183.45	463.2
623-42-7	Methyl butyrate  	71.87	-6885.7	-7.0944	1.4903E-17	6	187.35	554.5
993-00-0	Methylchlorosilane  	95.984	-5401.7	-11.829	1.8092E-05	2	139.05	442
108-87-2	Methylcyclohexane  	92.684	-7080.8	-10.695	8.1366E-06	2	146.58	572.1
590-67-0	1-Methylcyclohexanol  	134.63	-10682	-16.511	8.4427E-06	2	299.15	686
7443-70-1	cis-2-Methylcyclohexanol  	125.1	-10288	-15.157	1.0918E-05	2	280.15	614
7443-52-9	trans-2-Methylcyclohexanol 	54.179	-7477.2	-4.22	3.5225E-18	6	269.15	617
96-37-7	Methylcyclopentane  	55.368	-5149.8	-5.0136	3.222E-06	2	130.73	532.7
693-89-0	1-Methylcyclopentene  	52.732	-5286.9	-4.4509	1.0883E-17	6	146.62	542
1120-62-3	3-Methylcyclopentene  	52.601	-5120.3	-4.4554	1.3288E-17	6	115	526
75-54-7	Methyldichlorosilane  	79.788	-5420	-9.0702	1.1489E-05	2	182.55	483
540-67-0	Methylethyl ether  	78.586	-5176.3	-8.7501	9.1727E-06	2	160	437.8
78-93-3	Methylethyl ketone  	72.698	-6143.6	-7.5779	5.6476E-06	2	186.48	535.5
624-89-5	Methylethyl sulfide  	79.07	-6114.1	-8.631	6.5333E-06	2	167.23	533
107-31-3	Methyl formate  	77.184	-5606.1	-8.392	7.8468E-06	2	174.15	487.2
625-44-5	Methylisobutyl ether  	57.984	-5339.6	-5.2362	2.0767E-17	6	150	497
108-10-1	Methylisobutyl ketone  	80.503	-7421.8	-8.379	1.8114E-17	6	189.15	574.6
624-83-9	Methyl Isocyanate  	57.612	-5197.9	-5.1269	2.1702E-17	6	256.15	488
598-53-8	Methylisopropyl ether  	53.867	-4701	-4.7052	2.8791E-17	6	127.93	464.48
563-80-4	Methylisopropyl ketone  	45.242	-5324.4	-3.2551	3.0363E-18	6	180.15	553.4
1551-21-9	Methylisopropyl sulfide  	52.82	-5437.7	-4.442	9.5103E-18	6	171.64	553.1
74-93-1	Methyl mercaptan  	54.15	-4337.7	-4.8127	4.5E-17	6	150.18	469.95
80-62-6	Methyl methacrylate  	107.36	-8085.3	-12.72	8.3307E-06	2	224.95	566
3004-93-1	2-Methyloctanoic acid  	105.7	-12458	-11.234	4.4629E-18	6	240	694
107-83-5	2-Methylpentane  	53.579	-5041.2	-4.6404	1.9443E-17	6	119.55	497.7
628-80-8	Methyl pentyl ether  	61.907	-6188.9	-5.706	1.1767E-17	6	176	546.49
75-28-5	2-Methylpropane  	108.43	-5039.9	-15.012	0.022725	1	113.54	407.8
75-65-0	2-Methyl-2-propanol  	172.27	-11589	-22.113	1.3703E-05	2	298.97	506.2
115-11-7	2-Methyl propene  	78.01	-4634.1	-8.9575	1.3413E-05	2	132.81	417.9
554-12-1	Methyl propionate  	70.717	-6439.7	-6.9845	2.0129E-17	6	185.65	530.6
557-17-5	Methylpropyl ether  	67.942	-5419.1	-6.8067	4.7778E-17	6	133.97	476.25
3877-15-4	Methylpropyl sulfide  	83.711	-6786.9	-9.2526	6.6666E-06	2	160.17	565
992-94-9	Methylsilane  	37.205	-2590.3	-2.5993	6.0508E-06	2	116.34	352.5
98-83-9	-Methyl styrene  	56.485	-6954.2	-4.7889	2.7753E-18	6	249.95	654
1634-04-4	Methyl tert-butyl ether  	57.1511	-5201.7	-5.1429	1.6529E-17	6	164.55	497.1
107-25-5	Methyl vinyl ether  	51.085	-4271	-4.307	3.053E-17	6	151.15	437
91-20-3	Naphthalene  	62.964	-8137.5	-5.6317	2.2675E-18	6	353.43	748.4
7440-01-9	Neon  	29.755	-271.06	-2.6081	0.000527	2	24.56	44.4
79-24-3	Nitroethane  	75.632	-7202.3	-7.6464	1.825E-17	6	183.63	593
7727-37-9	Nitrogen  	58.282	-1084.1	-8.3144	0.044127	1	63.15	126.2
7783-54-2	Nitrogen trifluoride  	68.149	-2257.9	-8.9118	0.023233	1	66.46	234
75-52-5	Nitromethane  	57.278	-6089	-4.9821	1.2154E-17	6	244.6	588.15
10024-97-2	Nitrous oxide  	96.512	-4045	-12.277	2.886E-05	2	182.3	309.57
10102-43-9	Nitric oxide  	72.974	-2650	-8.261	9.7E-15	6	109.5	180.15
629-92-5	Nonadecane  	182.54	-17897	-22.498	7.4008E-06	2	305.04	758
124-19-6	Nonanal  	337.71	-18506	-50.224	0.047345	1	255.15	658
111-84-2	Nonane  	109.35	-9030.4	-12.882	7.8544E-06	2	219.66	594.6
112-05-0	Nonanoic acid  	137.6	-14948	-15.618	5.566E-18	6	285.55	710.7
143-08-8	1-Nonanol  	162.854	-15205	-19.424	1.0722E-17	6	268.15	670.9
124-11-8	1-Nonene  	63.313	-7040.4	-5.8055	7.5753E-18	6	191.91	593.1
1455-21-6	Nonyl mercaptan  	106.2	-10982	-11.696	8.8955E-18	6	253.05	681
3452-09-3	1-Nonyne  	114.77	-9430.8	-13.631	8.1918E-06	2	223.15	598.05
593-45-3	Octadecane  	157.68	-16093	-18.954	5.9272E-06	2	301.31	747
124-13-0	Octanal  	83.601	-8865.8	-8.5711	7.9446E-18	6	246	638.9
111-65-9	Octane  	96.084	-7900.2	-11.003	7.1802E-06	2	216.38	568.7
124-07-2	Octanoic acid  	140.16	-14813	-16.004	6.4239E-18	6	289.65	694.26
111-87-5	1-Octanol  	144.111	-13667	-16.826	9.3666E-18	6	257.65	652.3
111-13-7	2-Octanone  	63.775	-7711.3	-5.7359	3.0902E-18	6	252.85	632.7
106-68-3	3-Octanone  	72.382	-8054.8	-7.0002	5.8276E-18	6	255.55	627.7
111-66-0	1-Octene  	74.936	-7155.9	-7.5843	1.7106E-17	6	171.45	566.9
111-88-6	Octyl mercaptan  	78.368	-8855.4	-7.8202	5.6629E-18	6	223.95	667.3
629-05-0	1-Octyne  	64.612	-6802.5	-6.0261	1.1013E-17	6	193.55	574
144-62-7	Oxalic acid  	122.04	-16050	-12.986	2.0871E-18	6	462.65	804
7782-44-7	Oxygen  	51.245	-1200.2	-6.4361	0.028405	1	54.36	154.58
10028-15-6	Ozone  	40.067	-2204.8	-2.9351	7.752E-16	6	80.15	261
629-62-9	Pentadecane  	135.57	-13478	-16.022	5.6136E-06	2	283.07	708
110-62-3	Pentanal  	149.58	-8890	-20.697	0.022101	1	182	566.1
109-66-0	Pentane  	78.741	-5420.3	-8.8253	9.6171E-06	2	143.42	469.7
109-52-4	Pentanoic acid  	101.7	-10955	-10.829	7.188E-18	6	239.15	639.16
71-41-0	1-Pentanol  	114.748	-10643	-12.858	1.2491E-17	6	195.56	588.1
107-87-9	2-Pentanone  	84.635	-7078.4	-9.3	6.2702E-06	2	196.29	561.08
96-22-0	3-Pentanone  	44.286	-5415.1	-3.0913	1.858E-18	6	234.18	560.95
109-67-1	1-Pentene  	46.994	-4289.5	-3.7345	2.5424E-17	6	108.02	464.8
2084-19-7	2-Pentyl mercaptan  	58.985	-6193.1	-5.2746	7.3986E-18	6	160.75	584.3
110-66-7	Pentyl mercaptan  	67.309	-6880.8	-6.4449	1.0148E-17	6	197.45	598
627-19-0	1-Pentyne  	82.805	-5683.8	-9.4301	1.0767E-05	2	167.45	481.2
627-21-4	2-Pentyne  	137.29	-7447.1	-19.01	0.021415	1	163.83	519
85-01-8	Phenanthrene  	72.958	-10943	-6.7902	1.085E-18	6	372.38	869
108-95-2	Phenol  	95.444	-10113	-10.09	6.7603E-18	6	314.06	694.25
103-71-9	Phenyl isocyanate  	86.779	-8101.8	-9.5303	6.1367E-06	2	243.15	653
85-44-9	Phthalic anhydride  	126.5	-12551	-15.002	7.7521E-06	2	404.15	791
463-49-0	Propadiene  	57.069	-3682.7	-5.5662	6.5133E-06	2	136.87	394
74-98-6	Propane  	59.078	-3492.6	-6.0669	1.0919E-05	2	85.47	369.83
71-23-8	1-Propanol  	84.6642	-8307.2	-8.5767	7.5091E-18	6	146.95	536.8
67-63-0	2-Propanol  	96.094	-8575.4	-10.292	1.6665E-17	6	185.26	508.3
