name	CAS	atomic number	element symbol	covalent radius	rB0	Van derWaal radius	atomic mass	number of outshell electrons	most common isotope	most common isotopic mass	valences		
Indium	7440-74-6	49	In	1.63	1.44	1.93	114.818	3	115	114.903878	3		
Tin	7440-31-5	50	Sn	1.46	1.385	2.17	118.711	4	120	119.9021947	4		
Antimony	7440-36-0	51	Sb	1.46	1.4	2.2	121.76	5	121	120.9038157	3	5	
Tellurium	13494-80-9	52	Te	1.47	1.378	2.06	127.6	6	130	129.9062244	2		
Iodine	7553-56-2	53	I	1.4	1.387	2.15	126.904	7	127	126.904473	1	2	5
Xenon	7440-63-3	54	Xe	1.98	1.98	2.16	131.29	8	132	131.9041535	0		
Cesium	7440-46-2	55	Cs	1.67	2.35	1.7	132.905	1	133	132.9054519	1		
Barium	7440-39-3	56	Ba	1.34	1.98	1.7	137.328	2	138	137.9052472	2		
Lanthanum	7439-91-0	57	La	1.87	1.69	1.7	138.906	3	139	138.9063533	-1		
Cerium	7440-45-1	58	Ce	1.83	1.83	1.7	140.116	4	140	139.9054387	-1		
Praseodymium	7440-10-0	59	Pr	1.82	1.82	1.7	140.908	3	141	140.9076528	-1		
Neodymium	7440-00-8	60	Nd	1.81	1.81	1.7	144.24	4	142	141.9077233	-1		
Promethium	7440-12-2	61	Pm	1.8	1.8	1.7	145	5	145	144.912749	-1		
Samarium	7440-19-9	62	Sm	1.8	1.8	1.7	150.36	6	152	151.9197324	-1		
Europium	7440-53-1	63	Eu	1.99	1.99	1.7	151.964	7	153	152.9212303	-1		
Gadolinium	7440-54-2	64	Gd	1.79	1.79	1.7	157.25	8	158	157.9241039	-1		
Terbium	7440-27-9	65	Tb	1.76	1.76	1.7	158.925	9	159	158.9253468	-1		
Dysprosium	7429-91-6	66	Dy	1.75	1.75	1.7	162.5	10	164	163.9291748	-1		
Holmium	7440-60-0	67	Ho	1.74	1.74	1.7	164.93	11	165	164.9303221	-1		
Erbium	7440-52-0	68	Er	1.73	1.73	1.7	167.26	12	166	165.9302931	-1		
Thulium	7440-30-4	69	Tm	1.72	1.72	1.7	168.934	13	169	168.9342133	-1		
Ytterbium	7440-64-4	70	Yb	1.94	1.94	1.7	173.04	14	174	173.9388621	-1		
Lutetium	7439-94-3	71	Lu	1.72	1.72	1.7	174.967	15	175	174.9407718	-1		
Hafnium	7440-58-6	72	Hf	1.57	1.44	1.7	178.49	4	180	179.94655	-1		
Tantalum	7440-25-7	73	Ta	1.43	1.34	1.7	180.948	5	181	180.9479958	-1		
Tungsten	7440-33-7	74	W	1.37	1.3	1.7	183.84	6	184	183.9509312	-1		
Rhenium	7440-15-5	75	Re	1.35	1.28	1.7	186.207	7	187	186.9557531	-1		
Osmium	7440-04-2	76	Os	1.37	1.26	1.7	190.23	8	192	191.9614807	-1		
Iridium	7439-88-5	77	Ir	1.32	1.27	1.7	192.217	9	193	192.9629264	-1		
Platinum	7440-06-4	78	Pt	1.5	1.3	1.72	195.078	10	195	194.9647911	-1		
Gold	7440-57-5	79	Au	1.5	1.34	1.66	196.967	11	197	196.9665687	-1		
Mercury	7439-97-6	80	Hg	1.7	1.49	1.55	200.59	2	202	201.970643	-1		
Thallium	7440-28-0	81	Tl	1.55	1.48	1.96	204.383	3	205	204.9744275	3		
Lead	7439-92-1	82	Pb	1.54	1.48	2.02	207.2	4	208	207.9766521	4		
Bismuth	7440-69-9	83	Bi	1.54	1.45	1.7	208.98	5	209	208.9803987	3		
Polonium	7440-08-6	84	Po	1.68	1.46	1.7	209	6	209	208.9824304	2		
Astatine	7440-68-8	85	At	1.7	1.45	1.7	210	7	210	209.987148	1		
Radon	10043-92-2	86	Rn	2.4	2.4	1.7	222	8	211	210.990601	0		
Francium	7440-73-5	87	Fr	2	2	1.7	223	1	223	223.0197359	1		
Radium	7440-14-4	88	Ra	1.9	1.9	1.7	226	2	223	223.0185022	2		
Actinium	7440-34-8	89	Ac	1.88	1.88	1.7	227	3	227	227.0277521	-1		
Thorium	7440-29-1	90	Th	1.79	1.79	1.7	232.038	4	232	232.0380553	-1		
Protactinium	7440-13-3	91	Pa	1.61	1.61	1.7	231.036	3	231	231.035884	-1		
Uranium	7440-61-1	92	U	1.58	1.58	1.86	238.029	4	238	238.0507882	-1		
Neptunium	7439-99-8	93	Np	1.55	1.55	1.7	237	5	236	236.04657	-1		
Plutonium	7440-07-5	94	Pu	1.53	1.53	1.7	244	6	238	238.0495599	-1		
Americium	7440-35-9	95	Am	1.51	1.07	1.7	243	7	241	241.0568291	-1		
Curium	7440-51-9	96	Cm	1.5	0	1.7	247	8	243	243.0613891	-1		
Berkelium	7440-40-6	97	Bk	1.5	0	1.7	247	9	247	247.070307	-1		
Californium	7440-71-3	98	Cf	1.5	0	1.7	251	10	249	249.0748535	-1		
Einsteinium	7429-92-7	99	Es	1.5	0	1.7	252	11	252	252.08298	-1		
Fermium	7440-72-4	100	Fm	1.5	0	1.7	257	12	257	257.095105	-1		
Mendelevium	7440-11-1	101	Md	1.5	0	1.7	258	13	258	258.098431	-1		
Nobelium	10028-14-5	102	No	1.5	0	1.7	259	14	259	259.10103	-1		
Lawrencium	22537-19-5	103	Lr	1.5	0	1.7	262	15	262	262.10963	-1		
Rutherfordium	53850-36-5	104	Rf	1.57	0	1.7	267	2	267	267.12153	-1		
Dubnium	53850-35-4	105	Db	1.49	0	1.7	268	2	268	268.12545	-1		
Seaborgium	54038-81-2	106	Sg	1.43	0	1.7	269	2	271	271.13347	-1		
Bohrium	54037-14-8	107	Bh	1.41	0	1.7	270	2	270	270.13362	-1		
Hassium	54037-57-9	108	Hs	1.34	0	1.7	269	2	269	269.13406	-1		
Meitnerium	54038-01-6	109	Mt	1.29	0	1.7	278	2	278	278.15481	-1		
Darmstadtium	54083-77-1	110	Ds	1.28	0	1.7	281	2	281	281.16206	-1		
Roentgenium	54386-24-2	111	Rg	1.21	0	1.7	281	2	281	281.16537	-1		
Ununbium	54084-26-3	112	Cn	1.22	0	1.7	285	2	285	285.17411	-1		
