CASRN	Name	Tm	Tb	rho	RI
100-80-1	3-Methylstyrene	186.85	443.15	907.625	1.54112
100-81-2	3-Methylbenzenemethanamine		476.65	966.25	1.53602
100-83-4	3-Hydroxybenzaldehyde	379.15	513.15	1117.913	
100-84-5	3-Methylanisole	217.65	450.15	969.25	1.51302
100-86-7	1-Phenyl-2-methyl-2-propanol	297.15	488.15	978.716	1.517316
100-87-8	Benzylsulfonic acid				
100-88-9	Cyclohexylsulfamic acid	442.65			
100-92-5	N,α,α-Trimethylbenzeneethanamine				
100-97-0	Hexamethylenetetramine	523.15			
100-99-2	Triisobutylaluminum	279.15			
1000-50-6	Butylchlorodimethylsilane		412.15	876.2	1.51452
1000-82-4	(Hydroxymethyl)urea	384.15			
1000-86-8	2,4-Dimethyl-1,3-pentadiene	157.15	367.15	734.323	1.439023
1001-53-2	N-(2-Aminoethyl)acetamide	324.15			
1001-89-4	2-Chloroheptane			867.22	1.42212
10016-20-3	α-Cyclodextrin				
1002-28-4	3-Hexyn-1-ol		435.15	898.22	1.45302
1002-43-3	3-Methylundecane	215.15	485.15	748.525	1.420825
1002-69-3	1-Chlorodecane	241.85	498.15	869.62	1.43802
1002-84-2	Pentadecanoic acid	325.67	612.15	842.38	1.42548
10024-74-5	Bis(1-phenylethyl)amine		569.65	1018.15	1.573
100295-85-0	6-Methyl-3-heptanol, (±)-	212.15	432.15	822.02	1.42542
100296-26-2	2-Methyl-3-heptanol, (±)-	188.15	444.15	823.52	1.42652
1003-03-8	Cyclopentylamine	190.46	381.65	868.92	1.472825
1003-09-4	2-Bromothiophene		414.15	1684.2	1.58682
1003-10-7	Dihydro-2(3H)-thiophenone			1182.5	1.52302
1003-29-8	1H-Pyrrole-2-carboxaldehyde	319.65	491.15		1.593916
1003-30-1	2-Ethyltetrahydrofuran		380.15	857.019	1.414719
1003-31-2	2-Thiophenecarbonitrile		466.15	1172.25	1.56292
1003-64-1	Ethylidenecyclohexane		410.15	822.25	1.46182
1003-67-4	4-Methylpyridine-1-oxide	458.95			
1003-73-2	3-Methylpyridine-1-oxide	314.15			
1003-78-7	2,4-Dimethylsulfolane	271.65	554.15	1136.22	1.47322
10030-80-5	L-Mannose	405.15			
10031-82-0	4-Ethoxybenzaldehyde	286.65	522.15	1082.1	
10031-87-5	2-Ethylbutyl acetate	173.15	434.15	879.02	1.41092
1004-36-0	2,6-Dimethyl-4H-pyran-4-one	405.25	524.15	995.3137	
1004-38-2	2,4,6-Pyrimidinetriamine				
1004-66-6	2,6-Dimethylanisole		456.15	961.914	1.505314
10048-13-2	Sterigmatocystin				
10048-32-5	Parasorbic acid			1079.18	1.47362
1005-64-7	trans-1-Butenylbenzene	230.05	474.15	901.92	1.54202
1005-67-0	4-Butylmorpholine	216.05	486.65	906.82	1.44512
10061-01-5	cis-1,3-Dichloropropene		377.15	1224.2	1.46822
10061-02-6	trans-1,3-Dichloropropene		384.15	1217.2	1.47302
1007-26-7	(2,2-Dimethylpropyl)benzene		459.15	858.118	1.488418
1007-32-5	1-Phenyl-2-butanone		501.15	987.72	
10075-38-4	cis-1,3-Dichloro-2-butene		400.15	1160.52	1.47352
1008-65-7	Fenadiazole	385.15			
1008-88-4	3-Phenylpyridine	437.15	547.15		1.612325
1008-89-5	2-Phenylpyridine		544.15	1083.325	1.62102
10088-95-6	Radicinin	494.65			
1009-14-9	1-Phenyl-1-pentanone	263.75	520.15	986.2	1.51582
1009-61-6	1,4-Diacetylbenzene	386.15			
1009-93-4	2,2,4,4,6,6-Hexamethylcyclotrisilazane	254.45	460.15	919.62	1.4482
10098-89-2	L-Lysine, hydrochloride				
10099-71-5	Dipentyl maleate			974.2	
101-01-9	N,N',N''-Triphenylguanidine	419.65		1163.2	
101-02-0	Triphenyl phosphite	295.15	633.15	1184.22	1.59002
101-05-3	Anilazine	432.45		1820	
101-10-0	2-(3-Chlorophenoxy)propanoic acid	386.15			
101-14-4	4,4'-Methylenebis[2-chloroaniline]				
101-18-8	3-(Phenylamino)phenol	354.65	613.15		
101-20-2	3,4,4'-Trichlorocarbanilide	527.55			
101-21-3	Chloropropham	315.65		1183	1.53882
101-25-7	Dinitrosopentamethylenetetramine	480.15			
101-27-9	Barban	345.55			
101-31-5	Hyoscyamine	381.65			
101-38-2	2,6-Dichloro-4-(chloroimino)-2,5-cyclohexadien-1-one	339.15			
101-39-3	2-Methyl-3-phenyl-2-propenal		524.75	1040.717	1.605717
101-40-6	N,α-Dimethylcyclohexaneethanamine		478.15	850.12	1.46002
101-41-7	Methyl 2-phenylacetate		488.15	1062.216	1.50752
101-42-8	N,N-Dimethyl-N'-phenylurea	406.05			
101-43-9	Cyclohexyl methacrylate		482.15	962.62	1.45782
101-48-4	(2,2-Dimethoxyethyl)benzene		466.65		
101-53-1	4-Benzylphenol	357.15	595.15		
101-54-2	N-Phenyl-1,4-benzenediamine	348.15	627.15		
101-55-3	1-Bromo-4-phenoxybenzene	291.85		1608.82	1.60842
101-57-5	4-(Phenylamino)benzenesulfonic acid	479.15			
101-60-0	21H,23H-Porphine	633.15		1336.25	
101-61-1	Bis[4-(dimethylamino)phenyl]methane	364.65			
101-63-3	4,4'-Dinitrodiphenyl ether	416.15			
101-64-4	N-(p-Methoxyphenyl)-p-phenylenediamine	375.15			
101-68-8	4,4'-Diphenylmethane diisocyanate	313.56		1197.7	1.59065
101-70-2	4-Methoxy-N-(4-methoxyphenyl)aniline	376.15			
101-72-4	N-Isopropyl-N'-phenyl-1,4-benzenediamine	345.65			
101-73-5	4-Isopropoxydiphenylamine	356.15			
101-75-7	4-Phenylazodiphenylamine	357.15			
101-76-8	Bis(4-chlorophenyl)methane	328.65		1365.17	
101-77-9	4,4'-Diaminodiphenylmethane	363.15	652.15		
101-80-4	4,4'-Diaminodiphenyl ether	465.35			
101-81-5	Diphenylmethane	298.37	537.35	1001.26	1.57532
101-82-6	2-Benzylpyridine	285.65	550.15	1067	1.57852
101-83-7	Dicyclohexylamine	273.05	524.15	912.32	1.48422
101-84-8	Diphenyl ether	300.015	531.15	1066.13	1.578725
101-86-0	2-(Phenylmethylene)octanal	277.15	525.15		
101-90-6	1,3-Bis(2,3-epoxypropoxy)benzene	315.65		1218.33	1.54082
101-91-7	N-(4-Hydroxyphenyl)butanamide	412.65			
101-92-8	4-Chloroacetoacetanilide	405.15			
101-97-3	Ethyl phenylacetate	243.75	501.15	1033.32	1.49802
101-98-4	2-[Methyl(phenylmethyl)amino]ethanol				
101-99-5	Ethyl phenylcarbamate	326.15		1106.43	1.53763
10108-56-2	Butylcyclohexylamine	481.45			
1011-12-7	2-Cyclohexylidenecyclohexanone	329.65			
10112-11-5	(Trifluoromethyl)silane	149.15	234.85		
10118-90-8	Minocycline				
1012-72-2	1,4-Di-tert-butylbenzene	350.78	510.45	985.02	
101200-48-0	Tribenuron-methyl	414.15			
101257-71-0	2,2,4-Trimethylpiperidine		421.15	832.15	1.44582
1013-08-7	1,2,3,4-Tetrahydrophenanthrene	302.554		1060.14	
1013-88-3	α-Phenylbenzenemethanimine		555.15	1084.719	1.619119
10137-73-2	Dicyclopentyl ether				
1014-69-3	Desmetryne	358.15			
10140-87-1	1,2-Dichloroethyl acetate				
10143-60-9	Bis(2-ethylhexyl) ether		552.15		1.43252
10147-36-1	1-Propanesulfonyl chloride		477.15	1267.2	1.4522
10152-76-8	3-(Methylthio)-1-propene		367.15	876.72	1.47142
10160-87-9	3,3-Diethoxy-1-propyne		412.15	894.222	1.41402
10166-08-2	2-Methylbenzeneacetaldehyde		494.15	1024.11	
1017-56-7	N,N',N''-Tris(hydroxymethyl)melamine	421.15			
10170-69-1	Manganese carbonyl	427.15		1750	
10193-99-4	Pentaerythritol tetrakis(2-mercaptoacetate)			1385.25	1.54702
102-01-2	Acetoacetanilide	359.15			
102-02-3	Phenyl biguanide	416.15			
102-04-5	1,3-Diphenyl-2-propanone	307.15	602.15	1195	
102-06-7	N,N'-Diphenylguanidine	420.15		1132	
102-07-8	N,N'-Diphenylurea	509.15		1239.25	
102-08-9	N,N'-Diphenylthiourea	426.15		1322.5	
102-09-0	Diphenyl carbonate	352.05	579.15	1121.587	
102-13-6	Isobutyl phenylacetate		520.15	999.18	
102-14-7	4-Oxo-4-(phenylamino)butanoic acid	421.65			
102-20-5	2-Phenylethyl phenylacetate	299.65		1077.25	
102-24-9	Trimethoxyboroxin				1.4025
102-25-0	1,3,5-Triethylbenzene	206.75	488.95	863.12	1.49692
102-27-2	N-Ethyl-3-methylaniline		494.15	926.315	1.54512
102-28-3	N-(3-Aminophenyl)acetamide	361.15			
102-36-3	3,4-Dichlorophenyl isocyanate	315.15			
102-45-4	N,α-Dimethylcyclopentaneethanamine		444.15		1.45002
102-47-6	1,2-Dichloro-4-(chloromethyl)benzene	310.65	514.15		
102-50-1	4-Methoxy-2-methylaniline	302.65	521.65	1065.25	1.56472
102-51-2	4-Methoxy-1,2-benzenediamine	324.15			
102-52-3	1,1,3,3-Tetramethoxypropane		456.15	997.25	1.40812
102-53-4	N,N,N',N'-Tetraethylmethanediamine		425.15	800.02	1.442025
102-54-5	Ferrocene	448.15	522.15		
102-56-7	2,5-Dimethoxyaniline	355.65	543.15		
102-60-3	N,N,N',N'-Tetra(2-hydroxypropyl)ethylenediamine			1030.25	1.47825
102-69-2	Tripropylamine	172.65	426.15	755.82	1.41812
102-70-5	N,N-Diallyl-2-propen-1-amine	367.15	423.15	809.2	1.45022
102-71-6	Triethanolamine	294.65	623.15	1124.22	1.48522
102-76-1	Glycerol triacetate	195.15	532.15	1158.32	1.43012
102-77-2	2-(4-Morpholinothio)benzothiazole	359.85			
102-79-4	N,N-Bis(2-hydroxyethyl)butylamine		552.15	968.12	1.46252
102-81-8	2-Dibutylaminoethanol				
102-82-9	Tributylamine	203.15	480.15	777.02	1.42992
102-85-2	Tributyl phosphite			925.92	1.432119
102-86-3	Trihexylamine		534.85	797.621	
102-87-4	Tridodecylamine	288.85			
102-94-3	cis-Cinnamic acid	315.15			
102-97-6	Benzylisopropylamine		473.15	892.25	1.50252
1020-84-4	2,2,4,4,6,6,8,8-Octamethylcyclotetrasilazane	367.65			
10203-08-4	3,5-Dichlorobenzaldehyde	338.15	513.15		
10203-28-8	2-Dodecanol	292.15	522.15	828.62	1.44002
10203-58-4	Diethyl isobutylmalonate			980.42	1.42362
10210-64-7	Beryllium 2,4-pentanedioate	381.15	543.15	1168.2	
10210-68-1	Cobalt carbonyl			1780	
1022-13-5	5-Chloro-2-(methylamino)benzophenone	365.15			
10222-01-2	2,2-Dibromo-2-cyanoacetamide	399.15			
10229-10-4	3-Pentyn-1-ol		427.15	900.22	1.44542
10230-68-9	Nitroacetone	323.15			
10233-13-3	Isopropyl dodecanoate			853.62	1.428025
10236-47-2	Naringin				
1024-57-3	Heptachlor epoxide	435.95			
1025-15-6	1,3,5-Triallyl-1,3,5-triazine-2,4,6(1H,3H,5H)-trione	293.65		1159.02	
10265-92-6	Methamidophos	319.85		1312	
102851-06-9	Fluvalinate			1292.5	
10287-53-3	Ethyl 4-(dimethylamino)benzoate	339.65		1009.91	
10297-05-9	1-Chloro-4-iodobutane		389.15	1785	1.54002
103-01-5	N-Phenylglycine	400.65			
103-02-6	2-Propanone phenylhydrazone	315.15			
103-03-7	2-Phenylhydrazinecarboxamide	445.15			
103-05-9	α,α-Dimethylbenzenepropanol	297.65		962.621	1.507721
103-09-3	2-Ethylhexyl acetate	193.15	473.15	871.82	1.42042
103-11-7	2-Ethylhexyl acrylate	183.15		880.25	1.433225
103-12-8	4-[(2,4-Diaminophenyl)azo]benzenesulfonamide	522.65			
103-16-2	4-(Phenylmethoxy)phenol	395.15			
103-17-3	Chlorbenside	344.15		1421.02	
103-19-5	Bis(4-methylphenyl) disulfide	320.65		1114.51	
103-23-1	Bis(2-ethylhexyl) hexanedioate	205.35		922.25	1.44742
103-24-2	Bis(2-ethylhexyl) azelate	195.15		915.25	1.44625
103-25-3	Methyl 3-phenylpropanoate		511.65	1045.525	
103-28-6	Benzyl 2-methylpropanoate		501.15	1015.918	1.48832
103-29-7	1,2-Diphenylethane	324.33	553.15	978.025	1.54766
103-30-0	trans-Stilbene	397.97	580.15	970.72	1.626417
103-32-2	N-Benzylaniline	306.15	579.65	1029.865	1.611825
103-34-4	4,4'-Dithiodimorpholine	397.65			
103-37-7	Benzyl butanoate		512.15	1011.12	1.49202
103-38-8	Benzyl 3-methylbutanoate		518.15	998.315	1.48842
103-45-7	2-Phenylethyl acetate	242.05	506.15	1088.32	1.51712
103-48-0	2-Phenylethyl 2-methylpropanoate		523.15	995.015	1.48712
103-49-1	Dibenzylamine	247.15		1025.622	1.57812
103-50-4	Dibenzyl ether	274.95	571.15	1042.82	1.56182
103-55-9	N'-Benzyl-N,N-dimethyl-1,2-ethanediamine			934.32	1.50892
103-63-9	(2-Bromoethyl)benzene	217.25	489.15	1364.32	1.53722
103-65-1	Propylbenzene	173.63	432.35	859.325	1.489525
103-67-3	N-Methylbenzenemethanamine		453.65	944.218	
103-69-5	N-Ethylaniline	209.75	477.15	962.52	1.55592
103-70-8	N-Phenylformamide	319.65	544.15	1118.65	
103-71-9	Phenyl isocyanate		439.45	1095.62	1.53682
103-72-0	Phenyl isothiocyanate	252.15	493.15	1130.32	1.649223
103-73-1	Ethoxybenzene	243.55	442.95	965.12	1.50762
103-74-2	2-Pyridineethanol	265.35		1091.25	1.53662
103-75-3	2-Ethoxy-3,4-dihydro-2H-pyran		405.15	965.825	1.43942
103-76-4	1-Piperazineethanol		532.15	1061.25	1.50652
103-79-7	1-Phenyl-2-propanone	257.85	487.15	1015.72	1.51682
103-80-0	Benzeneacetyl chloride			1168.22	1.53252
103-81-1	Benzeneacetamide	430.15			
103-82-2	Benzeneacetic acid	349.85	541.15	1228.6	
103-83-3	N,N-Dimethylbenzylamine		452.15	915	1.50112
103-84-4	Acetanilide	387.5	565.15	1219.015	
103-85-5	Phenylthiourea	427.15			
103-88-8	N-(4-Bromophenyl)acetamide	441.15		1717.25	
103-89-9	4-Methylacetanilide	424.15	580.15	1212.015	
103-90-2	N-(4-Hydroxyphenyl)acetamide	441.15		1293.21	
103-95-7	4-Isopropyl-α-methylbenzenepropanal		543.15	945.92	1.50682
103-99-1	N-(4-Hydroxyphenyl)octadecanamide	406.95			
10309-79-2	1-Benzyl-2-methylhydrazine				
1031-07-8	Endosulfan sulfate	454.15			
1031-47-6	Triamiphos	440.15			
10311-84-9	Dialifor	341.25			
10312-83-1	Methoxyacetaldehyde		365.15	1005.25	1.39502
1032-65-1	2'-Deoxycytidine 5'-monophosphate				
10321-71-8	4-Methyl-2-pentenoic acid	308.15	490.15	952.921	1.448921
10326-41-7	D-Lactic acid	326.15			
10327-08-9	2-Bromopropanoic acid, (±)-	298.85	476.65	1700.02	1.47532
10328-92-4	1-Methyl-2H-3,1-benzoxazine-2,4(1H)-dione	453.15			
10340-91-7	(Isocyanomethyl)benzene			972.15	1.51932
10373-81-6	3-Hydroxycamphor	478.65			
1038-95-5	Tris(4-methylphenyl)phosphine	420.15			
10389-73-8	1-(2-Chlorophenyl)-2-methyl-2-propylamine				
10395-45-6	Carvenone, (S)-		506.15	928.92	1.48052
104-01-8	4-Methoxybenzeneacetic acid	358.05			
104-03-0	4-Nitrobenzeneacetic acid	427.15			
104-04-1	N-(4-Nitrophenyl)acetamide	489.15			
104-06-3	Thiacetazone				
104-09-6	4-Methylbenzeneacetaldehyde	313.15	494.65	1005.22	1.52552
104-10-9	4-Aminobenzeneethanol	381.15			
104-12-1	4-Chlorophenyl isocyanate	304.45			
104-13-2	4-Butylaniline		534.15	945.2	
104-15-4	p-Toluenesulfonic acid	377.65			
104-21-2	4-Methoxybenzyl acetate	357.15	543.15	1105.25	
104-22-3	4-(Benzylamino)benzenesulfonamide	444.15			
104-28-9	Cinoxate	248.15		1102.25	1.5672
104-29-0	3-(4-Chlorophenoxy)-1,2-propanediol	351.15			
104-36-9	1,4-Dibutoxybenzene	318.65			
104-40-5	4-Nonylphenol	315.15	590.15	950.2	1.5132
104-42-7	4-Dodecylaniline	314.65			
104-43-8	4-Dodecylphenol	339.15			
104-45-0	1-Methoxy-4-propylbenzene		484.65	947.22	1.50452
104-47-2	4-Methoxybenzeneacetonitrile		559.65	1084.52	1.53092
104-49-4	1,4-Diisocyanatobenzene	368.15			
104-50-7	5-Butyldihydro-2(3H)-furanone			979.619	1.445119
104-51-8	Butylbenzene	185.34	456.45	860.12	1.48982
104-52-9	(3-Chloropropyl)benzene		489.15	1056.21	1.516025
104-53-0	Benzenepropanal	320.15	497.15	1019.02	
104-57-4	Benzyl formate		476.15	1081.2	1.51542
104-61-0	Dihydro-5-pentyl-2(3H)-furanone				
104-63-2	2-[Benzylamino]ethanol		553.15	1065.25	1.54302
104-65-4	Cinnamyl formate	273.15	525.15	1086.25	
104-66-5	1,2-Diphenoxyethane	371.15			
104-67-6	5-Heptyldihydro-2(3H)-furanone		559.15	949.42	1.45122
104-72-3	Decylbenzene	258.75	571.15	855.52	1.48322
104-75-6	2-Ethylhexylamine		445.15		
104-76-7	2-Ethyl-1-hexanol	203.15	459.35	831.925	1.43002
104-78-9	N,N-Diethyl-1,3-propanediamine		438.15	822.2	1.4432
104-80-3	2,5-Anhydro-3,4-dideoxyhexitol	223.15	538.15	1154.2	
104-81-4	1-(Bromomethyl)-4-methylbenzene	307.15	493.15	1324.25	
104-82-5	1-(Chloromethyl)-4-methylbenzene		474.15	1051.22	1.538
104-83-6	1-Chloro-4-(chloromethyl)benzene	304.15	496.15		
104-84-7	4-Methylbenzenemethanamine	285.65	468.15	952.2	1.53402
104-85-8	4-Methylbenzonitrile	301.15	491.15	976.23	
104-86-9	4-Chlorobenzenemethanamine				1.556625
104-87-0	4-Methylbenzaldehyde		475.15	1019.417	1.54542
104-88-1	4-Chlorobenzaldehyde	320.15	486.65	1196.61	1.55561
104-90-5	5-Ethyl-2-picoline		451.15	920.22	1.49712
104-91-6	4-Nitrosophenol				
104-92-7	4-Bromoanisole	286.65	488.15	1456.42	1.56422
104-93-8	4-Methylanisole	241.55	448.15	969.25	1.51122
104-94-9	4-Methoxyaniline	330.95	516.15	1071.57	1.55596
104-96-1	4-(Methylthio)aniline		545.65	1137.92	1.63952
104-98-3	Urocanic acid	500.15			
104115-88-0	3,3'-Azobenzenedisulfonyl chloride	439.65			
10418-03-8	Stanozolol	509.15			
10424-29-0	Phenylbutanedioic acid, (±)-	440.15			
10424-38-1	1,2-Propanediamine, (±)-		391.15	878.15	1.44602
10436-39-2	1,1,2,3-Tetrachloro-1-propene		440.35	1552	
10439-23-3	4-Methylbenzenesulfinyl chloride	330.15			
10441-57-3	N-Methyl-2-pyrrolidinethione				
10453-86-8	cis-Resmethrin, (-)	330.65			
10460-33-0	2,3,4,6-Tetrachloro-5-methylphenol	462.65			
1047-16-1	Cinquasia Red	663.15			
104723-60-6	6-O-α-Maltosyl-β-cyclodextrin				
10473-14-0	3-Methyl-3-buten-2-ol		387.15	853.117	1.428817
10476-95-6	2-Methyl-2-propene-1,1-diol diacetate		464.15		1.42412
1048-05-1	Tetraphenylgermane	506.15			
1048-08-4	Tetraphenylsilane	510.75		1078.2	
10486-19-8	Tridecanal	287.15		835.618	1.438418
10487-71-5	2-Butenoyl chloride		394.15	1090.52	1.46018
10498-35-8	cis-1,2-Dichlorocyclohexane	268.15	464.15	1202.12	1.49672
105-05-5	p-Diethylbenzene	229.85	457.15	862.02	1.49672
105-06-6	p-Divinylbenzene	303.15		913.4	1.583525
105-07-7	4-Formylbenzonitrile	373.65			
105-08-8	1,4-Cyclohexanedimethanol	316.15	556.15		
105-11-3	2,5-Cyclohexadiene-1,4-dione, dioxime				
105-13-5	4-Methoxybenzenemethanol	290.15	527.15	1109.26	1.542025
105-16-8	2-(N,N-Diethylamino)ethyl methacrylate			923	
105-21-5	Dihydro-5-propyl-2(3H)-furanone				1.438525
105-30-6	2-Methyl-1-pentanol		430.15	826.32	1.41822
105-31-7	1-Hexyn-3-ol	193.15	415.15	870.42	1.434025
105-34-0	Methyl cyanoacetate	260.05	476.15	1122.525	1.41762
105-36-2	Ethyl bromoacetate		432.15	1503.22	1.44892
105-37-3	Ethyl propanoate	199.55	372.05	884.325	1.38392
105-38-4	Vinyl propanoate		367.95		
105-39-5	Ethyl chloroacetate	252.15	417.15	1158.52	1.42152
105-40-8	Ethyl N-methylcarbamate		442.15	1011.52	1.41832
105-41-9	4-Methyl-2-hexanamine		405.65	765.52	1.415025
105-45-3	Methyl acetoacetate	300.65	441.15	1076.22	1.41842
105-46-4	sec-Butyl acetate	174.25	381.15	874.82	1.38882
105-48-6	Isopropyl chloroacetate		423.15	1088.82	1.43822
105-50-0	Diethyl 3-oxo-1,5-pentanedioate		523.15	1113.2	
105-53-3	Diethyl malonate	223.15	473.15	1055.12	1.41392
105-54-4	Ethyl butanoate	176.15	394.25	873.525	1.389825
105-55-5	N,N'-Diethylthiourea	350.05	560.15		
105-56-6	Ethyl cyanoacetate	247.05	489.15	1065.42	1.41752
105-57-7	1,1-Diethoxyethane	167.05	375.15	825.42	1.38342
105-58-8	Diethyl carbonate	230.15	399.05	969.225	1.38452
105-59-9	Bis(2-hydroxyethyl)methylamine	252.15	518.15	1043.25	1.46852
105-60-2	Caprolactam	342.31	543.95		
105-65-7	Diisopropyl thioperoxydicarbonate	325.15			
105-66-8	Propyl butanoate	177.95	417.15	873.02	1.40012
105-67-9	2,4-Xylenol	298.15	484.09	965.02	1.542014
105-68-0	Isopentyl propanoate		446.15	869.72	1.40692
105-70-4	Glycerol 1,3-diacetate		533.15	1179.15	1.43952
105-74-8	Didodecanoyl peroxide	322.15			
105-75-9	Dibutyl fumarate	255.15	554.15	977.52	1.44692
105-76-0	Dibutyl maleate	193.15	553.15		
105-83-9	N-(3-Aminopropyl)-N-methyl-1,3-propanediamine		505.15	902.32	1.470525
105-86-2	trans-3,7-Dimethyl-2,6-octadien-1-ol formate			908.625	1.46592
105-99-7	Dibutyl hexanedioate	240.75		961.32	1.43692
10500-57-9	5,6,7,8-Tetrahydroquinoline		496.65	1030.413	1.54352
10508-09-5	Di-tert-pentyl peroxide	218.15		808.2	1.40952
10519-06-9	1-Butoxy-4-methylbenzene		502.65	920.525	1.49702
10519-33-2	3-Decen-2-one			847.32	1.44802
10521-91-2	Benzenepentanol			972.52	1.51562
10522-26-6	2-Methyl-1-undecanol			830.015	1.43822
10525-37-8	Icosylamine		662.15		
1053-73-2	Adenosine 3',5'-diphosphate				
10540-29-1	Tamoxifen	370.15			
10541-83-0	4-(Methylamino)benzoic acid	441.15			
1055-23-8	9,9'-Bianthracene	594.45			
105650-23-5	2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine	600.15			
10574-36-4	cis-3-Methyl-2-hexene	154.65	370.15	712.2	1.41262
10574-37-5	2,3-Dimethyl-2-pentene	154.85	369.15	727.72	1.42082
10588-10-0	Isobutyl pentanoate		456.15	862.525	1.40462
10595-72-9	Bis(tridecyl) thiodipropanoate				
10595-95-6	N-Nitrosoethylmethylamine				
106-02-5	Oxacyclohexadecan-2-one			954.92	1.47082
106-07-0	Tetraethylene glycol monostearate	313.15	601.15	1128.515	1.45932
106-14-9	12-Hydroxyoctadecanoic acid	355.15			
106-18-3	Butyl dodecanoate				
106-19-4	Dipropyl hexanedioate	257.45		979.02	1.43142
106-20-7	Bis(2-ethylhexyl)amine				
106-21-8	3,7-Dimethyl-1-octanol		497.15	832.25	1.43825
106-23-0	3,7-Dimethyl-6-octenal		478.15	853.2	1.44732
106-24-1	Geraniol	258.15	502.15	889.42	1.47662
106-25-2	Nerol	258.15	498.15	875.62	1.47462
106-26-3	cis-3,7-Dimethyl-2,6-octadienal			886.92	1.48692
